META; english/non-league/national-league/lincoln-v-torquay; 2017-04-10 16:43:47 GMT+3; 2017-04-14 15:00; e70300-dr003
Lincoln; 1/3; 3/10; ; ; 3/10; ; 3/10; ; 1/3; ; 1/3; 3/10; 3/10; ; ; 3/10; 3/10; 3/10; 3/10; 3/10; 9/25; ; 6/19; ; 6/19; ; ; ; 
Draw; 4; 4; ; ; 4; ; 4; ; 4; ; 15/4; 7/2; 4; ; ; 4; 50/13; 7/2; 7/2; 50/13; 9/2; ; 15/4; ; 15/4; ; ; ; 
Torquay; 8; 7; ; ; 9; ; 10; ; 8; ; 17/2; 8; 17/2; ; ; 17/2; 31/4; 15/2; 15/2; 31/4; 41/5; ; 15/2; ; 15/2; ; ; ; 
META; english/non-league/national-league/lincoln-v-torquay; 2017-04-11 12:58:20 GMT+3; 2017-04-14 15:00; e70300-dr003
Lincoln; 1/3; 3/10; 1/3; ; 3/10; ; 3/10; 1/4; 1/3; ; 1/3; 3/10; 3/10; ; ; 3/10; 3/10; 3/10; 3/10; 3/10; 9/25; ; 6/19; ; 6/19; ; ; ; 
Draw; 4; 4; 37/10; ; 4; ; 4; 7/2; 4; ; 15/4; 7/2; 4; ; ; 4; 50/13; 7/2; 7/2; 50/13; 9/2; ; 15/4; ; 15/4; ; ; ; 
Torquay; 8; 7; 8; ; 9; ; 10; 9; 8; ; 17/2; 8; 17/2; ; ; 17/2; 31/4; 15/2; 15/2; 31/4; 41/5; ; 15/2; ; 15/2; ; ; ; 
META; english/non-league/national-league/lincoln-v-torquay; 2017-04-12 12:29:40 GMT+3; 2017-04-14 15:00; e70300-dr003
Lincoln; 1/3; 3/10; 7/20; 1/3; 1/3; ; 1/3; 1/4; 1/3; 4/11; 1/3; 1/3; 1/3; 3/10; 4/11; 3/10; 4/13; 3/10; 3/10; 4/13; 19/50; 10/29; 4/13; ; 4/13; ; ; 1/3; 
Draw; 4; 4; 18/5; 7/2; 19/5; ; 4; 7/2; 19/5; 15/4; 18/5; 7/2; 15/4; 7/2; 15/4; 4; 39/10; 7/2; 7/2; 39/10; 9/2; 39/11; 39/10; ; 39/10; ; ; 7/2; 
Torquay; 15/2; 7; 15/2; 15/2; 9; ; 17/2; 9; 15/2; 15/2; 8; 13/2; 17/2; 17/2; 7; 17/2; 8; 15/2; 15/2; 8; 37/5; 32/5; 15/2; ; 15/2; ; ; 15/2; 
