META; english/non-league/national-league/southport-v-guiseley; 2017-03-26 04:22:58 GMT+2; 2017-04-01 15:00; e70300-dr003
Guiseley; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/southport-v-guiseley; 2017-03-27 04:19:33 GMT+2; 2017-03-31 19:00; e70300-dr003
Helmond Sport; 3/4; ; 3/4; ; 8/11; 8/11; 8/11; ; 8/11; 3/4; ; 3/4; ; ; 3/4; ; 5/7; 3/4; ; 5/7; 3/4; ; 13/19; 3/4; 7/10; ; ; ; 
Draw; 11/4; ; 27/10; ; 11/4; 13/5; 14/5; ; 14/5; 14/5; ; 5/2; ; ; 11/4; ; 27/10; 13/5; ; 27/10; 72/25; ; 37/13; 13/5; 29/10; ; ; ; 
FC Dordrecht; 10/3; ; 31/10; ; 10/3; 3; 7/2; ; 3; 16/5; ; 16/5; ; ; 3; ; 16/5; 14/5; ; 16/5; 41/10; ; 57/17; 3; 17/5; ; ; ; 
META; english/non-league/national-league/southport-v-guiseley; 2017-03-27 12:08:56 GMT+3; 2017-04-01 15:00; e70300-dr003
Southport; 29/20; 3/2; 29/20; ; 6/4; 7/5; 31/20; ; 6/4; 6/4; ; 29/20; 6/4; ; 6/4; 6/4; 16/11; 6/4; 6/4; 16/11; ; ; 17/11; ; 17/11; ; ; ; 
Guiseley; 9/5; 3/2; 7/4; ; 7/4; 13/8; 17/10; ; 7/4; 7/4; ; 13/8; 7/4; ; 7/4; 8/5; 8/5; 6/4; 6/4; 8/5; ; ; 17/11; ; 17/11; ; ; ; 
Draw; 23/10; 9/4; 9/4; ; 23/10; 43/20; 12/5; ; 23/10; 12/5; ; 21/10; 9/4; ; 9/4; 12/5; 9/4; 11/5; 23/10; 9/4; ; ; 23/10; ; 23/10; ; ; ; 
META; english/non-league/national-league/southport-v-guiseley; 2017-03-28 00:20:47 GMT+3; 2017-04-01 15:00; e70300-dr003
Southport; 29/20; 3/2; 29/20; 7/5; 6/4; 11/8; 6/4; ; 6/4; 6/4; 29/20; 11/8; 6/4; 29/20; 6/4; 6/4; 7/5; 6/4; 7/5; 7/5; ; 7/5; 16/11; ; 16/11; ; ; ; 
Guiseley; 9/5; 3/2; 17/10; 17/10; 9/5; 13/8; 9/5; ; 7/4; 7/4; 17/10; 17/10; 7/4; 7/4; 7/4; 7/4; 17/10; 6/4; 17/10; 17/10; ; 13/8; 17/10; ; 17/10; ; ; ; 
Draw; 23/10; 9/4; 9/4; 23/10; 23/10; 43/20; 23/10; ; 23/10; 23/10; 9/4; 11/5; 9/4; 21/10; 9/4; 23/10; 9/4; 11/5; 9/4; 9/4; ; 23/10; 9/4; ; 9/4; ; ; ; 
