META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-16 00:22:10 GMT+3; 2016-08-20 15:00; e70300-dr003
Torquay; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
North Ferriby Utd; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-16 04:22:08 GMT+3; 2016-08-20 15:00; e70300-dr003
Torquay; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
North Ferriby Utd; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-16 08:22:27 GMT+3; 2016-08-20 15:00; e70300-dr003
Torquay; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
North Ferriby Utd; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-16 12:23:40 GMT+3; 2016-08-20 15:00; e70300-dr003
Torquay; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
North Ferriby Utd; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-16 16:24:08 GMT+3; 2016-08-20 15:00; e70300-dr003
Torquay; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
North Ferriby Utd; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-16 20:23:42 GMT+3; 2016-08-20 15:00; e70300-dr003
Torquay; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
North Ferriby Utd; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-17 00:22:14 GMT+3; 2016-08-20 15:00; e70300-dr003
Torquay; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
North Ferriby Utd; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-17 04:20:40 GMT+3; 2016-08-20 15:00; e70300-dr003
Torquay; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
North Ferriby Utd; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-17 08:20:31 GMT+3; 2016-08-20 15:00; e70300-dr003
Torquay; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
North Ferriby Utd; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-17 12:21:34 GMT+3; 2016-08-20 15:00; e70300-dr003
Torquay; 11/8; ; ; ; ; ; 11/8; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; 
North Ferriby Utd; 19/10; ; ; ; ; ; 2; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; 
Draw; 23/10; ; ; ; ; ; 23/10; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-17 16:21:44 GMT+3; 2016-08-20 15:00; e70300-dr003
Torquay; 11/8; 6/5; 27/20; 13/10; 13/10; ; 11/8; 13/10; 7/5; 13/10; ; 6/5; ; 27/20; ; ; 13/10; 13/10; 5/4; 13/10; 13/10; 6/4; ; ; 1/2; ; 
North Ferriby Utd; 19/10; 19/10; 37/20; 9/5; 15/8; ; 2; 15/8; 15/8; 19/10; ; 7/4; ; 39/20; ; ; 15/8; 19/10; 9/5; 19/10; 24/13; 33/16; ; ; 1/12; ; 
Draw; 23/10; 9/4; 9/4; 11/5; 23/10; ; 23/10; 23/10; 23/10; 9/4; ; 9/4; ; 9/4; ; ; 12/5; 9/4; 11/5; 9/4; 9/4; 40/17; ; ; 21/10; ; 
META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-17 20:22:37 GMT+3; 2016-08-20 15:00; e70300-dr003
Torquay; 11/8; 6/5; 27/20; 13/10; 13/10; 13/10; 11/8; 13/10; 7/5; 13/10; ; 6/5; ; 27/20; ; ; 13/10; 13/10; 5/4; 13/10; ; 6/4; ; ; 1/2; ; 
North Ferriby Utd; 19/10; 19/10; 37/20; 9/5; 15/8; 9/5; 2; 15/8; 15/8; 19/10; ; 7/4; ; 39/20; ; ; 15/8; 19/10; 9/5; 19/10; ; 33/16; ; ; 1/12; ; 
Draw; 23/10; 9/4; 9/4; 11/5; 23/10; 11/5; 23/10; 23/10; 23/10; 9/4; ; 9/4; ; 9/4; ; ; 12/5; 9/4; 11/5; 9/4; ; 40/17; ; ; 21/10; ; 
META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-18 00:21:01 GMT+3; 2016-08-20 15:00; e70300-dr003
Torquay; 11/8; 6/5; 11/8; 13/10; 13/10; 13/10; 11/8; 13/10; 7/5; 13/10; ; 6/5; 11/8; 27/20; ; ; 13/10; 13/10; 5/4; 13/10; 13/10; 6/4; ; ; 23/20; ; 
North Ferriby Utd; 19/10; 19/10; 37/20; 9/5; 15/8; 9/5; 2; 15/8; 15/8; 19/10; ; 7/4; 9/5; 39/20; ; ; 15/8; 19/10; 9/5; 19/10; 19/10; 33/16; ; ; 13/8; ; 
Draw; 23/10; 9/4; 9/4; 11/5; 23/10; 11/5; 23/10; 23/10; 23/10; 9/4; ; 9/4; 9/4; 9/4; ; ; 12/5; 9/4; 11/5; 9/4; 23/10; 40/17; ; ; 21/10; ; 
META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-18 04:20:34 GMT+3; 2016-08-20 15:00; e70300-dr003
Torquay; 11/8; 6/5; 11/8; 13/10; 13/10; 13/10; 11/8; 13/10; 7/5; 13/10; ; 6/5; 11/8; 27/20; 13/10; ; 13/10; 13/10; 5/4; 13/10; 23/17; 6/4; ; ; 6/5; ; 
North Ferriby Utd; 19/10; 19/10; 37/20; 9/5; 15/8; 9/5; 2; 15/8; 15/8; 19/10; ; 7/4; 9/5; 39/20; 9/5; ; 15/8; 19/10; 9/5; 19/10; 19/10; 33/16; ; ; 13/8; ; 
Draw; 23/10; 9/4; 9/4; 11/5; 23/10; 11/5; 23/10; 23/10; 23/10; 9/4; ; 9/4; 9/4; 9/4; 11/5; ; 12/5; 9/4; 11/5; 9/4; 23/10; 40/17; ; ; 21/10; ; 
META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-18 08:20:24 GMT+3; 2016-08-20 15:00; e70300-dr003
Torquay; 11/8; 6/5; 11/8; 13/10; 13/10; 13/10; 11/8; 13/10; 7/5; 13/10; ; 6/5; 11/8; 27/20; 13/10; ; 13/10; 13/10; 5/4; 13/10; 23/17; 6/4; ; ; 6/5; ; 
North Ferriby Utd; 19/10; 19/10; 37/20; 9/5; 15/8; 9/5; 2; 15/8; 15/8; 19/10; ; 7/4; 9/5; 39/20; 9/5; ; 15/8; 19/10; 9/5; 19/10; 19/10; 33/16; ; ; 13/8; ; 
Draw; 23/10; 9/4; 9/4; 11/5; 23/10; 11/5; 23/10; 23/10; 23/10; 9/4; ; 9/4; 9/4; 9/4; 11/5; ; 12/5; 9/4; 11/5; 9/4; 23/10; 40/17; ; ; 21/10; ; 
META; english/non-league/national-league/north-ferriby-utd-v-torquay; 2016-08-18 12:26:25 GMT+3; 2016-08-20 15:00; e70300-dr003
