META; english/non-league/national-league/maidstone-v-barrow; 2017-03-26 04:22:50 GMT+2; 2017-04-01 15:00; e70300-dr003
Barrow; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-27 04:19:28 GMT+2; 2017-04-01 15:00; e70300-dr003
Draw; 23/10; 23/10; 23/10; 23/10; 12/5; 43/20; 12/5; 23/10; 23/10; 12/5; 23/10; 21/10; 47/20; 21/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 13/5; 23/10; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-29 04:21:05 GMT+3; 2017-04-01 15:00; e70300-dr003
Barrow; 6/5; 13/10; 6/5; 6/5; 5/4; 23/20; 5/4; 11/10; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 11/10; 23/20; 6/5; 13/10; 13/11; 13/11; ; 13/11; ; ; ; 
Maidstone; 11/5; 19/10; 41/20; 2; 21/10; 39/20; 21/10; 21/10; 2; 2; 2; 2; 21/10; 21/10; 21/10; 11/5; 2; 2; 2; 2; 11/5; 37/19; 2; ; 2; ; ; ; 
Draw; 23/10; 23/10; 23/10; 23/10; 12/5; 43/20; 12/5; 23/10; 23/10; 12/5; 23/10; 21/10; 47/20; 21/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 13/5; 23/10; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-29 12:22:18 GMT+3; 2017-04-01 15:00; e70300-dr003
Crewe; 29/20; 6/4; 6/4; 8/5; 6/4; 29/20; 6/4; 7/5; 8/5; 6/4; 29/20; 31/20; 29/20; 6/4; 6/4; 17/11; 16/11; 17/11; 7/5; 16/11; 157/100; 4/3; 10/7; 6/4; 10/7; ; 7/5; 7/5; 6/4
Cambridge; 15/8; 15/8; 37/20; 17/10; 2; 17/10; 15/8; 13/8; 15/8; 19/10; 9/5; 19/10; 37/20; 19/10; 15/8; 15/8; 24/13; 7/4; 9/5; 24/13; 49/25; 16/9; 24/13; 15/8; 24/13; ; 9/5; 9/5; 2
Draw; 11/5; 11/5; 41/20; 2; 9/4; 21/10; 23/10; 21/10; 9/4; 21/10; 2; 21/10; 9/4; 21/10; 11/5; 9/4; 21/10; 11/5; 23/10; 21/10; 47/20; 11/5; 23/10; 21/10; 23/10; ; 2; 21/10; 9/4
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-30 00:20:21 GMT+3; 2017-04-01 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 5/4; 23/20; 5/4; 11/10; 5/4; 6/5; 6/5; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 11/10; 23/20; 6/5; 13/10; 5/4; 13/11; ; 13/11; ; ; 23/20; 
Maidstone; 11/5; 2; 41/20; 2; 21/10; 39/20; 21/10; 21/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 39/19; 2; 2; 21/10; 11/5; 21/10; 2; ; 2; ; ; 21/10; 
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; 43/20; 12/5; 23/10; 23/10; 12/5; 23/10; 21/10; 47/20; 21/10; 23/10; 12/5; 40/17; 23/10; 12/5; 40/17; 13/5; 23/10; 12/5; ; 12/5; ; ; 11/5; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-30 04:20:30 GMT+3; 2017-04-01 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 5/4; 23/20; 5/4; 11/10; 5/4; 5/4; 5/4; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 11/10; 23/20; 6/5; 13/10; 5/4; 13/11; ; 13/11; ; ; 6/5; 
Maidstone; 11/5; 2; 41/20; 2; 21/10; 39/20; 21/10; 21/10; 2; 2; 2; 2; 21/10; 21/10; 21/10; 11/5; 39/19; 2; 2; 39/19; 11/5; 21/10; 2; ; 2; ; ; 2; 
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; 43/20; 12/5; 23/10; 23/10; 12/5; 23/10; 21/10; 47/20; 21/10; 23/10; 12/5; 40/17; 23/10; 12/5; 40/17; 13/5; 23/10; 12/5; ; 12/5; ; ; 11/5; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-30 12:21:32 GMT+3; 2017-04-01 15:00; e70300-dr003
Barrow; 6/5; 6/5; 6/5; 6/5; 5/4; 23/20; 5/4; 11/10; 5/4; 5/4; 5/4; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 11/10; 6/5; 6/5; 13/10; 5/4; 16/13; ; 16/13; ; ; 6/5; 
Maidstone; 11/5; 2; 41/20; 2; 21/10; 39/20; 21/10; 21/10; 2; 2; 2; 2; 21/10; 21/10; 21/10; 11/5; 39/19; 2; 19/10; 39/19; 11/5; 21/10; 37/19; ; 37/19; ; ; 2; 
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; 43/20; 12/5; 23/10; 23/10; 12/5; 23/10; 21/10; 47/20; 21/10; 23/10; 12/5; 40/17; 23/10; 23/10; 40/17; 13/5; 23/10; 40/17; ; 40/17; ; ; 11/5; 
META; english/non-league/national-league/maidstone-v-barrow; 2017-03-30 16:20:48 GMT+3; 2017-04-01 15:00; e70300-dr003
