META; english/non-league/national-league/york-v-bromley; 2017-04-02 00:19:07 GMT+3; 2017-04-02 12:00; e70300-dr003
Riga FC; 13/10; ; 27/20; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; 23/17; ; 13/10; 23/17; ; ; 13/10; ; 13/10; ; ; ; 
FK Spartaks Jurmala; 9/5; ; 19/10; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; 24/13; ; 9/5; 24/13; ; ; 9/5; ; 9/5; ; ; ; 
Draw; 21/10; ; 2; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 2; ; 9/4; 2; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/york-v-bromley; 2017-04-02 04:22:04 GMT+3; 2017-04-04 19:45; e70300-dr003
York; 4/5; 4/5; 4/5; 4/7; 8/11; ; 8/11; ; 8/11; ; 3/4; ; 10/13; 3/4; ; 8/11; 10/13; ; ; 10/13; ; ; ; ; ; ; ; ; 
Draw; 11/4; 5/2; 49/20; 11/4; 11/4; ; 11/4; ; 14/5; ; 5/2; ; 27/10; 5/2; ; 27/10; 27/10; ; ; 27/10; ; ; ; ; ; ; ; ; 
Bromley; 16/5; 16/5; 16/5; 7/2; 7/2; ; 18/5; ; 3; ; 10/3; ; 16/5; 16/5; ; 7/2; 13/4; ; ; 13/4; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-bromley; 2017-04-02 08:22:33 GMT+3; 2017-04-01 17:00; e70300-dr003
Charleroi; 5/4; 23/20; 6/5; ; 6/5; 23/20; 6/5; 11/10; 6/5; 6/5; 6/5; 6/5; 5/4; ; 6/5; 6/5; 6/5; 6/5; 13/10; 6/5; 131/100; 13/11; 13/10; 6/5; 4/3; ; 6/5; 10/9; 5/4
Draw; 9/4; 11/5; 9/4; ; 9/4; 9/4; 23/10; 11/5; 9/4; 23/10; 11/5; 9/4; 23/10; ; 23/10; 9/4; 23/10; 9/4; 9/4; 23/10; 49/20; 11/5; 9/4; 12/5; 9/4; ; 23/10; 9/4; 12/5
Oostende; 11/5; 11/5; 43/20; ; 21/10; 11/5; 23/10; 21/10; 85/40; 23/10; 21/10; 21/10; 9/4; ; 9/4; 9/4; 9/4; 5/2; 21/10; 9/4; 23/10; 39/19; 28/13; 9/4; 28/13; ; 21/10; 2; 12/5
META; english/non-league/national-league/york-v-bromley; 2017-04-02 12:20:00 GMT+3; ; e70300-dr003
Liverpool; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chelsea; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tottenham; ; ; ; 15/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-bromley; 2017-04-02 16:18:00 GMT+3; 2017-04-04 19:45; e70300-dr003
York; 8/11; 8/11; 3/4; 4/7; 4/5; ; 3/4; 4/6; 8/11; 3/4; 3/4; 3/4; 3/4; 3/4; 4/5; 8/11; 14/19; ; 8/11; ; 4/5; 10/13; 8/11; ; 8/11; ; ; ; 
Draw; 14/5; 5/2; 5/2; 11/4; 13/5; ; 11/4; 13/5; 13/5; 13/5; 5/2; 12/5; 53/20; 13/5; 13/5; 11/4; 27/10; ; 13/5; ; 14/5; 5/2; 13/5; ; 13/5; ; ; ; 
Bromley; 7/2; 7/2; 10/3; 7/2; 7/2; ; 7/2; 10/3; 10/3; 10/3; 16/5; 3; 10/3; 16/5; 16/5; 7/2; 17/5; ; 10/3; ; 77/20; 3; 57/17; ; 57/17; ; ; ; 
META; english/non-league/national-league/york-v-bromley; 2017-04-02 20:19:49 GMT+3; 2017-04-04 19:45; e70300-dr003
York; 4/7; 3/4; 8/13; 4/6; 4/6; ; 13/20; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 4/6; 10/17; ; 8/15; 10/17; 71/100; 5/8; 8/15; ; 8/15; ; ; ; 
Draw; 3; 13/5; 27/10; 14/5; 14/5; ; 29/10; 11/4; 14/5; 14/5; 27/10; 5/2; 29/10; 11/4; 3; 14/5; 29/10; ; 14/5; 29/10; 63/20; 13/5; 56/19; ; 56/19; ; ; ; 
Bromley; 9/2; 10/3; 17/4; 4; 4; ; 4; 7/2; 4; 17/4; 4; 15/4; 4; 4; 4; 4; 17/4; ; 22/5; 17/4; 79/20; 15/4; 22/5; ; 22/5; ; ; ; 
