META; english/non-league/national-league/solihull-moors-v-sutton-utd; 2017-02-05 16:25:23 GMT+2; 2017-02-11 15:00; e70300-dr003
Sutton Utd; 5/4; ; ; ; 5/4; ; 5/4; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 2; ; ; ; 2; ; 2; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 5/2; ; 5/2; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-sutton-utd; 2017-02-05 20:25:37 GMT+2; 2017-02-11 15:00; e70300-dr003
Sutton Utd; 5/4; ; ; ; 13/10; ; 5/4; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 2; ; ; ; 19/10; ; 2; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 5/2; ; 5/2; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-sutton-utd; 2017-02-06 00:22:25 GMT+2; 2017-02-11 15:00; e70300-dr003
Sutton Utd; 5/4; ; ; ; 13/10; ; 5/4; ; 13/10; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 2; ; ; ; 19/10; ; 2; ; 2; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 5/2; ; 5/2; ; 5/2; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-sutton-utd; 2017-02-06 04:22:20 GMT+2; 2017-02-11 15:00; e70300-dr003
Sutton Utd; 5/4; ; ; ; 5/4; ; 5/4; ; 13/10; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; 2; ; ; ; 2; ; 2; ; 2; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 5/2; ; 5/2; ; 5/2; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-sutton-utd; 2017-02-06 08:22:17 GMT+2; 2017-02-11 15:00; e70300-dr003
Sutton Utd; 5/4; ; ; ; 5/4; ; 5/4; ; 13/10; ; ; ; 5/4; ; ; 5/4; 6/5; ; 6/5; 6/5; ; ; 6/5; ; ; ; ; 
Solihull Moors; 2; ; ; ; 2; ; 2; ; 2; ; ; ; 2; ; ; 2; 2; ; 2; 2; ; ; 2; ; ; ; ; 
Draw; 5/2; ; ; ; 5/2; ; 5/2; ; 5/2; ; ; ; 47/20; ; ; 12/5; 9/4; ; 23/10; 9/4; ; ; 23/10; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-sutton-utd; 2017-02-06 12:22:22 GMT+2; 2017-02-11 15:00; e70300-dr003
Sutton Utd; 5/4; ; ; 6/5; 5/4; ; 5/4; ; 5/4; ; ; ; 5/4; ; ; 5/4; 6/5; 15/13; 6/5; 6/5; ; ; 6/5; ; ; ; ; 
Solihull Moors; 2; ; ; 19/10; 2; ; 2; ; 2; ; ; ; 2; ; ; 2; 37/19; 24/13; 2; 37/19; ; ; 2; ; ; ; ; 
Draw; 5/2; ; ; 21/10; 5/2; ; 5/2; ; 12/5; ; ; ; 47/20; ; ; 12/5; 40/17; 12/5; 23/10; 40/17; ; ; 23/10; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-sutton-utd; 2017-02-06 16:24:44 GMT+2; 2017-02-11 15:00; e70300-dr003
Sutton Utd; 5/4; 5/4; 5/4; 6/5; 5/4; ; 5/4; ; 5/4; ; 5/4; ; 5/4; ; ; 5/4; 6/5; 15/13; 6/5; 6/5; ; ; 6/5; ; ; ; ; 
Solihull Moors; 2; 19/10; 2; 19/10; 2; ; 2; ; 2; ; 2; ; 2; ; ; 2; 37/19; 24/13; 2; 37/19; ; ; 2; ; ; ; ; 
Draw; 5/2; 5/2; 9/4; 21/10; 5/2; ; 5/2; ; 12/5; ; 9/4; ; 47/20; ; ; 12/5; 40/17; 12/5; 23/10; 40/17; ; ; 23/10; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-sutton-utd; 2017-02-06 20:23:46 GMT+2; 2017-02-11 15:00; e70300-dr003
Sutton Utd; 5/4; 5/4; 5/4; 6/5; 5/4; ; 5/4; ; 5/4; ; 5/4; 5/4; 5/4; ; ; 5/4; 6/5; 15/13; 6/5; 6/5; ; ; 6/5; ; ; ; ; 
Solihull Moors; 2; 19/10; 2; 19/10; 2; ; 2; ; 2; ; 2; 9/5; 2; ; ; 2; 37/19; 24/13; 2; 37/19; ; ; 2; ; ; ; ; 
Draw; 5/2; 5/2; 9/4; 21/10; 5/2; ; 5/2; ; 12/5; ; 9/4; 12/5; 47/20; ; ; 12/5; 40/17; 12/5; 23/10; 40/17; ; ; 23/10; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-sutton-utd; 2017-02-07 00:22:17 GMT+2; 2017-02-11 15:00; e70300-dr003
Sutton Utd; 5/4; 5/4; 5/4; 6/5; 5/4; ; 5/4; ; 5/4; ; 5/4; 5/4; 5/4; ; ; 5/4; 6/5; 15/13; 6/5; 6/5; ; ; 6/5; ; ; ; ; 
