META; english/non-league/national-league/chester-v-boreham-wood; 2017-04-26 19:45:45 GMT+3; 2017-04-29 12:15; e70300-dr003
Boreham Wood; 13/8; 6/4; 31/20; 6/4; 8/5; ; 8/5; 6/4; 13/8; 31/20; 8/5; 29/20; 8/5; ; 13/8; 17/11; 8/5; 16/11; 6/4; 8/5; 169/100; ; 17/11; ; 17/11; ; ; ; 
Chester; 13/8; 17/10; 31/20; 8/5; 13/8; ; 13/8; 8/5; 13/8; 33/20; 17/10; 6/4; 8/5; ; 13/8; 8/5; 8/5; 17/11; 6/4; 8/5; 17/10; ; 17/11; ; 17/11; ; ; ; 
Draw; 23/10; 12/5; 47/20; 9/4; 9/4; ; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 11/5; 23/10; 23/10; 12/5; ; 23/10; ; 23/10; ; ; ; 
META; english/non-league/national-league/chester-v-boreham-wood; 2017-04-28 11:06:23 GMT+3; 2017-04-29 12:15; e70300-dr003
Boreham Wood; 13/8; 6/4; 31/20; 13/8; 8/5; ; 8/5; 6/4; 13/8; 31/20; 8/5; 29/20; 8/5; 8/5; 13/8; 8/5; 8/5; 16/11; 6/4; ; 169/100; ; 17/11; ; 17/11; ; ; 13/10; 
Chester; 13/8; 13/8; 31/20; 17/10; 13/8; ; 13/8; 8/5; 13/8; 33/20; 17/10; 6/4; 8/5; 13/8; 13/8; 8/5; 8/5; 17/11; 6/4; ; 17/10; ; 17/11; ; 17/11; ; ; 27/20; 
Draw; 23/10; 12/5; 47/20; 11/5; 9/4; ; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 9/4; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; ; 12/5; ; 9/4; ; 9/4; ; ; 9/5; 
