META; english/non-league/national-league/york-v-sutton-utd; 2016-10-23 16:23:43 GMT+3; 2016-10-29 15:00; e70300-dr003
York; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-sutton-utd; 2016-10-23 20:24:20 GMT+3; 2016-10-29 15:00; e70300-dr003
York; 11/8; ; ; ; 7/5; ; 11/8; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 19/10; ; ; ; 19/10; ; 19/10; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-sutton-utd; 2016-10-24 00:23:25 GMT+3; 2016-10-29 15:00; e70300-dr003
York; 11/8; ; ; ; 7/5; ; 11/8; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 19/10; ; ; ; 19/10; ; 19/10; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-sutton-utd; 2016-10-24 04:23:26 GMT+3; 2016-10-29 15:00; e70300-dr003
York; 11/8; ; ; ; 7/5; ; 11/8; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 19/10; ; ; ; 19/10; ; 19/10; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-sutton-utd; 2016-10-24 08:23:54 GMT+3; 2016-10-29 15:00; e70300-dr003
York; 11/8; ; ; ; 7/5; ; 11/8; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 19/10; ; ; ; 19/10; ; 19/10; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-sutton-utd; 2016-10-24 12:24:22 GMT+3; 2016-10-29 15:00; e70300-dr003
York; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 19/10; ; ; 9/5; 19/10; ; 19/10; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-sutton-utd; 2016-10-24 16:24:23 GMT+3; 2016-10-29 15:00; e70300-dr003
York; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 19/10; ; ; 9/5; 19/10; ; 19/10; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-sutton-utd; 2016-10-24 20:25:19 GMT+3; 2016-10-29 15:00; e70300-dr003
York; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 7/5; ; 27/20; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Sutton Utd; 19/10; ; ; 9/5; 19/10; ; 19/10; ; 15/8; ; 15/8; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/non-league/national-league/york-v-sutton-utd; 2016-10-25 00:23:56 GMT+3; 2016-10-29 15:00; e70300-dr003
York; 11/8; ; ; 13/10; 7/5; ; 11/8; ; 7/5; ; 27/20; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Sutton Utd; 19/10; ; ; 9/5; 19/10; ; 19/10; ; 15/8; ; 15/8; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 23/10; ; ; 21/10; 12/5; ; 12/5; ; 12/5; ; 11/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/non-league/national-league/york-v-sutton-utd; 2016-10-25 04:24:02 GMT+3; 2016-10-29 15:00; e70300-dr003
