META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-18 16:24:25 GMT+2; 2017-02-21 19:45; e70300-dr003
Boreham Wood; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Tranmere; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-18 20:26:16 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Boreham Wood; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-19 00:23:54 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 1/2; 1/2; ; ; ; ; 1/2; ; ; ; 1/2; ; 12/25; ; ; 1/2; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 3; 3; ; ; ; ; 3; ; ; ; 3; ; 29/10; ; ; 3; ; ; ; ; ; ; ; ; ; 4/9; ; 
Boreham Wood; 6; 9/2; ; ; ; ; 6; ; ; ; 11/2; ; 6; ; ; 11/2; ; ; ; ; ; ; ; ; ; 1/4; ; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-19 04:22:38 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 1/2; 1/2; ; ; 1/2; ; 1/2; ; ; ; 1/2; ; 12/25; 4/9; ; 1/2; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; 3; 3; ; ; 31/10; ; 31/10; ; ; ; 3; ; 29/10; 3; ; 3; ; ; ; ; ; ; ; ; ; 11/4; ; 
Boreham Wood; 6; 9/2; ; ; 6; ; 11/2; ; ; ; 11/2; ; 6; 5; ; 11/2; ; ; ; ; ; ; ; ; ; 9/2; ; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-19 08:24:07 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 1/2; 1/2; ; ; 9/20; ; 9/20; ; 1/2; ; 1/2; ; 12/25; 4/9; ; 1/2; 10/21; ; 4/9; 5/11; ; ; 5/11; ; ; 2/5; ; 
Draw; 3; 3; ; ; 31/10; ; 31/10; ; 3; ; 3; ; 29/10; 3; ; 31/10; 3; ; 3; 31/10; ; ; 3; ; ; 11/4; ; 
Boreham Wood; 6; 9/2; ; ; 13/2; ; 7; ; 6; ; 11/2; ; 6; 11/2; ; 11/2; 76/13; ; 28/5; 6; ; ; 23/4; ; ; 23/5; ; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-19 12:23:56 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 1/2; 1/2; ; 4/9; 1/2; ; 1/2; ; 1/2; ; 8/15; ; 12/25; 4/9; 8/15; 1/2; 17/35; 5/11; 1/2; 17/35; 8/15; ; 1/2; ; ; 4/9; ; 
Draw; 3; 3; ; 3; 3; ; 31/10; ; 3; ; 14/5; ; 29/10; 3; 3; 3; 58/19; 11/4; 3; 58/19; 3; ; 3; ; ; 23/10; ; 
Boreham Wood; 6; 9/2; ; 9/2; 6; ; 11/2; ; 6; ; 24/5; ; 6; 5; 5; 11/2; 27/5; 11/2; 5; 27/5; 7; ; 5; ; ; 9/2; ; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-19 16:25:03 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 9/20; 1/2; ; 4/9; 1/2; 17/40; 9/20; ; 1/2; 10/21; 4/9; 4/9; 12/25; 4/9; 1/2; 4/9; 10/21; 10/21; 1/2; 10/21; 8/15; 4/9; 1/2; ; ; 4/9; 4/9; 
Draw; 16/5; 3; ; 3; 3; 14/5; 16/5; ; 3; 3; 29/10; 11/4; 3; 11/4; 3; 31/10; 3; 5/2; 3; 3; 3; 3; 3; ; ; 14/5; 14/5; 
Boreham Wood; 13/2; 5; ; 9/2; 13/2; 11/2; 13/2; ; 11/2; 6; 6; 11/2; 11/2; 11/2; 11/2; 6; 23/4; 23/4; 5; 23/4; 7; 11/2; 5; ; ; 28/5; 29/5; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-19 20:24:32 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 9/20; 4/9; 40/85; 4/9; 9/20; 2/5; 9/20; 4/9; 1/2; 10/21; 4/9; 4/9; 12/25; 4/9; 1/2; 4/9; 10/21; 10/21; 1/2; 10/21; 1/2; 4/9; 1/2; ; ; 4/9; 4/9; 
Draw; 16/5; 3; 14/5; 3; 31/10; 14/5; 16/5; 3; 3; 3; 29/10; 11/4; 3; 13/5; 3; 31/10; 3; 5/2; 3; 3; 17/5; 3; 3; ; ; 11/4; 14/5; 
Boreham Wood; 13/2; 6; 6; 9/2; 13/2; 11/2; 13/2; 11/2; 11/2; 6; 6; 11/2; 11/2; 6; 11/2; 6; 23/4; 23/4; 5; 23/4; 33/5; 11/2; 5; ; ; 28/5; 29/5; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-20 00:21:57 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 9/20; 4/9; 40/85; 4/9; 9/20; 2/5; 4/9; 4/9; 1/2; 4/9; 4/9; 4/9; 9/20; 4/9; 9/20; 4/9; 2/5; 10/21; 1/2; 10/21; 47/100; 5/12; 1/2; ; ; 1/2; 4/9; 
Draw; 16/5; 3; 29/10; 3; 31/10; 14/5; 16/5; 3; 3; 3; 29/10; 11/4; 3; 13/5; 16/5; 31/10; 41/13; 5/2; 3; 3; 17/5; 3; 3; ; ; 3; 14/5; 
Boreham Wood; 13/2; 6; 13/2; 9/2; 13/2; 11/2; 13/2; 11/2; 6; 7; 6; 11/2; 13/2; 6; 6; 6; 7; 23/4; 5; 23/4; 15/2; 57/10; 5; ; ; 31/5; 29/5; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-20 04:22:22 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 9/20; 1/2; 40/85; 4/9; 1/2; 17/40; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; 9/20; 1/2; 1/2; 1/2; 4/9; 10/21; 1/2; 4/9; 51/100; 7/15; 1/2; ; ; 1/2; 4/9; 
Draw; 16/5; 29/10; 11/4; 3; 3; 27/10; 3; 3; 3; 14/5; 14/5; 13/5; 3; 11/4; 3; 3; 3; 5/2; 3; 3; 17/5; 37/13; 3; ; ; 14/5; 27/10; 
Boreham Wood; 13/2; 11/2; 6; 9/2; 13/2; 11/2; 13/2; 11/2; 6; 13/2; 6; 11/2; 13/2; 7; 11/2; 6; 13/2; 23/4; 5; 13/2; 63/10; 26/5; 5; ; ; 6; 29/5; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-20 08:22:32 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 9/20; 1/2; 40/85; 4/9; 1/2; 17/40; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; 9/20; 1/2; 1/2; 1/2; 3/7; 10/21; 1/2; 3/7; 51/100; 7/15; 1/2; ; ; 1/2; 4/9; 
Draw; 16/5; 29/10; 11/4; 3; 3; 27/10; 3; 3; 3; 14/5; 14/5; 13/5; 3; 11/4; 3; 3; 3; 5/2; 3; 3; 17/5; 37/13; 3; ; ; 14/5; 27/10; 
Boreham Wood; 13/2; 11/2; 6; 9/2; 13/2; 11/2; 13/2; 11/2; 6; 13/2; 6; 11/2; 13/2; 7; 11/2; 6; 27/4; 23/4; 5; 27/4; 63/10; 26/5; 5; ; ; 6; 29/5; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-20 12:24:53 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 9/20; 1/2; 40/85; 8/15; 1/2; 17/40; 1/2; 4/9; 1/2; 1/2; 1/2; 4/9; 12/25; 1/2; 1/2; 1/2; 3/7; 10/21; 1/2; 3/7; 51/100; 7/15; 1/2; ; ; 1/2; 4/9; 
Draw; 16/5; 29/10; 11/4; 14/5; 29/10; 27/10; 3; 3; 3; 14/5; 14/5; 13/5; 3; 11/4; 3; 3; 3; 5/2; 3; 3; 17/5; 37/13; 3; ; ; 3; 27/10; 
Boreham Wood; 13/2; 11/2; 6; 6; 13/2; 11/2; 13/2; 11/2; 6; 13/2; 6; 6; 11/2; 7; 11/2; 6; 27/4; 23/4; 5; 27/4; 63/10; 26/5; 5; ; ; 6; 29/5; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-20 16:24:09 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 1/2; 1/2; 1/2; 8/15; 1/2; 4/9; 1/2; 4/9; 1/2; 1/2; 8/15; 4/9; 1/2; ; 1/2; 1/2; 4/9; 10/21; 1/2; 4/9; 51/100; 18/35; 1/2; ; ; 1/2; 4/9; 
Draw; 31/10; 14/5; 27/10; 14/5; 29/10; 27/10; 3; 11/4; 14/5; 14/5; 14/5; 13/5; 57/20; ; 3; 14/5; 3; 5/2; 3; 3; 17/5; 56/19; 3; ; ; 3; 27/10; 
Boreham Wood; 11/2; 11/2; 11/2; 6; 13/2; 5; 6; 11/2; 11/2; 6; 6; 6; 11/2; ; 11/2; 6; 13/2; 23/4; 5; 13/2; 63/10; 27/5; 5; ; ; 6; 29/5; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-20 20:25:13 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 1/2; 1/2; 1/2; 8/15; 1/2; 4/9; 1/2; 4/9; 1/2; 1/2; 8/15; 4/9; 1/2; 1/2; 1/2; 1/2; 4/9; 10/21; 1/2; ; 51/100; 18/35; 1/2; ; ; 1/2; 1/2; 
Draw; 31/10; 14/5; 27/10; 14/5; 29/10; 27/10; 3; 11/4; 14/5; 14/5; 14/5; 13/5; 57/20; 14/5; 3; 14/5; 3; 5/2; 3; ; 17/5; 56/19; 3; ; ; 3; 27/10; 
Boreham Wood; 11/2; 11/2; 11/2; 6; 13/2; 5; 6; 11/2; 11/2; 6; 6; 11/2; 11/2; 13/2; 11/2; 6; 13/2; 23/4; 5; ; 63/10; 27/5; 5; ; ; 6; 29/5; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-21 00:22:18 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 1/2; 1/2; 1/2; 1/2; 1/2; 4/9; 1/2; 4/9; 1/2; 1/2; 8/15; 4/9; 1/2; 1/2; 1/2; 1/2; 4/9; 10/21; 1/2; 4/9; 13/25; 18/35; 1/2; ; ; 1/2; 1/2; 
Draw; 31/10; 14/5; 27/10; 11/4; 29/10; 27/10; 3; 11/4; 14/5; 14/5; 14/5; 13/5; 57/20; 14/5; 3; 14/5; 3; 5/2; 3; 3; 10/3; 56/19; 3; ; ; 3; 27/10; 
Boreham Wood; 11/2; 11/2; 11/2; 11/2; 13/2; 5; 6; 11/2; 11/2; 6; 6; 11/2; 11/2; 13/2; 11/2; 6; 13/2; 23/4; 5; 13/2; 63/10; 27/5; 5; ; ; 32/5; 29/5; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-21 04:22:28 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 1/2; 1/2; 1/2; 1/2; 1/2; 4/9; 1/2; 4/9; 1/2; 1/2; 8/15; 4/9; 1/2; 1/2; 1/2; 1/2; 4/9; 10/21; 1/2; 4/9; 13/25; 18/35; 1/2; ; ; 1/2; 1/2; 
Draw; 31/10; 14/5; 27/10; 11/4; 29/10; 27/10; 3; 11/4; 14/5; 14/5; 14/5; 13/5; 57/20; 14/5; 3; 14/5; 3; 5/2; 3; 3; 10/3; 56/19; 3; ; ; 3; 27/10; 
Boreham Wood; 11/2; 11/2; 11/2; 11/2; 13/2; 5; 6; 11/2; 11/2; 6; 6; 11/2; 11/2; 6; 11/2; 6; 13/2; 23/4; 5; 13/2; 63/10; 27/5; 5; ; ; 34/5; 29/5; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-21 08:23:23 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 1/2; 1/2; 1/2; 1/2; 1/2; 4/9; 1/2; 4/9; 1/2; 1/2; 8/15; 4/9; 1/2; 1/2; 1/2; 1/2; 4/9; 10/21; 1/2; 4/9; 13/25; 18/35; 1/2; ; ; 1/2; 1/2; 
Draw; 31/10; 14/5; 27/10; 11/4; 29/10; 27/10; 3; 11/4; 14/5; 14/5; 14/5; 13/5; 57/20; 14/5; 3; 14/5; 3; 5/2; 3; 3; 10/3; 56/19; 3; ; ; 3; 14/5; 
Boreham Wood; 11/2; 11/2; 11/2; 11/2; 13/2; 5; 6; 11/2; 11/2; 6; 6; 11/2; 11/2; 6; 11/2; 6; 13/2; 23/4; 5; 13/2; 63/10; 27/5; 5; ; ; 31/5; 6; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-21 12:23:47 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 1/2; 1/2; 1/2; 8/15; 1/2; 4/9; 1/2; 4/9; 1/2; 1/2; 8/15; 4/9; 1/2; 1/2; 1/2; 1/2; 4/9; 10/21; 1/2; 4/9; 11/20; 11/21; 1/2; ; ; 1/2; 8/15; 
Draw; 31/10; 14/5; 27/10; 5/2; 14/5; 13/5; 14/5; 11/4; 14/5; 11/4; 14/5; 13/5; 11/4; 27/10; 14/5; 14/5; 37/13; 5/2; 3; 37/13; 29/10; 14/5; 3; ; ; 14/5; 5/2; 
Boreham Wood; 11/2; 11/2; 11/2; 6; 13/2; 11/2; 13/2; 11/2; 6; 7; 6; 11/2; 11/2; 7; 6; 6; 27/4; 23/4; 5; 27/4; 71/10; 28/5; 5; ; ; 32/5; 6; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-21 16:25:38 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 1/2; 1/2; 40/85; 8/15; 1/2; 4/9; 9/20; 4/9; 1/2; 1/2; 8/15; 4/9; 12/25; 1/2; 1/2; 1/2; 3/7; 10/21; 1/2; 3/7; 8/15; 17/35; 1/2; ; ; 1/2; 8/15; 
Draw; 31/10; 14/5; 27/10; 5/2; 14/5; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 5/2; 11/4; 11/4; 14/5; 14/5; 29/10; 5/2; 27/10; 29/10; 147/50; 27/10; 27/10; ; ; 14/5; 11/4; 
Boreham Wood; 11/2; 11/2; 13/2; 6; 7; 11/2; 15/2; 11/2; 6; 13/2; 6; 13/2; 13/2; 7; 6; 6; 7; 23/4; 28/5; 7; 73/10; 67/10; 23/4; ; ; 7; 33/5; 
META; english/non-league/national-league/tranmere-v-boreham-wood; 2017-02-21 20:24:44 GMT+2; 2017-02-21 19:45; e70300-dr003
Tranmere; 4/9; 1/2; 40/85; 8/15; 9/20; 2/5; 4/9; 4/9; 1/2; 10/21; 1/2; 4/9; 9/20; 4/9; 1/2; 4/9; 3/7; 10/21; 1/2; 3/7; 1/2; 10/21; 1/2; ; ; 1/2; 1/2; 
Draw; 16/5; 14/5; 27/10; 5/2; 29/10; 27/10; 31/10; 11/4; 3; 3; 3; 13/5; 29/10; 29/10; 14/5; 3; 58/19; 5/2; 27/10; 58/19; 31/10; 14/5; 27/10; ; ; 3; 3; 
Boreham Wood; 13/2; 11/2; 13/2; 6; 7; 6; 7; 6; 13/2; 13/2; 13/2; 6; 13/2; 15/2; 6; 13/2; 27/4; 23/4; 28/5; 27/4; 77/10; 33/5; 23/4; ; ; 36/5; 36/5; 
