META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-16 00:26:10 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; ; 1/3; ; ; 1/3; ; 3/10; ; ; ; ; 2/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 4; ; ; 9/2; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; ; 6; ; ; 7; ; 8; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-16 04:22:39 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; ; 1/3; ; ; 1/3; ; 3/10; ; ; ; ; 2/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 4; ; ; 9/2; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; ; 6; ; ; 7; ; 8; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-16 08:23:21 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; ; 1/3; ; ; 1/3; ; 3/10; ; ; ; ; 2/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 4; ; ; 9/2; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; ; 6; ; ; 7; ; 15/2; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-16 12:24:32 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; ; 1/3; ; ; 1/3; ; 3/10; ; ; ; ; 2/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 4; ; ; 9/2; ; 9/2; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; ; 6; ; ; 7; ; 15/2; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-16 16:23:42 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; ; 1/3; ; 1/3; ; ; ; 2/5; 2/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 18/5; 4; ; ; 21/5; ; 21/5; ; ; ; 17/5; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 13/2; 6; ; ; 7; ; 7; ; ; ; 13/2; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-16 20:24:26 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; ; 4/11; ; 1/3; 4/11; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 18/5; 4; ; ; 4; ; 21/5; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 13/2; 6; ; ; 7; ; 15/2; 6; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-17 00:23:27 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; ; 4/11; ; 1/3; 4/11; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 18/5; 4; ; ; 4; ; 4; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 13/2; 6; ; ; 7; ; 15/2; 6; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-17 04:23:20 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; ; 4/11; ; 1/3; 4/11; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 18/5; 4; ; ; 4; ; 4; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 13/2; 6; ; ; 7; ; 15/2; 6; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-17 08:23:16 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; ; 4/11; ; 1/3; 4/11; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; ; ; ; ; ; 3/8; ; ; ; ; 
Draw; 18/5; 4; ; ; 4; ; 4; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; 
Guiseley; 13/2; 6; ; ; 7; ; 15/2; 6; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; ; ; ; ; ; 25/4; ; ; ; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-17 12:24:34 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; ; 4/11; ; 1/3; 4/11; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; ; ; ; ; ; 3/8; ; ; ; ; 
Draw; 18/5; 4; ; ; 19/5; ; 21/5; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; 
Guiseley; 13/2; 6; ; ; 7; ; 15/2; 6; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; ; ; ; ; ; 25/4; ; ; ; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-17 16:25:02 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; 1/3; 4/11; 7/20; 4/11; 4/11; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; 4/11; ; ; ; ; 3/8; ; ; ; ; 
Draw; 18/5; 4; ; 7/2; 19/5; 16/5; 19/5; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; 7/2; ; ; ; ; 7/2; ; ; ; ; 
Guiseley; 13/2; 6; ; 6; 7; 6; 15/2; 6; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; 11/2; ; ; ; ; 25/4; ; ; ; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-17 20:24:44 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; 1/3; 4/11; 7/20; 4/11; 4/11; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; 4/11; ; ; ; ; 3/8; ; ; 1/50; ; 
Draw; 18/5; 4; ; 7/2; 19/5; 16/5; 19/5; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; 7/2; ; ; ; ; 7/2; ; ; 21/10; ; 
Guiseley; 13/2; 6; ; 6; 7; 6; 15/2; 6; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; 11/2; ; ; ; ; 25/4; ; ; 1/50; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-18 00:23:37 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; 1/3; 4/11; 7/20; 4/11; 4/11; 2/5; ; 2/5; 2/7; ; ; ; ; ; ; 4/11; ; ; ; ; 3/8; ; ; 1/50; ; 
Draw; 18/5; 4; ; 7/2; 19/5; 16/5; 19/5; 7/2; 19/5; ; 17/5; 9/2; ; ; ; ; ; ; 7/2; ; ; ; ; 7/2; ; ; 11/5; ; 
Guiseley; 13/2; 6; ; 6; 7; 6; 15/2; 6; 13/2; ; 13/2; 13/2; ; ; ; ; ; ; 11/2; ; ; ; ; 25/4; ; ; 4/11; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-18 04:23:40 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; 1/3; 4/11; 7/20; 4/11; 4/11; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; 4/11; ; ; ; ; 3/8; ; ; 1/50; ; 
Draw; 18/5; 4; ; 7/2; 19/5; 16/5; 19/5; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; 7/2; ; ; ; ; 7/2; ; ; 11/5; ; 
Guiseley; 13/2; 6; ; 6; 7; 6; 15/2; 6; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; 11/2; ; ; ; ; 25/4; ; ; 4/11; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-18 08:24:15 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; 4/11; ; ; ; ; 3/8; ; ; 1/50; ; 
Draw; 18/5; 4; ; 7/2; 19/5; 16/5; 19/5; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; 7/2; ; ; ; ; 7/2; ; ; 11/5; ; 
Guiseley; 13/2; 6; ; 6; 7; 6; 15/2; 13/2; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; 11/2; ; ; ; ; 25/4; ; ; 4/11; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-18 12:26:51 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; 4/11; ; ; ; ; 3/8; ; ; 1/50; ; 
Draw; 18/5; 4; ; 7/2; 19/5; 16/5; 19/5; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; 7/2; ; ; ; ; 7/2; ; ; 21/10; ; 
Guiseley; 13/2; 6; ; 6; 7; 6; 15/2; 13/2; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; 11/2; ; ; ; ; 25/4; ; ; 4/11; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-18 16:26:03 GMT+3; 2016-10-22 15:00; e70300-dr003
Forest Green; 2/5; 1/3; ; 1/3; 4/11; 7/20; 4/11; 1/3; 2/5; ; 2/5; 2/7; 4/11; ; ; ; ; ; 4/11; ; ; ; ; 3/8; ; ; 1/50; ; 
Draw; 18/5; 19/5; ; 7/2; 19/5; 16/5; 19/5; 7/2; 19/5; ; 17/5; 9/2; 7/2; ; ; ; ; ; 7/2; ; ; ; ; 7/2; ; ; 23/10; ; 
Guiseley; 13/2; 15/2; ; 6; 7; 6; 15/2; 13/2; 13/2; ; 13/2; 13/2; 7; ; ; ; ; ; 11/2; ; ; ; ; 25/4; ; ; 4/9; ; 
META; english/non-league/national-league/forest-green-v-guiseley; 2016-10-18 20:25:11 GMT+3; 2016-10-22 15:00; e70300-dr003
