META; english/non-league/national-league/woking-v-chester; 2016-08-28 00:23:01 GMT+3; 2016-08-29 15:00; e70300-dr003
Woking; ; 11/8; ; ; 5/4; ; 13/10; ; ; ; ; ; 11/10; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; 
Chester; ; 17/10; ; ; 19/10; ; 2; ; ; ; ; ; 15/8; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; ; 23/10; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/woking-v-chester; 2016-08-28 04:20:55 GMT+3; 2016-08-29 15:00; e70300-dr003
Woking; ; 11/8; ; ; 13/10; ; 7/5; ; ; ; ; ; 11/10; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; 
Chester; ; 17/10; ; ; 15/8; ; 15/8; ; ; ; ; ; 15/8; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; ; 23/10; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/woking-v-chester; 2016-08-28 08:21:03 GMT+3; 2016-08-29 15:00; e70300-dr003
Woking; ; 11/8; ; ; 5/4; ; 13/10; ; ; ; ; ; 11/10; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; 
Chester; ; 17/10; ; ; 19/10; ; 2; ; ; ; ; ; 15/8; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; ; 23/10; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/woking-v-chester; 2016-08-28 12:21:23 GMT+3; 2016-08-29 15:00; e70300-dr003
Woking; 7/5; 11/8; ; ; 13/10; ; 13/10; ; 7/5; ; ; ; 11/10; ; ; 6/5; 13/10; ; ; ; 23/17; 16/11; ; ; ; ; ; 
Chester; 8/5; 17/10; ; ; 15/8; ; 2; ; 7/4; ; ; ; 15/8; ; ; 11/5; 9/5; ; ; ; 7/4; 39/19; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 5/2; ; ; ; 23/10; ; ; 23/10; 12/5; ; ; ; 27/11; 27/11; ; ; ; ; ; 
META; english/non-league/national-league/woking-v-chester; 2016-08-28 16:21:40 GMT+3; 2016-08-29 15:00; e70300-dr003
Woking; 13/10; 11/8; ; 11/8; 7/5; 13/10; 29/20; 13/10; 7/5; 6/5; 7/5; ; 7/5; 27/20; ; 7/5; 11/8; 6/5; 7/5; 6/5; 23/17; 8/5; 7/5; ; ; ; ; 
Chester; 2; 17/10; ; 8/5; 7/4; 8/5; 17/10; 15/8; 9/5; 19/10; 17/10; ; 17/10; 7/4; ; 17/10; 9/5; 19/10; 6/4; 19/10; 24/13; 15/8; 28/17; ; ; ; ; 
Draw; 12/5; 23/10; ; 9/4; 23/10; 9/4; 13/5; 9/4; 12/5; 27/11; 5/2; ; 23/10; 5/2; ; 5/2; 9/4; 27/11; 12/5; 12/5; 40/17; 12/5; 13/5; ; ; ; ; 
META; english/non-league/national-league/woking-v-chester; 2016-08-28 20:21:51 GMT+3; 2016-08-29 15:00; e70300-dr003
Woking; 13/10; 7/5; 7/5; 11/8; 7/5; 13/10; 29/20; 13/10; 7/5; 6/5; 7/5; 7/5; 7/5; 27/20; 29/20; 7/5; 11/8; 6/5; 7/5; 6/5; 23/17; 8/5; 7/5; ; ; 11/8; 7/5; 
Chester; 2; 13/8; 17/10; 8/5; 7/4; 8/5; 17/10; 15/8; 7/4; 19/10; 17/10; 13/8; 17/10; 7/4; 13/8; 17/10; 7/4; 19/10; 6/4; 19/10; 24/13; 15/8; 28/17; ; ; 17/10; 13/8; 
Draw; 12/5; 5/2; 12/5; 9/4; 23/10; 9/4; 13/5; 9/4; 5/2; 27/11; 5/2; 5/2; 23/10; 5/2; 23/10; 5/2; 12/5; 27/11; 12/5; 12/5; 40/17; 12/5; 13/5; ; ; 11/5; 9/4; 
META; english/non-league/national-league/woking-v-chester; 2016-08-29 00:21:24 GMT+3; 2016-08-29 15:00; e70300-dr003
Woking; 13/10; 7/5; 11/8; 13/10; 7/5; 13/10; 7/5; 13/10; 7/5; 6/5; 7/5; 11/8; 7/5; 11/8; 7/5; 7/5; 11/8; 6/5; 7/5; 6/5; 23/17; 8/5; 7/5; 7/5; ; 7/5; 7/5; 
Chester; 2; 13/8; 17/10; 31/20; 7/4; 8/5; 7/4; 15/8; 7/4; 19/10; 17/10; 9/5; 17/10; 17/10; 7/4; 17/10; 7/4; 19/10; 6/4; 19/10; 7/4; 15/8; 28/17; 13/8; ; 7/4; 17/10; 
Draw; 12/5; 5/2; 12/5; 13/5; 12/5; 9/4; 13/5; 9/4; 5/2; 27/11; 5/2; 12/5; 23/10; 51/20; 9/4; 5/2; 12/5; 27/11; 12/5; 12/5; 12/5; 12/5; 13/5; 9/4; ; 12/5; 23/10; 
META; english/non-league/national-league/woking-v-chester; 2016-08-29 04:20:46 GMT+3; 2016-08-29 15:00; e70300-dr003
Woking; 7/5; 7/5; 7/5; 13/10; 7/5; 13/10; 7/5; 13/10; 7/5; 6/5; 7/5; 29/20; 7/5; 11/8; 7/5; 7/5; 11/8; 6/5; 7/5; 6/5; 7/5; 8/5; 7/5; 7/5; ; 7/5; 7/5; 
Chester; 9/5; 13/8; 17/10; 31/20; 17/10; 8/5; 7/4; 15/8; 7/4; 19/10; 17/10; 7/4; 17/10; 17/10; 7/4; 17/10; 7/4; 19/10; 6/4; 19/10; 7/4; 15/8; 28/17; 13/8; ; 7/4; 17/10; 
Draw; 12/5; 5/2; 12/5; 13/5; 12/5; 9/4; 13/5; 9/4; 5/2; 27/11; 5/2; 5/2; 23/10; 51/20; 9/4; 5/2; 12/5; 27/11; 12/5; 12/5; 27/11; 12/5; 13/5; 9/4; ; 13/5; 23/10; 
META; english/non-league/national-league/woking-v-chester; 2016-08-29 08:20:53 GMT+3; 2016-08-29 15:00; e70300-dr003
Woking; 6/4; 7/5; 7/5; 13/10; 7/5; 13/10; 29/20; 13/10; 7/5; 7/5; 7/5; 29/20; 13/10; 7/5; 29/20; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 8/5; 16/11; 7/5; ; 7/5; 7/5; 
Chester; 17/10; 13/8; 33/20; 31/20; 17/10; 8/5; 17/10; 15/8; 7/4; 8/5; 17/10; 7/4; 17/10; 33/20; 17/10; 17/10; 7/4; 8/5; 6/4; 8/5; 17/10; 15/8; 28/17; 13/8; ; 7/4; 17/10; 
