META; english/non-league/national-league/woking-v-barrow; 2016-10-16 00:26:24 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; ; 11/8; ; ; 13/10; ; 13/10; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; ; 17/10; ; ; 2; ; 2; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-16 04:22:53 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; ; 11/8; ; ; 13/10; ; 13/10; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; ; 17/10; ; ; 2; ; 2; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-16 08:23:37 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; ; 11/8; ; ; 13/10; ; 13/10; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; ; 17/10; ; ; 2; ; 2; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-16 12:24:54 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; ; 11/8; ; ; 13/10; ; 11/8; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; ; 17/10; ; ; 2; ; 19/10; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-16 16:23:56 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 11/8; ; ; 5/4; ; 5/4; ; ; ; 23/20; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Woking; 11/5; 17/10; ; ; 21/10; ; 21/10; ; ; ; 21/10; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-16 20:24:49 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 11/8; ; ; 6/5; ; 6/5; 6/5; 6/5; ; 23/20; 6/5; ; ; ; ; 11/10; ; ; ; 11/10; ; ; ; ; ; ; ; 
Woking; 11/5; 17/10; ; ; 21/10; ; 85/40; 21/10; 11/5; ; 21/10; 2; ; ; ; ; 39/19; ; ; ; 39/19; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 23/10; 12/5; ; 12/5; 23/10; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-17 00:23:42 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 11/8; ; ; 6/5; ; 6/5; 6/5; 6/5; ; 23/20; 6/5; ; ; ; 6/5; 15/13; ; ; ; 15/13; ; ; ; ; ; ; ; 
Woking; 11/5; 17/10; ; ; 21/10; ; 85/40; 21/10; 11/5; ; 21/10; 2; ; ; ; 11/5; 39/19; ; ; ; 39/19; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 23/10; 12/5; ; 12/5; 23/10; ; ; ; 12/5; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-17 04:23:36 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 11/8; ; ; 6/5; ; 6/5; 6/5; 6/5; ; 23/20; 6/5; ; ; ; 6/5; 15/13; ; ; ; 15/13; ; ; ; ; ; ; ; 
Woking; 11/5; 17/10; ; ; 21/10; ; 85/40; 21/10; 11/5; ; 21/10; 2; ; ; ; 11/5; 39/19; ; ; ; 39/19; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 23/10; 12/5; ; 12/5; 23/10; ; ; ; 12/5; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; 
META; english/non-league/national-league/woking-v-barrow; 2016-10-17 08:23:30 GMT+3; 2016-10-22 15:00; e70300-dr003
Barrow; 6/5; 11/8; ; ; 6/5; ; 6/5; 6/5; 6/5; ; 23/20; 6/5; ; ; ; 6/5; 11/10; 15/13; ; 23/20; 11/10; ; ; 15/13; ; ; ; ; 
Woking; 11/5; 17/10; ; ; 21/10; ; 85/40; 21/10; 11/5; ; 21/10; 2; ; ; ; 11/5; 39/19; 21/10; ; 21/10; 39/19; ; ; 21/10; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 23/10; 12/5; ; 12/5; 23/10; ; ; ; 12/5; 23/10; 12/5; ; 12/5; 23/10; ; ; 12/5; ; ; ; ; 
