META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-19 16:27:05 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; ; ; ; ; 4/9; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; ; ; ; ; 10/3; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Braintree Town; 6; ; ; ; ; ; 13/2; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-19 20:25:46 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; ; ; 4/9; ; 4/9; ; 4/9; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; ; ; 16/5; ; 10/3; ; 10/3; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Braintree Town; 6; ; ; ; 13/2; ; 13/2; ; 6; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-20 00:21:50 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; ; ; ; ; 4/9; ; 4/9; ; 4/9; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; ; ; ; ; 10/3; ; 10/3; ; 16/5; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Braintree Town; 6; ; ; ; ; ; 13/2; ; 6; ; 6; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-20 04:21:25 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; ; ; ; ; 4/9; ; 4/9; ; 4/9; ; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; ; ; ; ; 10/3; ; 10/3; ; 16/5; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Braintree Town; 6; ; ; ; ; ; 13/2; ; 6; ; 6; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-20 08:21:48 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; ; ; 4/9; ; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; ; ; 4/9; 3/8; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; ; ; 16/5; ; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 16/5; ; ; 3; 33/10; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; ; ; 13/2; ; 13/2; ; 6; ; 6; 6; ; ; ; 6; ; ; 11/2; 6; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-20 12:24:39 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; ; ; 4/9; ; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; 7/17; ; 4/9; 7/17; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; ; ; 16/5; ; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; 16/5; ; 3; 16/5; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; ; ; 13/2; ; 13/2; ; 6; ; 6; 6; ; ; ; 6; 28/5; ; 11/2; 28/5; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-20 16:23:55 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; 7/17; ; 4/9; 7/17; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; ; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; 16/5; ; 3; 16/5; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 13/2; ; 13/2; ; 6; ; 6; 6; ; ; ; 6; 28/5; ; 11/2; 28/5; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-20 20:22:12 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; 5/12; ; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; ; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; 13/4; ; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 13/2; ; 13/2; ; 6; ; 6; 6; ; ; ; 6; 23/4; ; 11/2; 23/4; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-21 00:21:47 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; 5/12; ; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; ; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; 13/4; ; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 13/2; ; 13/2; ; 6; ; 6; 6; ; ; ; 6; 23/4; ; 11/2; 23/4; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-21 04:21:37 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; 5/12; ; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; ; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; 13/4; ; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 13/2; ; 13/2; ; 6; ; 6; 6; ; ; ; 6; 23/4; ; 11/2; 23/4; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-21 08:21:47 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; 5/12; ; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; ; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; 13/4; ; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 13/2; ; 13/2; ; 6; ; 6; 6; ; ; ; 6; 23/4; ; 11/2; 23/4; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-21 12:26:06 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; 4/9; ; 4/9; 2/5; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; 5/12; 2/5; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; 16/5; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; 13/4; 3; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 7; 5; 13/2; ; 6; ; 6; 6; ; ; ; 6; 29/5; 23/4; 11/2; 29/5; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-21 16:23:31 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; 4/9; ; 4/9; 2/5; 4/9; ; 4/9; ; 4/9; 2/5; ; ; ; 4/9; 5/12; 2/5; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; 16/5; 10/3; ; 10/3; ; 16/5; 14/5; ; ; ; 10/3; 13/4; 3; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 13/2; 5; 13/2; ; 6; ; 6; 6; ; ; ; 6; 23/4; 23/4; 11/2; 23/4; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-22 00:21:39 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; 4/9; ; 4/9; 2/5; 4/9; ; 4/9; ; 4/9; 2/5; ; 2/5; ; 4/9; 5/12; 2/5; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 16/5; 16/5; 10/3; ; 10/3; ; 16/5; 14/5; ; 16/5; ; 10/3; 13/4; 3; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 7; 5; 13/2; ; 6; ; 6; 6; ; 6; ; 6; 76/13; 23/4; 11/2; 76/13; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-22 04:20:41 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; 4/9; ; 4/9; 2/5; 4/9; ; 4/9; ; 4/9; 2/5; ; 2/5; ; 4/9; 5/12; 2/5; 4/9; 5/12; ; ; 5/11; ; 5/11; ; ; ; 
Draw; 10/3; ; 31/10; ; 10/3; 16/5; 10/3; ; 10/3; ; 16/5; 14/5; ; 16/5; ; 10/3; 13/4; 3; 3; 13/4; ; ; 31/10; ; 31/10; ; ; ; 
Braintree Town; 6; ; 6; ; 13/2; 5; 13/2; ; 6; ; 6; 6; ; 6; ; 6; 76/13; 23/4; 11/2; 76/13; ; ; 11/2; ; 11/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-22 08:21:18 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; ; 4/9; ; 2/5; 2/5; 2/5; ; 4/9; ; 4/9; 2/5; ; 2/5; ; 2/5; 7/18; 2/5; 2/5; 7/18; ; ; 5/12; ; 5/12; ; ; ; 
Draw; 10/3; ; 31/10; ; 10/3; 16/5; 10/3; ; 10/3; ; 16/5; 3; ; 16/5; ; 10/3; 33/10; 3; 3; 33/10; ; ; 16/5; ; 16/5; ; ; ; 
Braintree Town; 6; ; 6; ; 7; 5; 7; ; 6; ; 6; 6; ; 6; ; 13/2; 25/4; 23/4; 6; 25/4; ; ; 6; ; 6; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-22 12:39:24 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/9; 2/5; 4/11; ; 2/5; 2/5; 4/11; ; 4/9; ; 4/11; 1/3; 2/5; 2/5; 2/5; 2/5; 7/18; 2/5; 2/5; 7/18; 43/100; 10/29; 5/12; ; 5/12; ; ; ; 
Draw; 10/3; 10/3; 17/5; ; 10/3; 16/5; 10/3; ; 10/3; ; 7/2; 16/5; 10/3; 16/5; 10/3; 10/3; 33/10; 3; 3; 33/10; 15/4; 17/5; 16/5; ; 16/5; ; ; ; 
Braintree Town; 6; 6; 7; ; 15/2; 5; 17/2; ; 6; ; 8; 7; 13/2; 6; 7; 7; 25/4; 23/4; 6; 25/4; 38/5; 69/10; 6; ; 6; ; ; ; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-23 13:27:27 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/11; 4/11; 4/11; 2/5; 4/11; 4/11; 4/11; 1/3; 2/5; 4/11; 4/11; 1/3; 7/20; 7/20; 4/11; 4/11; 6/19; 2/5; 1/3; 6/19; 2/5; 10/29; 10/29; ; 10/29; ; ; 4/11; 
Draw; 7/2; 7/2; 17/5; 17/5; 18/5; 10/3; 15/4; 7/2; 7/2; 7/2; 17/5; 16/5; 7/2; 17/5; 15/4; 7/2; 15/4; 3; 10/3; 15/4; 19/5; 17/5; 17/5; ; 17/5; ; ; 10/3; 
Braintree Town; 17/2; 7; 15/2; 15/2; 8; 11/2; 15/2; 15/2; 15/2; 8; 15/2; 7; 8; 15/2; 7; 15/2; 33/4; 23/4; 8; 33/4; 44/5; 69/10; 8; ; 8; ; ; 38/5; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-23 16:24:03 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/11; 4/11; 4/11; 2/5; 4/11; 4/11; 4/11; 1/3; 2/5; 4/11; 4/11; 1/3; 7/20; 7/20; 4/11; 4/11; 6/19; 2/5; 1/3; 6/19; 2/5; 10/29; 10/29; ; 10/29; ; ; 4/11; 
Draw; 7/2; 7/2; 17/5; 17/5; 18/5; 10/3; 15/4; 7/2; 7/2; 7/2; 17/5; 16/5; 7/2; 17/5; 15/4; 7/2; 15/4; 3; 10/3; 15/4; 19/5; 17/5; 17/5; ; 17/5; ; ; 10/3; 
Braintree Town; 17/2; 7; 15/2; 15/2; 8; 11/2; 15/2; 15/2; 15/2; 8; 15/2; 7; 8; 15/2; 7; 15/2; 33/4; 23/4; 8; 33/4; 44/5; 69/10; 8; ; 8; ; ; 38/5; 
META; english/non-league/national-league/tranmere-v-braintree-town; 2017-03-23 20:24:00 GMT+2; 2017-03-25 15:00; e70300-dr003
Tranmere; 4/11; 4/11; 4/11; 2/5; 4/11; 4/11; 4/11; 1/3; 2/5; 4/11; 4/11; 1/3; 7/20; 4/11; 4/11; 4/11; 6/19; 4/11; 1/3; 6/19; 2/5; 10/29; 10/29; ; 10/29; ; ; 4/11; 
Draw; 7/2; 7/2; 17/5; 17/5; 18/5; 10/3; 15/4; 7/2; 7/2; 7/2; 17/5; 16/5; 7/2; 18/5; 15/4; 7/2; 15/4; 31/10; 10/3; 15/4; 19/5; 17/5; 17/5; ; 17/5; ; ; 10/3; 
Braintree Town; 17/2; 7; 15/2; 15/2; 8; 11/2; 15/2; 15/2; 15/2; 8; 15/2; 7; 8; 8; 7; 15/2; 33/4; 13/2; 8; 33/4; 44/5; 69/10; 8; ; 8; ; ; 38/5; 
