META; english/non-league/national-league/macclesfield-v-york; 2017-03-25 20:22:57 GMT+2; 2017-04-01 15:00; e70300-dr003
Preston; 10/11; 10/11; 19/20; 19/20; 10/11; 19/20; 37/40; 5/6; 10/11; 10/11; 10/11; 20/21; 10/11; 10/11; 10/11; ; 10/11; 9/10; 5/6; 10/11; 1; 10/11; 13/15; 19/20; 9/10; ; 10/11; ; 20/21
Draw; 13/5; 12/5; 49/20; 5/2; 13/5; 27/10; 13/5; 5/2; 13/5; 12/5; 23/10; 5/2; 51/20; 13/5; 13/5; ; 27/11; 13/5; 5/2; 27/11; 13/5; 28/11; 28/11; 5/2; 13/5; ; 12/5; ; 5/2
Nottingham Forest; 11/4; 3; 3; 14/5; 3; 14/5; 3; 11/4; 3; 14/5; 14/5; 14/5; 59/20; 14/5; 3; ; 37/13; 14/5; 3; 37/13; 63/20; 45/17; 3; 11/4; 31/10; ; 14/5; ; 3
META; english/non-league/national-league/macclesfield-v-york; 2017-03-26 04:22:19 GMT+2; 2017-03-28 19:45; e70300-dr003
Macclesfield; ; 4/5; 13/20; ; ; ; ; 8/13; ; ; ; 8/13; 13/20; ; ; ; ; ; 4/6; ; ; ; 4/6; ; 4/6; ; ; ; 
Draw; ; 11/4; 13/5; ; ; ; ; 13/5; ; ; ; 23/10; 5/2; ; ; ; ; ; 12/5; ; ; ; 12/5; ; 12/5; ; ; ; 
York; ; 14/5; 4; ; ; ; ; 4; ; ; ; 4; 9/2; ; ; ; ; ; 21/5; ; ; ; 17/4; ; 17/4; ; ; ; 
META; english/non-league/national-league/macclesfield-v-york; 2017-03-27 04:19:02 GMT+2; 2017-03-28 19:45; e70300-dr003
Macclesfield; ; 5/6; 4/5; 5/6; ; 3/4; ; 8/11; ; ; ; 4/5; 4/5; ; ; ; ; ; 8/11; ; 17/20; 11/13; 3/4; ; 3/4; ; ; ; 
Draw; ; 12/5; 12/5; 13/5; ; 23/10; ; 5/2; ; ; ; 11/5; 5/2; ; ; ; ; ; 12/5; ; 53/20; 28/11; 12/5; ; 12/5; ; ; ; 
York; ; 16/5; 16/5; 16/5; ; 3; ; 10/3; ; ; ; 16/5; 16/5; ; ; ; ; ; 7/2; ; 73/20; 3; 7/2; ; 7/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-york; 2017-03-27 12:08:25 GMT+3; 2017-03-28 19:45; e70300-dr003
