META; english/non-league/national-league/solihull-moors-v-guiseley; 2016-08-16 00:22:12 GMT+3; 2016-08-20 15:00; e70300-dr003
Solihull Moors; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Guiseley; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/solihull-moors-v-guiseley; 2016-08-16 04:22:10 GMT+3; 2016-08-20 15:00; e70300-dr003
Solihull Moors; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Guiseley; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/solihull-moors-v-guiseley; 2016-08-16 08:22:29 GMT+3; 2016-08-20 15:00; e70300-dr003
Solihull Moors; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Guiseley; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/solihull-moors-v-guiseley; 2016-08-16 12:23:42 GMT+3; 2016-08-20 15:00; e70300-dr003
Solihull Moors; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Guiseley; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/solihull-moors-v-guiseley; 2016-08-16 16:24:12 GMT+3; 2016-08-20 15:00; e70300-dr003
Solihull Moors; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Guiseley; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/solihull-moors-v-guiseley; 2016-08-16 20:23:44 GMT+3; 2016-08-20 15:00; e70300-dr003
Solihull Moors; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Guiseley; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/solihull-moors-v-guiseley; 2016-08-17 00:22:17 GMT+3; 2016-08-20 15:00; e70300-dr003
Solihull Moors; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Guiseley; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/solihull-moors-v-guiseley; 2016-08-17 04:20:42 GMT+3; 2016-08-20 15:00; e70300-dr003
Solihull Moors; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Guiseley; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/solihull-moors-v-guiseley; 2016-08-17 08:20:33 GMT+3; 2016-08-20 15:00; e70300-dr003
Solihull Moors; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Guiseley; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/solihull-moors-v-guiseley; 2016-08-17 12:21:38 GMT+3; 2016-08-20 15:00; e70300-dr003
Solihull Moors; 21/20; ; ; ; ; ; 11/10; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 1/12; ; 
Draw; 12/5; ; ; ; ; ; 12/5; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Guiseley; 5/2; ; ; ; ; ; 12/5; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/non-league/national-league/solihull-moors-v-guiseley; 2016-08-17 16:21:46 GMT+3; 2016-08-20 15:00; e70300-dr003
Solihull Moors; 21/20; 1; 21/20; 21/20; 21/20; ; 11/10; 1; 11/10; 1; ; 11/10; ; 21/20; ; ; 21/20; 1; 21/20; 1; 1; 11/10; ; ; 1/12; ; 
Draw; 12/5; 11/5; 23/10; 9/4; 12/5; ; 12/5; 12/5; 12/5; 23/10; ; 11/5; ; 47/20; ; ; 12/5; 23/10; 9/4; 23/10; 23/10; 5/2; ; ; 21/10; ; 
Guiseley; 5/2; 5/2; 49/20; 9/4; 12/5; ; 5/2; 23/10; 12/5; 5/2; ; 2; ; 5/2; ; ; 12/5; 5/2; 11/5; 5/2; 27/11; 14/5; ; ; 1/20; ; 
META; english/non-league/national-league/solihull-moors-v-guiseley; 2016-08-17 20:22:40 GMT+3; 2016-08-20 15:00; e70300-dr003
Solihull Moors; 21/20; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 11/10; 1; ; 11/10; ; 1; ; ; 21/20; 1; 21/20; 1; ; 11/10; ; ; 1/12; ; 
Draw; 12/5; 11/5; 23/10; 9/4; 12/5; 9/4; 12/5; 12/5; 12/5; 23/10; ; 11/5; ; 12/5; ; ; 12/5; 23/10; 9/4; 23/10; ; 5/2; ; ; 21/10; ; 
Guiseley; 5/2; 5/2; 49/20; 9/4; 12/5; 12/5; 13/5; 23/10; 12/5; 5/2; ; 2; ; 51/20; ; ; 12/5; 5/2; 11/5; 5/2; ; 14/5; ; ; 1/20; ; 
META; english/non-league/national-league/solihull-moors-v-guiseley; 2016-08-18 00:21:03 GMT+3; 2016-08-20 15:00; e70300-dr003
