META; english/non-league/national-league/braintree-town-v-guiseley; 2017-04-10 16:43:30 GMT+3; 2017-04-14 15:00; e70300-dr003
Braintree Town; 6/5; 5/4; ; ; 5/4; ; 5/4; ; 6/5; ; 23/20; 23/20; 23/20; ; ; 6/5; 15/13; 15/13; 6/5; 15/13; 5/4; ; 6/5; ; 6/5; ; ; ; 
Guiseley; 9/4; 15/8; ; ; 9/4; ; 9/4; ; 9/4; ; 21/10; 2; 9/4; ; ; 11/5; 28/13; 2; 21/10; 28/13; 119/50; ; 21/10; ; 21/10; ; ; ; 
Draw; 23/10; 23/10; ; ; 23/10; ; 23/10; ; 23/10; ; 23/10; 9/4; 23/10; ; ; 23/10; 11/5; 11/5; 11/5; 11/5; 5/2; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/braintree-town-v-guiseley; 2017-04-11 12:58:04 GMT+3; 2017-04-14 15:00; e70300-dr003
Braintree Town; 6/5; 5/4; 23/20; ; 5/4; ; 6/5; 11/10; 6/5; ; 23/20; 23/20; 23/20; ; ; 6/5; 15/13; 15/13; 6/5; 15/13; 5/4; ; 6/5; ; 6/5; ; ; ; 
Guiseley; 9/4; 15/8; 43/20; ; 11/5; ; 11/5; 21/10; 9/4; ; 21/10; 2; 9/4; ; ; 11/5; 28/13; 2; 21/10; 28/13; 119/50; ; 21/10; ; 21/10; ; ; ; 
Draw; 23/10; 23/10; 23/10; ; 23/10; ; 12/5; 9/4; 23/10; ; 23/10; 9/4; 23/10; ; ; 23/10; 9/4; 11/5; 11/5; 9/4; 5/2; ; 11/5; ; 11/5; ; ; ; 
META; english/non-league/national-league/braintree-town-v-guiseley; 2017-04-12 12:29:20 GMT+3; 2017-04-14 15:00; e70300-dr003
Braintree Town; 6/5; 5/4; 5/4; 23/20; 5/4; ; 5/4; 11/10; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 13/10; 6/5; 5/4; 15/13; 6/5; 5/4; 5/4; 17/14; 16/13; ; 16/13; ; ; 21/20; 
Guiseley; 9/4; 15/8; 21/10; 11/5; 11/5; ; 11/5; 11/5; 11/5; 11/5; 2; 19/10; 21/10; 2; 21/10; 11/5; 21/10; 2; 2; 21/10; 119/50; 45/23; 39/19; ; 39/19; ; ; 9/5; 
Draw; 23/10; 23/10; 43/20; 11/5; 23/10; ; 23/10; 9/4; 9/4; 9/4; 11/5; 21/10; 9/4; 21/10; 11/5; 23/10; 11/5; 11/5; 11/5; 11/5; 5/2; 9/4; 11/5; ; 11/5; ; ; 19/10; 
