META; english/non-league/national-league/southport-v-dagenham-redbridge; 2017-02-05 16:25:25 GMT+2; 2017-02-11 15:00; e70300-dr003
Dagenham & Redbridge; 5/6; ; 4/5; ; 5/6; ; 5/6; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; 13/5; ; 11/4; ; 11/4; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 3; ; 29/10; ; 3; ; 3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/southport-v-dagenham-redbridge; 2017-02-05 20:25:39 GMT+2; 2017-02-11 15:00; e70300-dr003
Dagenham & Redbridge; 5/6; ; 4/5; ; 5/6; ; 5/6; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; 13/5; ; 11/4; ; 11/4; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 3; ; 29/10; ; 3; ; 31/10; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/southport-v-dagenham-redbridge; 2017-02-06 00:22:29 GMT+2; 2017-02-11 15:00; e70300-dr003
Dagenham & Redbridge; 5/6; ; 4/5; ; 5/6; ; 5/6; ; 5/6; ; ; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; 13/5; ; 11/4; ; 11/4; ; 13/5; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 3; ; 29/10; ; 3; ; 31/10; ; 3; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/southport-v-dagenham-redbridge; 2017-02-06 04:22:22 GMT+2; 2017-02-11 15:00; e70300-dr003
Dagenham & Redbridge; 5/6; ; 4/5; ; 5/6; ; 5/6; ; 5/6; ; ; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; 13/5; ; 11/4; ; 11/4; ; 13/5; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 3; ; 29/10; ; 3; ; 31/10; ; 3; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/southport-v-dagenham-redbridge; 2017-02-06 08:22:19 GMT+2; 2017-02-11 15:00; e70300-dr003
Dagenham & Redbridge; 5/6; ; 4/5; 4/5; 5/6; ; 4/5; ; 5/6; ; ; ; 5/6; ; ; 4/5; 4/5; ; 4/5; 4/5; ; ; 4/5; ; ; ; ; 
Draw; 11/4; ; 13/5; 12/5; 11/4; ; 11/4; ; 13/5; ; ; ; 13/5; ; ; 13/5; 27/11; ; 5/2; 27/11; ; ; 5/2; ; ; ; ; 
Southport; 3; ; 29/10; 3; 31/10; ; 16/5; ; 3; ; ; ; 3; ; ; 16/5; 56/19; ; 3; 56/19; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/southport-v-dagenham-redbridge; 2017-02-06 12:22:24 GMT+2; 2017-02-11 15:00; e70300-dr003
Dagenham & Redbridge; 5/6; ; 4/5; 4/5; 5/6; ; 5/6; ; 5/6; ; ; ; 5/6; ; ; 5/6; 4/5; 7/9; 4/5; 4/5; ; ; 4/5; ; ; ; ; 
Draw; 11/4; ; 13/5; 12/5; 11/4; ; 11/4; ; 11/4; ; ; ; 53/20; ; ; 27/10; 28/11; 13/5; 5/2; 28/11; ; ; 5/2; ; ; ; ; 
Southport; 3; ; 29/10; 3; 3; ; 31/10; ; 3; ; ; ; 29/10; ; ; 3; 29/10; 27/10; 3; 29/10; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/southport-v-dagenham-redbridge; 2017-02-06 16:24:47 GMT+2; 2017-02-11 15:00; e70300-dr003
Dagenham & Redbridge; 5/6; 4/5; 4/5; 4/5; 5/6; ; 5/6; ; 5/6; ; 4/5; ; 5/6; ; ; 5/6; 4/5; 7/9; 4/5; 4/5; ; ; 4/5; ; ; ; ; 
Draw; 11/4; 13/5; 13/5; 12/5; 11/4; ; 11/4; ; 11/4; ; 13/5; ; 53/20; ; ; 27/10; 28/11; 13/5; 5/2; 28/11; ; ; 5/2; ; ; ; ; 
Southport; 3; 3; 29/10; 3; 3; ; 31/10; ; 3; ; 29/10; ; 29/10; ; ; 3; 29/10; 27/10; 3; 29/10; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/southport-v-dagenham-redbridge; 2017-02-06 20:23:48 GMT+2; 2017-02-11 15:00; e70300-dr003
Dagenham & Redbridge; 5/6; 4/5; 4/5; 4/5; 5/6; ; 4/5; ; 5/6; ; 4/5; 8/11; 5/6; ; ; 4/5; 4/5; 7/9; 4/5; 4/5; ; ; 4/5; ; ; ; ; 
Draw; 11/4; 13/5; 13/5; 12/5; 11/4; ; 11/4; ; 11/4; ; 13/5; 3; 53/20; ; ; 11/4; 13/5; 13/5; 5/2; 13/5; ; ; 5/2; ; ; ; ; 
Southport; 3; 3; 29/10; 3; 3; ; 31/10; ; 3; ; 29/10; 11/4; 29/10; ; ; 3; 56/19; 27/10; 3; 56/19; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/southport-v-dagenham-redbridge; 2017-02-07 00:22:19 GMT+2; 2017-02-11 15:00; e70300-dr003
Dagenham & Redbridge; 5/6; 4/5; 4/5; 4/5; 5/6; ; 4/5; ; 5/6; ; 4/5; 8/11; 5/6; ; ; 4/5; 4/5; 7/9; 4/5; 4/5; ; ; 4/5; ; ; ; ; 
Draw; 11/4; 13/5; 13/5; 12/5; 14/5; ; 14/5; ; 11/4; ; 13/5; 3; 53/20; ; ; 14/5; 13/5; 13/5; 5/2; 13/5; ; ; 5/2; ; ; ; ; 
Southport; 3; 3; 29/10; 3; 3; ; 31/10; ; 3; ; 29/10; 11/4; 29/10; ; ; 3; 56/19; 27/10; 3; 56/19; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/southport-v-dagenham-redbridge; 2017-02-07 04:22:33 GMT+2; 2017-02-11 15:00; e70300-dr003
Dagenham & Redbridge; 5/6; 4/5; 4/5; 4/5; 5/6; ; 4/5; ; 5/6; ; 4/5; 8/11; 5/6; ; ; 4/5; 4/5; 7/9; 4/5; 4/5; ; ; 4/5; ; ; ; ; 
Draw; 11/4; 13/5; 13/5; 12/5; 14/5; ; 14/5; ; 11/4; ; 13/5; 3; 53/20; ; ; 14/5; 45/17; 13/5; 5/2; 45/17; ; ; 5/2; ; ; ; ; 
Southport; 3; 3; 29/10; 3; 3; ; 31/10; ; 3; ; 29/10; 11/4; 29/10; ; ; 3; 56/19; 27/10; 3; 56/19; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/southport-v-dagenham-redbridge; 2017-02-07 08:22:41 GMT+2; 2017-02-11 15:00; e70300-dr003
Dagenham & Redbridge; 5/6; 4/5; 4/5; 4/5; 5/6; ; 4/5; ; 5/6; ; 4/5; 8/11; 5/6; ; ; 4/5; 4/5; 7/9; 4/5; 4/5; ; ; 4/5; ; ; ; ; 
Draw; 11/4; 13/5; 13/5; 12/5; 14/5; ; 14/5; ; 11/4; ; 13/5; 3; 53/20; ; ; 14/5; 45/17; 13/5; 5/2; 45/17; ; ; 5/2; ; ; ; ; 
