Solihull Moors; 3; 10/3; ; ; 31/10; ; 33/10; 11/4; 3; ; 16/5; 3; 59/20; ; ; ; 29/10; ; ; ; 29/10; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-17 12:24:41 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 5/6; 2/3; ; ; 5/6; ; 4/5; 5/6; 5/6; ; 5/6; 5/6; ; ; ; ; 4/5; ; ; ; 4/5; ; ; 4/5; ; ; ; ; 
Draw; 11/4; 11/4; ; ; 11/4; ; 27/10; 5/2; 13/5; ; 12/5; 23/10; ; ; ; ; 5/2; ; ; ; 5/2; ; ; 13/5; ; ; ; ; 
Solihull Moors; 3; 10/3; ; ; 31/10; ; 33/10; 11/4; 3; ; 16/5; 3; ; ; ; ; 29/10; ; ; ; 29/10; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-17 16:25:09 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 5/6; 2/3; ; 4/5; 5/6; 3/4; 5/6; 5/6; 5/6; ; 5/6; 5/6; 5/6; ; ; ; 4/5; ; 7/9; ; 4/5; ; ; 4/5; ; ; ; ; 
Draw; 11/4; 11/4; ; 12/5; 11/4; 5/2; 5/2; 5/2; 13/5; ; 12/5; 23/10; 53/20; ; ; ; 5/2; ; 5/2; ; 28/11; ; ; 13/5; ; ; ; ; 
Solihull Moors; 3; 10/3; ; 14/5; 31/10; 14/5; 33/10; 11/4; 3; ; 16/5; 3; 59/20; ; ; ; 29/10; ; 14/5; ; 29/10; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-17 20:24:52 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 5/6; 2/3; ; 4/5; 5/6; 3/4; 5/6; 5/6; 5/6; ; 5/6; 5/6; ; ; ; ; 4/5; ; 7/9; ; 4/5; ; ; 4/5; ; ; 1/50; ; 
Draw; 11/4; 11/4; ; 12/5; 11/4; 5/2; 5/2; 5/2; 13/5; ; 12/5; 23/10; ; ; ; ; 28/11; ; 5/2; ; 28/11; ; ; 13/5; ; ; 21/10; ; 
Solihull Moors; 3; 10/3; ; 14/5; 31/10; 14/5; 33/10; 11/4; 3; ; 16/5; 3; ; ; ; ; 56/19; ; 14/5; ; 56/19; ; ; 3; ; ; 1/50; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-18 00:23:45 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 5/6; 2/3; ; 4/5; 5/6; 3/4; 5/6; 5/6; 5/6; ; 5/6; 5/6; 5/6; ; ; ; 4/5; ; 7/9; ; 4/5; ; ; 4/5; ; ; 1/50; ; 
Draw; 11/4; 11/4; ; 12/5; 11/4; 5/2; 13/5; 5/2; 13/5; ; 12/5; 23/10; 53/20; ; ; ; 28/11; ; 5/2; ; 28/11; ; ; 13/5; ; ; 21/10; ; 
Solihull Moors; 3; 10/3; ; 14/5; 31/10; 14/5; 33/10; 11/4; 3; ; 16/5; 3; 59/20; ; ; ; 29/10; ; 14/5; ; 29/10; ; ; 3; ; ; 1/50; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-18 04:23:48 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 5/6; 2/3; ; 4/5; 5/6; 3/4; 5/6; 5/6; 5/6; ; 5/6; 5/6; 5/6; ; ; ; 4/5; ; 7/9; ; 4/5; ; ; 4/5; ; ; 1/50; ; 
Draw; 11/4; 11/4; ; 12/5; 11/4; 5/2; 5/2; 5/2; 13/5; ; 12/5; 23/10; 53/20; ; ; ; 28/11; ; 5/2; ; 28/11; ; ; 13/5; ; ; 21/10; ; 
Solihull Moors; 3; 10/3; ; 14/5; 31/10; 14/5; 33/10; 11/4; 3; ; 16/5; 3; 59/20; ; ; ; 29/10; ; 14/5; ; 29/10; ; ; 3; ; ; 1/50; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-18 08:24:21 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 5/6; 2/3; ; 4/5; 5/6; 3/4; 5/6; 5/6; 5/6; ; 5/6; 5/6; 5/6; ; ; ; 4/5; ; 7/9; ; 4/5; ; ; 4/5; ; ; 1/50; ; 
Draw; 11/4; 11/4; ; 23/10; 11/4; 5/2; 13/5; 5/2; 13/5; ; 12/5; 23/10; 53/20; ; ; ; 28/11; ; 5/2; ; 28/11; ; ; 13/5; ; ; 21/10; ; 
Solihull Moors; 3; 10/3; ; 3; 31/10; 14/5; 33/10; 11/4; 3; ; 16/5; 3; 59/20; ; ; ; 29/10; ; 14/5; ; 29/10; ; ; 3; ; ; 1/50; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-18 16:26:12 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 5/6; 4/5; ; 4/5; 17/20; 3/4; 5/6; 5/6; 5/6; ; 5/6; 5/6; 5/6; ; ; ; 4/5; ; 7/9; ; 4/5; ; ; 4/5; ; ; 1/50; ; 
Draw; 11/4; 13/5; ; 12/5; 13/5; 5/2; 13/5; 5/2; 13/5; ; 12/5; 23/10; 53/20; ; ; ; 28/11; ; 5/2; ; 28/11; ; ; 13/5; ; ; 21/10; ; 
Solihull Moors; 3; 3; ; 14/5; 31/10; 14/5; 16/5; 11/4; 3; ; 16/5; 3; 59/20; ; ; ; 29/10; ; 14/5; ; 29/10; ; ; 3; ; ; 1/50; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-18 20:25:19 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 5/6; 4/5; ; 4/5; 17/20; 3/4; 5/6; 5/6; 5/6; ; 5/6; 5/6; 5/6; ; ; ; 4/5; ; 7/9; ; 4/5; ; ; 4/5; ; ; 1/20; ; 
Draw; 11/4; 13/5; ; 12/5; 13/5; 5/2; 13/5; 5/2; 13/5; ; 12/5; 23/10; 53/20; ; ; ; 13/5; ; 5/2; ; 13/5; ; ; 13/5; ; ; 21/10; ; 
Solihull Moors; 3; 3; ; 14/5; 31/10; 14/5; 16/5; 11/4; 3; ; 16/5; 3; 59/20; ; ; ; 56/19; ; 14/5; ; 56/19; ; ; 3; ; ; 1/20; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-19 00:23:37 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 5/6; 4/5; ; 4/5; 17/20; 3/4; 5/6; 5/6; 5/6; ; 5/6; 5/6; 5/6; ; ; ; 4/5; ; 7/9; ; 4/5; ; ; 4/5; ; ; 1/20; ; 
Draw; 11/4; 13/5; ; 12/5; 13/5; 5/2; 5/2; 5/2; 13/5; ; 12/5; 23/10; 53/20; ; ; ; 13/5; ; 5/2; ; 13/5; ; ; 13/5; ; ; 21/10; ; 
Solihull Moors; 3; 3; ; 14/5; 31/10; 14/5; 33/10; 11/4; 3; ; 16/5; 3; 59/20; ; ; ; 56/19; ; 14/5; ; 56/19; ; ; 3; ; ; 1/20; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-19 04:22:24 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 5/6; 4/5; ; 4/5; 17/20; 3/4; 5/6; 5/6; 5/6; ; 5/6; 5/6; 5/6; ; ; ; 4/5; ; 7/9; ; 4/5; ; ; 4/5; ; ; 1/20; ; 
Draw; 11/4; 13/5; ; 12/5; 13/5; 5/2; 13/5; 5/2; 13/5; ; 12/5; 23/10; 53/20; ; ; ; 13/5; ; 5/2; ; 13/5; ; ; 13/5; ; ; 21/10; ; 
Solihull Moors; 3; 3; ; 14/5; 31/10; 14/5; 16/5; 11/4; 3; ; 16/5; 3; 59/20; ; ; ; 56/19; ; 14/5; ; 56/19; ; ; 3; ; ; 1/20; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-19 08:22:35 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 5/6; 4/5; ; 4/5; 17/20; 3/4; 17/20; 5/6; 5/6; ; 5/6; 5/6; 5/6; ; ; ; 4/5; ; 7/9; ; 4/5; ; ; 4/5; ; ; 1/20; ; 
Draw; 11/4; 13/5; ; 12/5; 13/5; 5/2; 5/2; 5/2; 13/5; ; 12/5; 23/10; 53/20; ; ; ; 13/5; ; 5/2; ; 13/5; ; ; 13/5; ; ; 21/10; ; 
Solihull Moors; 3; 3; ; 14/5; 31/10; 14/5; 33/10; 11/4; 3; ; 16/5; 3; 59/20; ; ; ; 56/19; ; 14/5; ; 56/19; ; ; 3; ; ; 1/20; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-19 12:25:00 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 5/6; 4/5; ; 4/5; 17/20; 3/4; 5/6; 5/6; 5/6; ; 5/6; 5/6; 5/6; ; ; ; 4/5; ; 7/9; ; 4/5; ; ; ; ; ; 1/20; ; 
Draw; 11/4; 13/5; ; 12/5; 13/5; 5/2; 13/5; 5/2; 13/5; ; 12/5; 23/10; 53/20; ; ; ; 13/5; ; 5/2; ; 13/5; ; ; ; ; ; 21/10; ; 
Solihull Moors; 3; 3; ; 14/5; 31/10; 14/5; 16/5; 11/4; 3; ; 16/5; 3; 59/20; ; ; ; 56/19; ; 14/5; ; 56/19; ; ; ; ; ; 1/20; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-19 16:24:48 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 5/6; 4/5; ; 4/5; 17/20; 3/4; 17/20; 5/6; 5/6; ; 5/6; 5/6; 5/6; ; ; ; 4/5; ; 7/9; ; 4/5; ; ; 4/5; ; ; 1/20; ; 
Draw; 11/4; 13/5; ; 12/5; 13/5; 5/2; 13/5; 5/2; 13/5; ; 12/5; 23/10; 53/20; ; ; ; 13/5; ; 5/2; ; 13/5; ; ; 13/5; ; ; 21/10; ; 
Solihull Moors; 3; 3; ; 14/5; 31/10; 14/5; 16/5; 11/4; 3; ; 16/5; 3; 59/20; ; ; ; 56/19; ; 14/5; ; 56/19; ; ; 3; ; ; 1/20; ; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-19 20:22:31 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 3/4; 4/5; 4/5; 3/4; 4/5; 3/4; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 10/13; 3/4; 4/5; ; 10/13; ; 7/9; ; 10/13; ; ; 4/5; ; ; 8/11; 4/5; 
Draw; 14/5; 13/5; 12/5; 12/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 12/5; 12/5; 51/20; 12/5; 13/5; ; 28/11; ; 5/2; ; 28/11; ; ; 13/5; ; ; 23/10; 23/10; 
Solihull Moors; 10/3; 3; 10/3; 3; 10/3; 14/5; 17/5; 3; 10/3; 10/3; 13/4; 3; 10/3; 16/5; 16/5; ; 17/5; ; 14/5; ; 17/5; ; ; 3; ; ; 3; 3; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-20 00:22:13 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 5/6; 4/5; 17/20; 5/6; 17/20; 3/4; 5/6; 4/5; 5/6; 17/20; 20/23; 5/6; 17/20; 5/6; 10/11; ; 13/15; ; 7/9; ; 5/6; ; ; 4/5; ; ; 4/5; 5/6; 
Draw; 14/5; 12/5; 47/20; 11/5; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 23/10; 12/5; 5/2; 23/10; 12/5; ; 27/11; ; 5/2; ; 27/11; ; ; 13/5; ; ; 23/10; 23/10; 
Solihull Moors; 3; 16/5; 31/10; 3; 31/10; 14/5; 33/10; 3; 3; 3; 29/10; 3; 3; 14/5; 3; ; 31/10; ; 14/5; ; 16/5; ; ; 3; ; ; 14/5; 14/5; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-20 04:21:56 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 17/20; 17/20; 5/6; 4/5; 17/20; 3/4; 4/5; 4/5; 5/6; 17/20; 17/20; 5/6; 17/20; 4/5; 10/11; ; 4/5; ; 7/9; ; 14/19; ; ; 4/5; ; ; 4/5; 4/5; 
Draw; 13/5; 5/2; 47/20; 12/5; 13/5; 5/2; 13/5; 13/5; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 12/5; ; 5/2; ; 5/2; ; 28/11; ; ; 13/5; ; ; 23/10; 23/10; 
Solihull Moors; 3; 3; 31/10; 14/5; 31/10; 14/5; 17/5; 3; 3; 16/5; 3; 3; 3; 29/10; 3; ; 33/10; ; 14/5; ; 39/11; ; ; 3; ; ; 14/5; 3; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-20 08:22:17 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 17/20; 5/6; 5/6; 4/5; 17/20; 3/4; 4/5; 4/5; 5/6; 17/20; 17/20; 5/6; 17/20; 4/5; 10/11; ; 4/5; ; 7/9; ; 14/19; ; ; 4/5; ; ; 4/5; 4/5; 
