META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-22 04:23:09 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 17/20; 17/20; 5/6; 4/5; 17/20; 3/4; 17/20; 4/5; 5/6; 17/20; 17/20; 5/6; 5/6; 5/6; 5/6; ; 5/6; ; 7/9; ; 10/13; ; ; 4/5; ; ; 5/6; 5/6; 
Draw; 13/5; 5/2; 47/20; 12/5; 13/5; 23/10; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 49/20; 12/5; 5/2; ; 5/2; ; 5/2; ; 5/2; ; ; 13/5; ; ; 5/2; 23/10; 
Solihull Moors; 3; 3; 31/10; 14/5; 16/5; 14/5; 16/5; 3; 3; 16/5; 16/5; 10/3; 16/5; 3; 16/5; ; 16/5; ; 14/5; ; 38/11; ; ; 3; ; ; 3; 3; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-22 08:23:42 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 17/20; 5/6; 5/6; 4/5; 17/20; 3/4; 5/6; 4/5; 5/6; 17/20; 17/20; 5/6; 5/6; 5/6; 5/6; ; 4/5; ; 7/9; ; 10/13; ; ; 4/5; ; ; 5/6; 5/6; 
Draw; 13/5; 5/2; 47/20; 12/5; 13/5; 23/10; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 49/20; 12/5; 5/2; ; 5/2; ; 5/2; ; 5/2; ; ; 13/5; ; ; 5/2; 5/2; 
Solihull Moors; 3; 3; 31/10; 14/5; 16/5; 14/5; 33/10; 3; 3; 16/5; 10/3; 10/3; 16/5; 3; 16/5; ; 13/4; ; 14/5; ; 7/2; ; ; 3; ; ; 3; 3; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-22 12:25:00 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 17/20; 5/6; 5/6; 4/5; 17/20; 3/4; 5/6; 4/5; 5/6; 17/20; 17/20; 5/6; 5/6; 5/6; 5/6; ; 4/5; ; 7/9; ; 10/13; ; ; 4/5; ; ; 5/6; 5/6; 
Draw; 13/5; 12/5; 47/20; 12/5; 13/5; 12/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 49/20; 12/5; 5/2; ; 5/2; ; 5/2; ; 28/11; ; ; 13/5; ; ; 12/5; 5/2; 
Solihull Moors; 3; 16/5; 31/10; 14/5; 16/5; 14/5; 33/10; 3; 3; 16/5; 10/3; 10/3; 16/5; 3; 16/5; ; 13/4; ; 14/5; ; 7/2; ; ; 3; ; ; 3; 3; 
META; english/non-league/national-league/solihull-moors-v-tranmere; 2016-10-22 16:22:49 GMT+3; 2016-10-22 15:00; e70300-dr003
Tranmere; 4/5; 17/20; 5/6; 4/5; 5/6; 3/4; 5/6; 4/5; 5/6; 17/20; 5/6; 5/6; 5/6; 5/6; 4/5; ; 4/5; ; 7/9; ; 10/13; ; ; ; ; ; 5/6; 5/6; 
Draw; 13/5; 5/2; 12/5; 23/10; 13/5; 12/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 49/20; 5/2; 13/5; ; 5/2; ; 5/2; ; 13/5; ; ; ; ; ; 13/5; 5/2; 
Solihull Moors; 16/5; 3; 31/10; 3; 16/5; 14/5; 16/5; 3; 3; 3; 16/5; 10/3; 16/5; 29/10; 16/5; ; 13/4; ; 14/5; ; 17/5; ; ; ; ; ; 3; 3; 
