Torquay; 3; 23/10; ; 5/2; 11/4; ; 13/5; 11/4; 14/5; ; 13/5; 11/4; 2; 53/20; 27/10; 13/5; 14/5; 37/13; ; 13/5; ; 37/13; 31/10; 28/13; ; ; 12/5; ; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-05 20:24:36 GMT+3; 2016-10-08 15:00; e70300-dr003
Chester; 8/11; 5/6; ; 8/11; 10/11; ; 4/5; 10/11; 1; 7/10; 3/4; 4/5; 1; 19/20; 17/20; 7/10; 19/20; 10/13; 11/13; 4/6; 4/6; 10/13; 11/13; ; ; ; 4/6; ; 
Draw; 13/5; 13/5; ; 12/5; 13/5; ; 13/5; 5/2; 5/2; 27/10; 13/5; 9/4; 5/2; 51/20; 23/10; 14/5; 5/2; 45/17; 5/2; 5/2; 27/10; 45/17; 45/17; ; ; ; 11/4; ; 
Torquay; 15/4; 13/5; ; 16/5; 29/10; ; 10/3; 13/5; 13/5; 7/2; 7/2; 11/4; 23/10; 51/20; 11/4; 7/2; 11/4; 16/5; 11/4; 17/5; 7/2; 16/5; 15/4; ; ; ; 3; ; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-06 00:23:18 GMT+3; 2016-10-08 15:00; e70300-dr003
Chester; 8/11; 17/20; ; 3/4; 4/5; ; 4/5; 8/11; 4/5; 7/10; 4/5; 4/5; 4/5; 10/13; 4/5; 3/4; 4/5; 10/13; 7/10; 4/6; 4/6; ; 11/13; 10/13; ; ; 4/5; ; 
Draw; 11/4; 5/2; ; 12/5; 13/5; ; 11/4; 13/5; 13/5; 27/10; 13/5; 9/4; 5/2; 53/20; 12/5; 14/5; 13/5; 45/17; 27/10; 5/2; 27/10; 45/17; 45/17; 28/11; ; ; 5/2; ; 
Torquay; 7/2; 29/10; ; 3; 10/3; ; 16/5; 3; 10/3; 7/2; 16/5; 11/4; 3; 16/5; 29/10; 3; 10/3; 13/4; 7/2; 17/5; 7/2; ; 15/4; 56/19; ; ; 3; ; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-06 04:23:06 GMT+3; 2016-10-08 15:00; e70300-dr003
Chester; 4/5; 17/20; ; 3/4; 4/5; ; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 4/5; 10/13; 4/5; 4/6; 4/5; ; 11/13; 4/5; ; ; 4/5; ; 
Draw; 11/4; 5/2; ; 12/5; 11/4; ; 11/4; 13/5; 13/5; 5/2; 13/5; 9/4; 5/2; 53/20; 12/5; 14/5; 13/5; 45/17; 5/2; 5/2; 5/2; 45/17; 45/17; 28/11; ; ; 27/10; ; 
Torquay; 16/5; 29/10; ; 3; 16/5; ; 16/5; 3; 3; 3; 16/5; 11/4; 3; 3; 3; 3; 10/3; 16/5; 3; 17/5; 3; ; 15/4; 14/5; ; ; 3; ; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-06 08:22:59 GMT+3; 2016-10-08 15:00; e70300-dr003
Chester; 4/5; 17/20; ; 4/5; 5/6; ; 4/5; 8/11; 4/5; 4/5; 17/20; 4/5; 4/5; 4/5; 4/5; 3/4; 5/6; 4/5; 4/5; 4/6; 4/5; ; 11/13; 9/11; ; ; 5/6; ; 
Draw; 11/4; 5/2; ; 13/5; 11/4; ; 11/4; 13/5; 13/5; 5/2; 13/5; 9/4; 5/2; 53/20; 12/5; 14/5; 13/5; 13/5; 5/2; 5/2; 5/2; 13/5; 45/17; 28/11; ; ; 27/10; ; 
Torquay; 16/5; 29/10; ; 11/4; 31/10; ; 16/5; 3; 3; 3; 3; 11/4; 3; 3; 29/10; 3; 3; 31/10; 3; 17/5; 3; ; 15/4; 27/10; ; ; 3; ; 
META; english/non-league/national-league/chester-v-torquay; 2016-10-06 12:23:30 GMT+3; 2016-10-08 15:00; e70300-dr003
