META; english/non-league/national-league/forest-green-v-boreham-wood; 2017-02-05 16:25:09 GMT+2; 2017-02-11 15:00; e70300-dr003
Forest Green; 8/13; ; 6/10; ; 3/5; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; ; 29/10; ; 29/10; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boreham Wood; 9/2; ; 17/4; ; 9/2; ; 19/4; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/forest-green-v-boreham-wood; 2017-02-05 20:25:24 GMT+2; 2017-02-11 15:00; e70300-dr003
Forest Green; 8/13; ; 6/10; ; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; ; 29/10; ; 29/10; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boreham Wood; 9/2; ; 17/4; ; 9/2; ; 9/2; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/forest-green-v-boreham-wood; 2017-02-06 00:22:18 GMT+2; 2017-02-11 15:00; e70300-dr003
Forest Green; 8/13; ; 6/10; ; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; ; 29/10; ; 29/10; ; 14/5; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 
Boreham Wood; 9/2; ; 17/4; ; 9/2; ; 9/2; ; 9/2; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/forest-green-v-boreham-wood; 2017-02-06 04:22:13 GMT+2; 2017-02-11 15:00; e70300-dr003
Forest Green; 8/13; ; 6/10; ; 8/13; ; 3/5; ; 4/7; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; ; 29/10; ; 29/10; ; 14/5; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 
Boreham Wood; 9/2; ; 17/4; ; 9/2; ; 9/2; ; 9/2; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; 
