META; english/non-league/national-league/torquay-v-aldershot; 2016-10-16 00:26:22 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; ; 7/5; ; ; 6/4; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; ; 13/8; ; ; 7/4; ; 7/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-16 04:22:51 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; ; 7/5; ; ; 6/4; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; ; 13/8; ; ; 7/4; ; 7/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-16 08:23:35 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; ; 7/5; ; ; 6/4; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; ; 13/8; ; ; 7/4; ; 7/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-16 12:24:51 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; ; 7/5; ; ; 6/4; ; 6/4; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; ; 13/8; ; ; 7/4; ; 7/4; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-16 16:23:54 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; ; 6/4; ; 6/4; ; ; ; 31/20; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 8/5; 13/8; ; ; 17/10; ; 17/10; ; ; ; 17/10; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 23/10; ; ; 5/2; ; 5/2; ; ; ; 21/10; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-16 20:24:45 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; ; 6/4; ; 31/20; 7/5; 6/4; ; 31/20; 7/5; ; ; ; ; 7/5; ; ; ; 7/5; ; ; ; ; ; ; ; 
Torquay; 8/5; 13/8; ; ; 17/10; ; 17/10; 17/10; 13/8; ; 17/10; 17/10; ; ; ; ; 17/11; ; ; ; 17/11; ; ; ; ; ; ; ; 
Draw; 13/5; 23/10; ; ; 5/2; ; 12/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; ; 12/5; ; ; ; 12/5; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-17 00:23:39 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; ; 6/4; ; 31/20; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 7/5; ; ; ; 7/5; ; ; ; ; ; ; ; 
Torquay; 8/5; 13/8; ; ; 17/10; ; 17/10; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 17/11; ; ; ; 17/11; ; ; ; ; ; ; ; 
Draw; 13/5; 23/10; ; ; 5/2; ; 12/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 40/17; ; ; ; 40/17; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-17 04:23:32 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; ; 6/4; ; 31/20; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 7/5; ; ; ; 7/5; ; ; ; ; ; ; ; 
Torquay; 8/5; 13/8; ; ; 17/10; ; 17/10; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 17/11; ; ; ; 17/11; ; ; ; ; ; ; ; 
Draw; 13/5; 23/10; ; ; 5/2; ; 12/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 40/17; ; ; ; 40/17; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-17 08:23:28 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; ; 6/4; ; 31/20; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 7/5; 16/11; ; 7/5; 7/5; ; ; 16/11; ; ; ; ; 
Torquay; 8/5; 13/8; ; ; 17/10; ; 17/10; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; 17/11; ; ; ; ; 
Draw; 13/5; 23/10; ; ; 5/2; ; 12/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 12/5; 5/2; ; 5/2; 12/5; ; ; 5/2; ; ; ; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-17 12:24:47 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; ; 6/4; ; 6/4; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 7/5; 16/11; ; 7/5; 7/5; ; ; 16/11; ; ; ; ; 
Torquay; 8/5; 13/8; ; ; 17/10; ; 17/10; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; 17/11; ; ; ; ; 
Draw; 13/5; 23/10; ; ; 5/2; ; 5/2; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 12/5; 5/2; ; 5/2; 12/5; ; ; 5/2; ; ; ; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-17 16:25:14 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; 29/20; 6/4; 7/5; 8/5; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 7/5; 16/11; 7/5; 7/5; 7/5; ; ; 16/11; ; ; ; ; 
Torquay; 8/5; 13/8; ; 8/5; 17/10; 31/20; 7/4; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; ; ; 17/11; ; ; ; ; 
Draw; 13/5; 23/10; ; 11/5; 5/2; 9/4; 11/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; ; ; 5/2; ; ; ; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-17 20:24:57 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; 29/20; 6/4; 7/5; 8/5; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 16/11; 16/11; 7/5; 7/5; 16/11; 19/11; ; 16/11; ; ; 1/50; ; 
Torquay; 8/5; 13/8; ; 8/5; 17/10; 31/20; 7/4; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; 13/8; ; 17/11; ; ; 1/50; ; 
Draw; 13/5; 23/10; ; 11/5; 5/2; 9/4; 11/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 27/11; 5/2; 12/5; 5/2; 27/11; 13/5; ; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-18 00:23:49 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; 29/20; 6/4; 7/5; 8/5; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 16/11; 16/11; 7/5; 7/5; 16/11; 19/11; ; 16/11; ; ; 1/10; ; 
Torquay; 8/5; 13/8; ; 8/5; 17/10; 31/20; 7/4; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 8/5; 17/11; 6/4; 6/4; 8/5; 13/8; ; 17/11; ; ; 1/10; ; 
Draw; 13/5; 23/10; ; 11/5; 5/2; 9/4; 11/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-18 04:23:53 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; 29/20; 6/4; 7/5; 8/5; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 16/11; 16/11; 7/5; 7/5; 16/11; 19/11; ; 16/11; ; ; 1/10; ; 
Torquay; 8/5; 13/8; ; 8/5; 17/10; 31/20; 7/4; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 8/5; 17/11; 6/4; 6/4; 8/5; 13/8; ; 17/11; ; ; 1/10; ; 
Draw; 13/5; 23/10; ; 11/5; 5/2; 9/4; 11/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-18 08:24:26 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; 29/20; 6/4; 7/5; 8/5; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 16/11; 16/11; 7/5; 7/5; 16/11; 19/11; ; 16/11; ; ; 1/10; ; 
Torquay; 8/5; 13/8; ; 31/20; 17/10; 31/20; 7/4; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 8/5; 17/11; 6/4; 6/4; 8/5; 13/8; ; 17/11; ; ; 1/10; ; 
Draw; 13/5; 23/10; ; 9/4; 5/2; 9/4; 11/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-18 12:27:28 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; 29/20; 6/4; 7/5; 8/5; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 16/11; 16/11; 7/5; 7/5; 16/11; 19/11; ; 16/11; ; ; 1/12; ; 
Torquay; 8/5; 13/8; ; 31/20; 17/10; 31/20; 7/4; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 8/5; 17/11; 6/4; 6/4; 8/5; 13/8; ; 17/11; ; ; 1/12; ; 
Draw; 13/5; 23/10; ; 9/4; 5/2; 9/4; 11/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 13/5; ; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-18 16:26:20 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; 29/20; 6/4; 7/5; 8/5; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 16/11; 16/11; 7/5; 7/5; 16/11; ; ; 16/11; ; ; 1/10; ; 
Torquay; 8/5; 13/8; ; 31/20; 17/10; 31/20; 7/4; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 8/5; 17/11; 6/4; 6/4; 8/5; ; ; 17/11; ; ; 1/10; ; 
Draw; 13/5; 5/2; ; 9/4; 5/2; 9/4; 11/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; ; ; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-18 20:25:26 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; 29/20; 6/4; 7/5; 8/5; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 16/11; 16/11; 7/5; 7/5; 16/11; 19/11; ; 16/11; ; ; 1/10; ; 
Torquay; 8/5; 13/8; ; 31/20; 17/10; 31/20; 7/4; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; 13/8; ; 17/11; ; ; 1/10; ; 
Draw; 13/5; 5/2; ; 9/4; 5/2; 9/4; 11/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 27/11; 5/2; 12/5; 5/2; 27/11; 13/5; ; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-19 00:23:43 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; 29/20; 6/4; 7/5; 8/5; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 16/11; 16/11; 7/5; 7/5; 16/11; 19/11; ; 16/11; ; ; 1/10; ; 
Torquay; 8/5; 13/8; ; 31/20; 17/10; 31/20; 7/4; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; 13/8; ; 17/11; ; ; 1/10; ; 
Draw; 13/5; 5/2; ; 9/4; 5/2; 9/4; 11/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 27/11; 5/2; 12/5; 5/2; 27/11; 13/5; ; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-19 04:22:29 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; 29/20; 6/4; 7/5; 8/5; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 16/11; 16/11; 7/5; 7/5; 16/11; 19/11; ; 16/11; ; ; 1/10; ; 
Torquay; 8/5; 13/8; ; 31/20; 17/10; 31/20; 7/4; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; 13/8; ; 17/11; ; ; 1/10; ; 
Draw; 13/5; 5/2; ; 9/4; 5/2; 9/4; 11/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 27/11; 5/2; 12/5; 5/2; 27/11; 13/5; ; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-19 08:22:40 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; 29/20; 6/4; 7/5; 8/5; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 16/11; 16/11; 7/5; 7/5; 16/11; 19/11; ; 16/11; ; ; 1/10; ; 
Torquay; 8/5; 13/8; ; 31/20; 17/10; 31/20; 7/4; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; 13/8; ; 17/11; ; ; 1/10; ; 
Draw; 13/5; 5/2; ; 9/4; 5/2; 9/4; 11/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 27/11; 5/2; 12/5; 5/2; 27/11; 13/5; ; 5/2; ; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-19 12:25:08 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; 29/20; 6/4; 7/5; 8/5; 7/5; 6/4; ; 31/20; 7/5; ; ; ; 6/4; 16/11; 16/11; 7/5; ; 16/11; 19/11; ; ; ; ; 1/10; ; 
Torquay; 8/5; 13/8; ; 31/20; 17/10; 31/20; 7/4; 17/10; 13/8; ; 17/10; 17/10; ; ; ; 8/5; 17/11; 17/11; 6/4; ; 17/11; 13/8; ; ; ; ; 1/10; ; 
Draw; 13/5; 5/2; ; 9/4; 5/2; 9/4; 11/5; 23/10; 5/2; ; 21/10; 23/10; ; ; ; 12/5; 27/11; 5/2; 12/5; ; 27/11; 13/5; ; ; ; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-aldershot; 2016-10-19 16:24:52 GMT+3; 2016-10-22 15:00; e70300-dr003
Aldershot; 6/4; 7/5; ; 29/20; 6/4; 7/5; 8/5; 7/5; 6/4; ; 31/20; 7/5; 29/20; ; ; 6/4; 16/11; 16/11; 7/5; 7/5; 16/11; 19/11; ; 16/11; ; ; 1/12; ; 
Torquay; 8/5; 13/8; ; 31/20; 17/10; 31/20; 7/4; 17/10; 13/8; ; 17/10; 17/10; 8/5; ; ; 8/5; 17/11; 17/11; 6/4; 6/4; 17/11; 13/8; ; 17/11; ; ; 1/12; ; 
