META; english/non-league/national-league/york-v-maidstone; 2017-02-05 16:25:38 GMT+2; 2017-02-11 15:00; e70300-dr003
York; 10/11; ; 10/11; ; 10/11; ; 9/10; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; 47/20; ; 13/5; ; 13/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 14/5; ; 29/10; ; 29/10; ; 29/10; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-maidstone; 2017-02-05 20:25:46 GMT+2; 2017-02-11 15:00; e70300-dr003
York; 10/11; ; 10/11; ; 10/11; ; 9/10; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; 47/20; ; 13/5; ; 13/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 14/5; ; 29/10; ; 14/5; ; 29/10; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-maidstone; 2017-02-06 00:22:35 GMT+2; 2017-02-11 15:00; e70300-dr003
York; 10/11; ; 10/11; ; 10/11; ; 9/10; ; 10/11; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; 47/20; ; 13/5; ; 13/5; ; 5/2; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 14/5; ; 29/10; ; 14/5; ; 29/10; ; 14/5; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-maidstone; 2017-02-06 04:22:29 GMT+2; 2017-02-11 15:00; e70300-dr003
York; 10/11; ; 10/11; ; 10/11; ; 9/10; ; 10/11; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; 47/20; ; 13/5; ; 13/5; ; 5/2; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 14/5; ; 29/10; ; 14/5; ; 29/10; ; 14/5; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/york-v-maidstone; 2017-02-06 08:22:26 GMT+2; 2017-02-11 15:00; e70300-dr003
York; 10/11; ; 10/11; ; 10/11; ; 9/10; ; 10/11; ; ; ; ; ; ; 10/11; 13/15; ; 9/10; 13/15; ; ; 9/10; ; ; ; ; 
Draw; 13/5; ; 47/20; ; 13/5; ; 13/5; ; 5/2; ; ; ; ; ; ; 5/2; 40/17; ; 12/5; 40/17; ; ; 12/5; ; ; ; ; 
Maidstone; 14/5; ; 29/10; ; 29/10; ; 29/10; ; 14/5; ; ; ; ; ; ; 14/5; 27/10; ; 11/4; 27/10; ; ; 11/4; ; ; ; ; 
META; english/non-league/national-league/york-v-maidstone; 2017-02-06 12:22:31 GMT+2; 2017-02-11 15:00; e70300-dr003
York; 10/11; ; 10/11; 20/23; 10/11; ; 9/10; ; 10/11; ; ; ; ; ; ; 10/11; 13/15; 13/15; 9/10; 13/15; ; ; 9/10; ; ; ; ; 
Draw; 13/5; ; 47/20; 23/10; 13/5; ; 13/5; ; 5/2; ; ; ; ; ; ; 13/5; 12/5; 12/5; 12/5; 12/5; ; ; 12/5; ; ; ; ; 
Maidstone; 14/5; ; 29/10; 13/5; 29/10; ; 29/10; ; 14/5; ; ; ; ; ; ; 14/5; 27/10; 13/5; 11/4; 27/10; ; ; 11/4; ; ; ; ; 
META; english/non-league/national-league/york-v-maidstone; 2017-02-06 16:25:01 GMT+2; 2017-02-11 15:00; e70300-dr003
York; 10/11; 10/11; 10/11; 20/23; 10/11; ; 9/10; ; 10/11; ; 10/11; ; ; ; ; 10/11; 13/15; 13/15; 9/10; 13/15; ; ; 9/10; ; ; ; ; 
Draw; 13/5; 5/2; 47/20; 23/10; 13/5; ; 13/5; ; 5/2; ; 23/10; ; ; ; ; 5/2; 12/5; 12/5; 12/5; 12/5; ; ; 12/5; ; ; ; ; 
Maidstone; 14/5; 11/4; 29/10; 13/5; 29/10; ; 29/10; ; 14/5; ; 14/5; ; ; ; ; 14/5; 27/10; 13/5; 11/4; 27/10; ; ; 11/4; ; ; ; ; 
META; english/non-league/national-league/york-v-maidstone; 2017-02-06 20:23:59 GMT+2; 2017-02-11 15:00; e70300-dr003
York; 10/11; 10/11; 10/11; 20/23; 10/11; ; 9/10; ; 10/11; ; 10/11; 5/6; ; ; ; 10/11; 13/15; 13/15; 9/10; 13/15; ; ; 9/10; ; ; ; ; 
Draw; 13/5; 5/2; 47/20; 23/10; 13/5; ; 13/5; ; 5/2; ; 23/10; 5/2; ; ; ; 5/2; 27/11; 12/5; 12/5; 27/11; ; ; 12/5; ; ; ; ; 
Maidstone; 14/5; 11/4; 29/10; 13/5; 29/10; ; 29/10; ; 14/5; ; 14/5; 11/4; ; ; ; 14/5; 11/4; 13/5; 11/4; 11/4; ; ; 11/4; ; ; ; ; 
META; english/non-league/national-league/york-v-maidstone; 2017-02-07 00:22:26 GMT+2; 2017-02-11 15:00; e70300-dr003
York; 10/11; 10/11; 10/11; 20/23; 10/11; ; 9/10; ; 10/11; ; 10/11; 5/6; ; ; ; 10/11; 13/15; 13/15; 9/10; 13/15; ; ; 9/10; ; ; ; ; 
Draw; 13/5; 5/2; 47/20; 23/10; 13/5; ; 13/5; ; 5/2; ; 23/10; 5/2; ; ; ; 5/2; 27/11; 12/5; 12/5; 27/11; ; ; 12/5; ; ; ; ; 
Maidstone; 14/5; 11/4; 29/10; 13/5; 29/10; ; 29/10; ; 14/5; ; 14/5; 11/4; ; ; ; 14/5; 11/4; 13/5; 11/4; 11/4; ; ; 11/4; ; ; ; ; 
META; english/non-league/national-league/york-v-maidstone; 2017-02-07 04:22:40 GMT+2; 2017-02-11 15:00; e70300-dr003
York; 10/11; 10/11; 10/11; 20/23; 10/11; ; 9/10; ; 10/11; ; 10/11; 5/6; ; ; ; 10/11; 13/15; 13/15; 9/10; 13/15; ; ; 9/10; ; ; ; ; 
Draw; 13/5; 5/2; 47/20; 23/10; 13/5; ; 13/5; ; 5/2; ; 23/10; 5/2; ; ; ; 5/2; 27/11; 12/5; 12/5; 27/11; ; ; 12/5; ; ; ; ; 
Maidstone; 14/5; 11/4; 29/10; 13/5; 29/10; ; 29/10; ; 14/5; ; 14/5; 11/4; ; ; ; 14/5; 11/4; 13/5; 11/4; 11/4; ; ; 11/4; ; ; ; ; 
META; english/non-league/national-league/york-v-maidstone; 2017-02-07 08:22:48 GMT+2; 2017-02-11 15:00; e70300-dr003
York; 10/11; 10/11; 10/11; 20/23; 10/11; ; 9/10; 5/6; 10/11; ; 10/11; 5/6; ; ; ; 10/11; 13/15; 13/15; 9/10; 13/15; ; ; 9/10; ; ; ; ; 
Draw; 13/5; 5/2; 47/20; 23/10; 13/5; ; 13/5; 12/5; 5/2; ; 23/10; 5/2; ; ; ; 5/2; 27/11; 12/5; 12/5; 27/11; ; ; 12/5; ; ; ; ; 
Maidstone; 14/5; 11/4; 29/10; 13/5; 29/10; ; 29/10; 11/4; 14/5; ; 14/5; 11/4; ; ; ; 14/5; 11/4; 13/5; 11/4; 11/4; ; ; 11/4; ; ; ; ; 
META; english/non-league/national-league/york-v-maidstone; 2017-02-07 12:24:17 GMT+2; 2017-02-11 15:00; e70300-dr003
York; 10/11; 10/11; 10/11; 20/23; 10/11; ; 9/10; 5/6; 10/11; ; 10/11; 5/6; ; ; ; 10/11; 13/15; 13/15; 9/10; 13/15; ; ; 9/10; ; ; ; ; 
Draw; 13/5; 5/2; 47/20; 23/10; 13/5; ; 13/5; 12/5; 5/2; ; 23/10; 5/2; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; ; ; 12/5; ; ; ; ; 
Maidstone; 14/5; 11/4; 29/10; 13/5; 29/10; ; 29/10; 11/4; 14/5; ; 14/5; 11/4; ; ; ; 14/5; 11/4; 13/5; 11/4; 11/4; ; ; 11/4; ; ; ; ; 
META; english/non-league/national-league/york-v-maidstone; 2017-02-07 16:23:42 GMT+2; 2017-02-11 15:00; e70300-dr003
York; 4/5; 4/5; 5/6; 4/5; 17/20; 5/6; 5/6; 5/6; 5/6; 5/6; 4/5; 5/6; 4/5; ; ; 5/6; 10/13; 13/15; 9/10; 10/13; 21/25; 9/11; 9/10; ; ; ; 4/5; 
Draw; 13/5; 5/2; 12/5; 11/5; 13/5; 23/10; 13/5; 12/5; 13/5; 5/2; 12/5; 12/5; 51/20; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 14/5; 27/11; 12/5; ; ; ; 23/10; 
Maidstone; 10/3; 3; 16/5; 16/5; 16/5; 27/10; 33/10; 11/4; 3; 10/3; 16/5; 3; 16/5; ; ; 16/5; 16/5; 13/5; 11/4; 16/5; 71/20; 37/13; 11/4; ; ; ; 3; 
META; english/non-league/national-league/york-v-maidstone; 2017-02-07 20:23:36 GMT+2; 2017-02-11 15:00; e70300-dr003
York; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 5/6; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; ; 5/6; 5/6; 10/13; 13/15; 9/10; 10/13; 21/25; 9/11; 9/10; ; ; ; 4/5; 
Draw; 13/5; 12/5; 12/5; 11/5; 13/5; 23/10; 13/5; 5/2; 13/5; 5/2; 12/5; 12/5; 51/20; ; 5/2; 5/2; 27/11; 12/5; 12/5; 27/11; 14/5; 27/11; 12/5; ; ; ; 23/10; 
Maidstone; 10/3; 16/5; 16/5; 16/5; 16/5; 27/10; 33/10; 16/5; 3; 10/3; 16/5; 3; 16/5; ; 16/5; 16/5; 16/5; 13/5; 11/4; 16/5; 71/20; 37/13; 11/4; ; ; ; 3; 
META; english/non-league/national-league/york-v-maidstone; 2017-02-08 00:22:35 GMT+2; 2017-02-11 15:00; e70300-dr003
York; 4/5; 5/6; 5/6; 4/5; 17/20; 5/6; 5/6; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; ; 5/6; 5/6; 4/5; 13/15; 9/10; 4/5; 21/25; 9/11; 9/10; ; ; 4/5; 4/5; 
Draw; 13/5; 12/5; 12/5; 11/5; 13/5; 23/10; 13/5; 5/2; 13/5; 5/2; 12/5; 12/5; 51/20; ; 5/2; 5/2; 27/11; 12/5; 12/5; 27/11; 14/5; 27/11; 12/5; ; ; 12/5; 23/10; 
