META; english/non-league/national-league/eastleigh-v-lincoln; 2017-04-02 12:20:30 GMT+3; 2017-04-08 15:00; e70300-dr003
Lincoln; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-lincoln; 2017-04-02 16:18:23 GMT+3; ; e70300-dr003
Spartak Moscow; 4/7; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; 4/11; ; 8/15; ; ; 8/15; 49/100; 6/17; 6/11; ; 6/11; ; ; ; 
Zenit St Petersburg; 9/4; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 5/2; ; 11/5; ; ; 11/5; 29/10; 23/10; 2; ; 2; ; ; ; 
CSKA Moscow; 5; ; ; ; ; ; ; ; ; ; ; ; 5; ; 9; ; 5; ; ; 5; 6; 9; 5; ; 5; ; ; ; 
Rostov; 250; ; ; ; ; ; ; ; ; ; ; ; 100; ; ; ; 250; ; ; 250; 150; ; 250; ; 250; ; ; ; 
FK Krasnodar; 250; ; ; ; ; ; ; ; ; ; ; ; 66; ; 150; ; 300; ; ; 300; 100; 120; 200; ; 200; ; ; ; 
Amkar; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 600; ; ; 600; 1000; ; 500; ; 500; ; ; ; 
Arsenal Tula; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; ; ; ; ; ; 
Orenburg; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; ; ; ; ; ; 
Terek Grozni; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; 150; ; 500; ; 500; ; ; ; 
Ufa; 350; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; 300; ; 300; ; ; ; 
Lokomotiv; 1500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; 500; ; 1500; ; 1500; ; ; ; 
Rubin Kazan; 1500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; 500; ; 1000; ; 1000; ; ; ; 
Anzhi Makhachkala; 2000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2000; ; ; 2000; 1000; ; 2000; ; 2000; ; ; ; 
Gazovik Orenburg; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4000; ; 4000; ; ; ; 
Ural S R; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; ; 4500; 1000; ; 3000; ; 3000; ; ; ; 
Kryliya Sovetov; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; 5000; ; 5000; ; ; ; 
META; english/non-league/national-league/eastleigh-v-lincoln; 2017-04-02 20:20:06 GMT+3; 2017-04-02 16:00; e70300-dr003
Draw 1-1; 13/2; 11/2; 13/2; 13/2; 6; 5; 13/2; 6; 11/2; 6; 6; ; 6; 6; 11/2; 11/2; 15/2; 6; 6; 15/2; ; 6; 6; 11/2; 6; ; ; 33/5; 
Man City 2-1; 9; 8; 9; 8; 8; 15/2; 17/2; 9; 8; 8; 8; ; 15/2; 8; 8; 8; 19/2; 8; 8; 19/2; ; 17/2; 8; 8; 8; ; ; 43/5; 
Arsenal 2-1; 11; 9; 10; 9; 9; 9; 10; 11; 9; 9; 9; ; 9; 10; 9; 9; 21/2; 19/2; 19/2; 21/2; ; 10; 19/2; 9; 19/2; ; ; 53/5; 
Man City 1-0; 10; 10; 11; 10; 9; 17/2; 21/2; 10; 9; 9; 10; ; 9; 10; 7; 9; 11; 19/2; 9; 11; ; 10; 9; 9; 9; ; ; 53/5; 
Arsenal 1-0; 12; 12; 12; 11; 11; 10; 12; 12; 11; 11; 11; ; 11; 12; 9; 10; 49/4; 11; 11; 49/4; ; 12; 11; 11; 11; ; ; 12; 
Draw 2-2; 11; 10; 11; 12; 10; 9; 11; 12; 10; 10; 10; ; 11; 10; 11; 10; 13; 21/2; 21/2; 13; ; 11; 21/2; 10; 21/2; ; ; 56/5; 
Man City 2-0; 14; 12; 14; 14; 12; 11; 13; 13; 12; 12; 12; ; 14; 14; 9; 11; 27/2; 12; 12; 27/2; ; 13; 12; 11; 12; ; ; 63/5; 
Draw 0-0; 14; 14; 16; 14; 12; 12; 21/2; 13; 14; 14; 14; ; 9; 14; 9; 11; 41/4; 33/4; 21/2; 41/4; ; 16; 21/2; ; 21/2; ; ; 15; 
Arsenal 2-0; 18; 16; 18; 16; 16; 12; 17; 17; 16; 16; 16; ; 16; 18; 12; 14; 67/4; 33/2; 16; 67/4; ; 17; 16; 16; 16; ; ; 92/5; 
Man City 3-1; 18; 16; 17; 16; 14; 12; 17; 17; 14; 14; 16; ; 14; 16; 12; 16; 17; 15; 14; 17; ; 16; 14; 14; 14; ; ; 17; 
Arsenal 3-1; 22; 20; 22; 20; 18; 16; 21; 22; 20; 20; 20; ; 22; 22; 20; 18; 21; 20; 19; 21; ; 21; 19; 20; 19; ; ; 23; 
Man City 3-2; 22; 22; 22; 22; 18; 16; 21; 22; 22; 18; 20; ; 20; 20; 20; 20; 91/4; 20; 18; 91/4; ; 23; 18; 20; 18; ; ; 22; 
Man City 3-0; 25; 22; 25; 22; 20; 20; 25; 25; 22; 20; 22; ; 22; 25; 18; 20; 47/2; 22; 19; 47/2; ; 24; 19; 20; 19; ; ; 26; 
