META; english/non-league/national-league/southport-v-macclesfield; 2017-04-02 00:19:02 GMT+3; 2017-04-01 19:45; e70300-dr003
Roma; 1/6; 2/11; 1/5; 1/5; 2/11; 1/5; 2/11; 1/6; 1/5; 2/11; 1/6; 2/11; 1/6; 1/6; 1/6; 1/6; 3/19; 2/11; 1/6; 3/19; 9/50; 1/5; 3/19; 2/11; 1/6; ; 2/11; 2/11; 1/5
Draw; 6; 6; 13/2; 6; 13/2; 13/2; 13/2; 13/2; 13/2; 6; 6; 11/2; 13/2; 6; 6; 13/2; 13/2; 6; 13/2; 13/2; 15/2; 33/5; 13/2; 6; 13/2; ; 33/5; 32/5; 34/5
Empoli; 14; 14; 17; 14; 14; 14; 14; 13; 12; 14; 14; 14; 16; 12; 16; 14; 67/4; 12; 14; 67/4; 19; 13; 14; 14; 15; ; 18; 33/2; 89/5
META; english/non-league/national-league/southport-v-macclesfield; 2017-04-02 04:21:56 GMT+3; 2017-04-01 18:15; e70300-dr003
Draw 1-1; 9/2; 9/2; 5; 11/2; 9/2; ; 11/2; 5; 9/2; 9/2; 24/5; 9/2; 19/4; ; 19/4; 9/2; 21/4; 19/4; 5; 21/4; ; 47/10; 51/10; 9/2; 51/10; ; ; 5; 
Draw 0-0; 5; 11/2; 6; 6; 5; ; 6; 11/2; 21/4; 11/2; 11/2; 11/2; 21/4; ; 11/2; 5; 67/13; 9/2; 5; 67/13; ; 28/5; 5; ; 5; ; ; 6; 
Boavista 1-0; 11/2; 11/2; 6; 11/2; 11/2; ; 13/2; 6; 11/2; 11/2; 11/2; 11/2; 11/2; ; 11/2; 11/2; 60/11; 11/2; 6; 60/11; ; 11/2; 6; 11/2; 6; ; ; 29/5; 
Rio Ave 1-0; 6; 6; 6; 6; 6; ; 7; 13/2; 11/2; 6; 6; 11/2; 11/2; ; 6; 6; 96/17; 23/4; 13/2; 96/17; ; 59/10; 13/2; 6; 13/2; ; ; 32/5; 
Boavista 2-1; 10; 9; 10; 10; 9; ; 21/2; 10; 10; 9; 10; 9; 9; ; 9; 9; 10; 10; 10; 10; ; 10; 10; 9; 10; ; ; 56/5; 
Boavista 2-0; 10; 11; 11; 11; 10; ; 12; 10; 10; 11; 11; 10; 11; ; 10; 10; 41/4; 21/2; 23/2; 41/4; ; 11; 23/2; 11; 23/2; ; ; 12; 
Rio Ave 2-1; 11; 10; 10; 11; 10; ; 12; 10; 10; 10; 10; 9; 10; ; 10; 10; 21/2; 10; 11; 21/2; ; 11; 11; 10; 11; ; ; 58/5; 
Rio Ave 2-0; 12; 12; 12; 14; 11; ; 14; 12; 12; 12; 12; 11; 12; ; 11; 11; 45/4; 23/2; 13; 45/4; ; 12; 13; 12; 13; ; ; 63/5; 
Draw 2-2; 18; 16; 16; 20; 14; ; 18; 16; 16; 16; 16; 14; 16; ; 12; 16; 75/4; 33/2; 17; 75/4; ; 19; 17; 16; 17; ; ; 92/5; 
Boavista 3-1; 25; 25; 25; 25; 22; ; 28; 25; 28; 25; 25; 22; 25; ; 22; 22; 101/4; 25; 26; 101/4; ; 29; 26; 25; 26; ; ; 30; 
Boavista 3-0; 25; 25; 28; 25; 22; ; 30; 25; 28; 28; 28; 25; 30; ; 22; 22; 101/4; 25; 28; 101/4; ; 30; 28; 28; 28; ; ; 37; 
Rio Ave 3-1; 28; 25; 25; 28; 25; ; 30; 25; 33; 28; 28; 25; 28; ; 22; 25; 53/2; 25; 29; 53/2; ; 33; 29; 25; 29; ; ; 35; 
Rio Ave 3-0; 33; 28; 30; 33; 28; ; 35; 30; 33; 33; 33; 28; 33; ; 28; 28; 111/4; 28; 31; 111/4; ; 36; 31; 28; 31; ; ; 45; 
Boavista 3-2; 40; 40; 40; 50; 33; ; 50; 45; 50; 40; 45; 33; 45; ; 33; 40; 161/4; 35; 45; 161/4; ; 50; 45; 33; 45; ; ; 53; 
Rio Ave 3-2; 40; 40; 40; 50; 40; ; 50; 45; 50; 40; 45; 33; 45; ; 40; 40; 83/2; 40; 45; 83/2; ; 50; 45; 40; 45; ; ; 57; 
Any Other Score; ; ; 60; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; 66; ; ; ; 70; ; 50; ; ; ; ; 
Boavista 4-0; 66; 66; 75; 66; 66; ; 100; 90; 100; 90; 80; 66; 80; ; 80; 66; 60; 100; 80; 60; ; 100; 80; 66; 80; ; ; ; 
Boavista 4-1; 66; 66; 70; 66; 66; ; 90; 90; 100; 80; 70; 50; 70; ; 66; 66; 235/4; 80; 75; 235/4; ; 90; 75; 50; 75; ; ; ; 
