Draw; 31/10; ; ; 13/5; 29/10; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; 13/4; ; ; ; ; 
Guiseley; 9/2; ; ; 9/2; 9/2; 21/5; 19/4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-30 16:21:46 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; 8/15; 4/7; 8/15; 11/20; ; ; ; ; 8/15; ; ; ; 4/7; ; ; ; ; ; 8/13; ; ; ; ; 
Draw; 31/10; ; ; 13/5; 29/10; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; 3; ; ; ; ; ; 13/4; ; ; ; ; 
Guiseley; 9/2; ; ; 9/2; 9/2; 21/5; 19/4; ; ; ; ; 9/2; ; ; ; 4; ; ; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-30 20:20:50 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; 8/15; 4/7; 8/15; 11/20; ; ; ; ; 8/15; ; ; ; 4/7; ; ; ; ; ; 8/13; ; ; ; ; 
Draw; 31/10; ; ; 13/5; 29/10; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; 3; ; ; ; ; ; 13/4; ; ; ; ; 
Guiseley; 9/2; ; ; 9/2; 9/2; 21/5; 19/4; ; ; ; ; 9/2; ; ; ; 4; ; ; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-31 00:20:18 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; 8/15; 8/15; 8/15; 11/20; ; ; ; ; 8/15; ; ; ; 4/7; ; ; ; ; ; 8/13; ; ; ; ; 
Draw; 31/10; ; ; 13/5; 3; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; 3; ; ; ; ; ; 13/4; ; ; ; ; 
Guiseley; 9/2; ; ; 9/2; 9/2; 21/5; 19/4; ; ; ; ; 9/2; ; ; ; 4; ; ; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-31 04:20:19 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; 8/15; 4/7; 8/15; 11/20; ; ; ; ; 8/15; ; ; ; 4/7; ; ; ; ; ; 8/13; ; ; ; ; 
Draw; 31/10; ; ; 13/5; 29/10; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; 3; ; ; ; ; ; 13/4; ; ; ; ; 
Guiseley; 9/2; ; ; 9/2; 9/2; 21/5; 19/4; ; ; ; ; 9/2; ; ; ; 4; ; ; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-31 08:20:12 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; 8/15; 8/15; 8/15; 8/15; ; ; ; ; 8/15; ; ; ; 4/7; ; ; ; ; ; 8/13; ; ; ; ; 
Draw; 31/10; ; ; 13/5; 3; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; 3; ; ; ; ; ; 13/4; ; ; ; ; 
Guiseley; 9/2; ; ; 9/2; 9/2; 21/5; 5; ; ; ; ; 9/2; ; ; ; 4; ; ; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-31 12:21:01 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; 8/15; 8/15; 8/15; 8/15; ; ; ; ; 8/15; ; ; ; 11/20; ; ; ; ; ; 8/13; ; ; ; ; 
Draw; 31/10; ; ; 13/5; 3; 13/5; 31/10; ; ; ; ; 29/10; ; ; ; 3; ; ; ; ; ; 13/4; ; ; ; ; 
Guiseley; 9/2; ; ; 9/2; 9/2; 21/5; 5; ; ; ; ; 9/2; ; ; ; 19/4; ; ; ; ; ; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-31 16:20:37 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; ; ; 8/15; 8/15; 8/15; 8/15; ; 8/15; ; ; 8/15; 1/2; ; ; 11/20; ; ; ; ; 18/35; 8/13; ; ; ; ; 
Draw; 31/10; ; ; 13/5; 3; 13/5; 31/10; ; 3; ; ; 29/10; 3; ; ; 3; ; ; ; ; 56/19; 13/4; ; ; ; ; 
Guiseley; 9/2; ; ; 9/2; 9/2; 21/5; 5; ; 9/2; ; ; 9/2; 9/2; ; ; 19/4; ; ; ; ; 49/11; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-07-31 20:20:58 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; 8/15; ; 8/15; 8/15; 8/15; 8/15; ; 8/15; ; ; 8/15; 1/2; ; ; 11/20; ; ; ; ; 18/35; 8/13; ; ; ; ; 
Draw; 31/10; 14/5; ; 13/5; 3; 13/5; 31/10; ; 3; ; ; 29/10; 3; ; ; 3; ; ; ; ; 56/19; 13/4; ; ; ; ; 
Guiseley; 9/2; 9/2; ; 9/2; 9/2; 21/5; 5; ; 9/2; ; ; 9/2; 9/2; ; ; 19/4; ; ; ; ; 22/5; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-01 00:20:14 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; 8/15; ; 8/15; 8/15; 8/15; 8/15; ; 8/15; ; ; 8/15; 1/2; ; ; 11/20; ; ; ; ; 8/15; 8/13; ; ; ; ; 
Draw; 31/10; 14/5; ; 13/5; 3; 13/5; 31/10; ; 3; ; ; 29/10; 3; ; ; 3; ; ; ; ; 56/19; 13/4; ; ; ; ; 
Guiseley; 9/2; 9/2; ; 9/2; 9/2; 21/5; 5; ; 9/2; ; ; 9/2; 9/2; ; ; 19/4; ; ; ; ; 74/17; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-01 04:20:18 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; 8/15; ; 8/15; 8/15; 8/15; 8/15; ; 8/15; ; ; 8/15; 1/2; ; ; 11/20; 8/15; ; ; ; 18/35; 8/13; ; ; ; ; 
Draw; 31/10; 14/5; ; 13/5; 3; 13/5; 31/10; ; 3; ; ; 29/10; 3; ; ; 3; 3; ; ; ; 56/19; 13/4; ; ; ; ; 
Guiseley; 9/2; 9/2; ; 9/2; 9/2; 21/5; 5; ; 9/2; ; ; 9/2; 9/2; ; ; 19/4; 9/2; ; ; ; 22/5; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-01 08:20:12 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; 8/15; ; 8/15; 8/15; 8/15; 8/15; ; 8/15; ; ; 8/15; 1/2; ; ; 11/20; 8/15; ; ; ; 18/35; 8/13; ; ; ; ; 
Draw; 31/10; 14/5; ; 13/5; 3; 13/5; 31/10; ; 3; ; ; 29/10; 3; ; ; 3; 3; ; ; ; 56/19; 13/4; ; ; ; ; 
Guiseley; 9/2; 9/2; ; 9/2; 9/2; 21/5; 5; ; 9/2; ; ; 9/2; 9/2; ; ; 19/4; 9/2; ; ; ; 22/5; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-01 12:20:36 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; 8/15; ; 8/15; 8/15; 8/15; 8/15; ; 8/15; 6/11; ; 8/15; 1/2; 11/20; ; 11/20; 8/15; 6/11; ; 8/15; 8/15; 8/13; ; ; ; ; 
Draw; 31/10; 14/5; ; 13/5; 3; 13/5; 31/10; ; 3; 3; ; 29/10; 3; 3; ; 3; 3; 3; ; 3; 56/19; 13/4; ; ; ; ; 
Guiseley; 9/2; 9/2; ; 9/2; 9/2; 21/5; 5; ; 9/2; 17/4; ; 9/2; 9/2; 9/2; ; 19/4; 9/2; 17/4; ; 21/5; 43/10; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-01 16:20:17 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; 8/15; ; 8/15; 8/15; 8/15; 8/15; ; 8/15; 6/11; 8/15; 8/15; 1/2; 11/20; ; 11/20; 8/15; 6/11; ; 8/15; 8/15; 8/13; ; ; ; ; 
Draw; 31/10; 14/5; ; 13/5; 3; 13/5; 16/5; ; 3; 3; 16/5; 29/10; 3; 3; ; 3; 3; 3; ; 3; 56/19; 13/4; ; ; ; ; 
Guiseley; 9/2; 9/2; ; 9/2; 9/2; 21/5; 19/4; ; 9/2; 17/4; 21/5; 9/2; 9/2; 9/2; ; 19/4; 9/2; 17/4; ; 21/5; 43/10; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-01 20:20:27 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; 8/15; ; 8/15; 8/15; 8/15; 8/15; ; 8/15; 6/11; 8/15; 8/15; 1/2; 11/20; ; 11/20; 8/15; 6/11; ; 8/15; 8/15; 8/13; ; ; ; ; 
Draw; 31/10; 14/5; ; 13/5; 3; 13/5; 16/5; ; 3; 3; 16/5; 29/10; 3; 3; ; 3; 3; 3; ; 3; 3; 13/4; ; ; ; ; 
Guiseley; 9/2; 9/2; ; 9/2; 9/2; 21/5; 5; ; 9/2; 17/4; 21/5; 9/2; 9/2; 9/2; ; 19/4; 9/2; 17/4; ; 21/5; 74/17; 24/5; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-02 00:20:12 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; 8/15; ; 8/15; 8/15; 8/15; 8/15; ; 8/15; 6/11; 8/15; 8/15; 1/2; 11/20; ; 11/20; 8/15; 6/11; ; 8/15; 8/15; 8/13; ; ; 2/7; ; 
Draw; 31/10; 14/5; ; 13/5; 3; 13/5; 16/5; ; 3; 3; 16/5; 29/10; 3; 3; ; 3; 3; 3; ; 3; 3; 13/4; ; ; 2/5; ; 
Guiseley; 9/2; 9/2; ; 9/2; 9/2; 21/5; 5; ; 9/2; 17/4; 21/5; 9/2; 9/2; 9/2; ; 19/4; 9/2; 17/4; ; 21/5; 74/17; 24/5; ; ; 2/5; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-02 04:20:16 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; 8/15; ; 8/15; 8/15; 8/15; 8/15; ; 8/15; 6/11; 8/15; 8/15; 1/2; 11/20; ; 11/20; 8/15; 6/11; ; 8/15; 8/15; 8/13; ; ; 2/7; ; 
Draw; 31/10; 14/5; ; 13/5; 3; 13/5; 16/5; ; 3; 3; 16/5; 29/10; 3; 3; ; 3; 3; 3; ; 3; 3; 13/4; ; ; 4/9; ; 
Guiseley; 9/2; 9/2; ; 9/2; 9/2; 21/5; 5; ; 9/2; 17/4; 21/5; 9/2; 9/2; 9/2; ; 19/4; 9/2; 17/4; ; 21/5; 74/17; 24/5; ; ; 4/9; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-02 08:20:26 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; 8/15; ; 8/15; 8/15; 8/15; 8/15; ; 8/15; 6/11; 8/15; 8/15; 1/2; 11/20; ; 11/20; 8/15; 6/11; ; 8/15; 8/15; 8/13; ; ; 2/7; ; 
Draw; 31/10; 14/5; ; 13/5; 3; 13/5; 16/5; ; 3; 3; 16/5; 29/10; 3; 3; ; 3; 3; 3; ; 3; 3; 13/4; ; ; 4/9; ; 
Guiseley; 9/2; 9/2; ; 9/2; 9/2; 21/5; 5; ; 9/2; 17/4; 21/5; 9/2; 9/2; 9/2; ; 19/4; 9/2; 17/4; ; 21/5; 74/17; 24/5; ; ; 4/9; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-02 12:20:29 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; 8/15; ; 8/15; 8/15; 8/15; 8/15; 1/2; 8/15; 6/11; 8/15; 8/15; 1/2; 11/20; ; 11/20; 8/15; 6/11; ; 8/15; 8/15; 8/13; ; ; 2/7; ; 
Draw; 31/10; 14/5; ; 13/5; 3; 13/5; 16/5; 3; 3; 3; 16/5; 29/10; 3; 3; ; 3; 3; 3; ; 3; 3; 13/4; ; ; 4/9; ; 
Guiseley; 9/2; 9/2; ; 9/2; 9/2; 21/5; 5; 9/2; 9/2; 17/4; 21/5; 9/2; 9/2; 9/2; ; 19/4; 9/2; 17/4; ; 21/5; 74/17; 24/5; ; ; 4/9; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-02 16:21:21 GMT+3; 2016-08-06 15:00; e70300-dr003
Eastleigh; 4/7; 8/15; ; 8/15; 8/15; 8/15; 8/15; 1/2; 8/15; 6/11; 8/15; 8/15; 1/2; 11/20; ; 11/20; 8/15; 6/11; ; 8/15; 8/15; 8/13; ; ; 2/7; ; 
Draw; 31/10; 14/5; ; 13/5; 3; 13/5; 16/5; 3; 3; 3; 16/5; 29/10; 3; 3; ; 3; 3; 3; ; 3; 3; 13/4; ; ; 4/11; ; 
Guiseley; 9/2; 9/2; ; 9/2; 9/2; 21/5; 5; 9/2; 9/2; 17/4; 21/5; 9/2; 9/2; 9/2; ; 19/4; 9/2; 17/4; ; 21/5; 74/17; 24/5; ; ; 4/11; ; 
META; english/non-league/national-league/eastleigh-v-guiseley; 2016-08-02 20:20:44 GMT+3; 2016-08-06 15:00; e70300-dr003
