META; english/non-league/national-league/torquay-v-macclesfield; 2017-02-05 16:25:28 GMT+2; 2017-02-11 15:00; e70300-dr003
Macclesfield; 5/4; ; 5/4; ; 5/4; ; 5/4; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 2; ; 41/20; ; 2; ; 2; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; 43/20; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-macclesfield; 2017-02-05 20:25:42 GMT+2; 2017-02-11 15:00; e70300-dr003
Macclesfield; 5/4; ; 5/4; ; 13/10; ; 5/4; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 2; ; 41/20; ; 19/10; ; 2; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; 43/20; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-macclesfield; 2017-02-06 00:22:31 GMT+2; 2017-02-11 15:00; e70300-dr003
Macclesfield; 5/4; ; 5/4; ; 13/10; ; 5/4; ; 13/10; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 2; ; 41/20; ; 19/10; ; 2; ; 2; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; 43/20; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-macclesfield; 2017-02-06 04:22:25 GMT+2; 2017-02-11 15:00; e70300-dr003
Macclesfield; 5/4; ; 5/4; ; 5/4; ; 5/4; ; 13/10; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 2; ; 41/20; ; 2; ; 2; ; 2; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; 43/20; ; 5/2; ; 5/2; ; 12/5; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-macclesfield; 2017-02-06 08:22:22 GMT+2; 2017-02-11 15:00; e70300-dr003
