META; english/non-league/national-league/dover-v-wrexham; 2017-02-05 16:25:07 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 5/6; ; ; ; 5/6; ; 5/6; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; 11/4; ; 11/4; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wrexham; 3; ; ; ; 3; ; 3; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-05 20:25:22 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 5/6; ; ; ; 5/6; ; 5/6; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; 11/4; ; 11/4; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wrexham; 3; ; ; ; 3; ; 31/10; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-06 00:22:15 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 5/6; ; ; ; 5/6; ; 5/6; ; 5/6; ; ; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; 11/4; ; 11/4; ; 13/5; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 
Wrexham; 3; ; ; ; 3; ; 31/10; ; 3; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-06 04:22:10 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 5/6; ; ; ; 5/6; ; 5/6; ; 5/6; ; ; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; 11/4; ; 11/4; ; 13/5; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; ; ; 
Wrexham; 3; ; ; ; 3; ; 31/10; ; 3; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-06 08:22:08 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 5/6; ; ; 3/4; 5/6; ; 4/5; ; 5/6; ; ; ; 5/6; ; ; 4/5; 10/13; ; 4/5; 10/13; ; ; 4/5; ; ; ; ; 
Draw; 11/4; ; ; 5/2; 11/4; ; 11/4; ; 13/5; ; ; ; 13/5; ; ; 27/10; 5/2; ; 5/2; 5/2; ; ; 28/11; ; ; ; ; 
Wrexham; 3; ; ; 14/5; 31/10; ; 16/5; ; 3; ; ; ; 3; ; ; 31/10; 56/19; ; 3; 56/19; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-06 12:22:12 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 5/6; ; ; 3/4; 5/6; ; 4/5; ; 5/6; ; ; ; 5/6; ; ; 5/6; 10/13; 3/4; 4/5; 10/13; ; ; 4/5; ; ; ; ; 
Draw; 11/4; ; ; 5/2; 11/4; ; 11/4; ; 13/5; ; ; ; 13/5; ; ; 27/10; 28/11; 13/5; 5/2; 28/11; ; ; 28/11; ; ; ; ; 
Wrexham; 3; ; ; 14/5; 31/10; ; 16/5; ; 3; ; ; ; 3; ; ; 3; 29/10; 14/5; 3; 29/10; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-06 16:24:31 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 5/6; 4/5; 4/5; 3/4; 5/6; ; 4/5; ; 5/6; ; 4/5; ; 5/6; ; ; 5/6; 10/13; 3/4; 4/5; 10/13; ; ; 4/5; ; ; ; ; 
Draw; 11/4; 13/5; 13/5; 5/2; 11/4; ; 11/4; ; 13/5; ; 13/5; ; 13/5; ; ; 27/10; 28/11; 13/5; 5/2; 28/11; ; ; 28/11; ; ; ; ; 
Wrexham; 3; 3; 3; 14/5; 31/10; ; 16/5; ; 3; ; 29/10; ; 3; ; ; 3; 29/10; 14/5; 3; 29/10; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-06 20:23:33 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 5/6; 4/5; 4/5; 3/4; 5/6; ; 4/5; ; 5/6; ; 4/5; 4/5; 5/6; ; ; 5/6; 4/5; 3/4; 4/5; 4/5; ; ; 4/5; ; ; ; ; 
Draw; 11/4; 13/5; 13/5; 5/2; 11/4; ; 11/4; ; 13/5; ; 13/5; 13/5; 13/5; ; ; 27/10; 13/5; 13/5; 5/2; 13/5; ; ; 28/11; ; ; ; ; 
Wrexham; 3; 3; 3; 14/5; 31/10; ; 16/5; ; 3; ; 29/10; 14/5; 3; ; ; 3; 56/19; 14/5; 3; 56/19; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-07 00:22:07 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 5/6; 4/5; 4/5; 3/4; 5/6; ; 4/5; ; 5/6; ; 4/5; 4/5; 5/6; ; ; 5/6; 4/5; 3/4; 4/5; 4/5; ; ; 4/5; ; ; ; ; 
Draw; 11/4; 13/5; 13/5; 5/2; 11/4; ; 11/4; ; 13/5; ; 13/5; 13/5; 13/5; ; ; 27/10; 13/5; 13/5; 5/2; 13/5; ; ; 28/11; ; ; ; ; 
Wrexham; 3; 3; 3; 14/5; 31/10; ; 16/5; ; 3; ; 29/10; 14/5; 3; ; ; 3; 56/19; 14/5; 3; 56/19; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-07 04:22:21 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 5/6; 4/5; 4/5; 3/4; 5/6; ; 4/5; ; 5/6; ; 4/5; 4/5; 5/6; ; ; 5/6; 4/5; 3/4; 4/5; 4/5; ; ; 4/5; ; ; ; ; 
Draw; 11/4; 13/5; 13/5; 5/2; 11/4; ; 11/4; ; 13/5; ; 13/5; 13/5; 13/5; ; ; 27/10; 13/5; 13/5; 5/2; 13/5; ; ; 28/11; ; ; ; ; 
Wrexham; 3; 3; 3; 14/5; 3; ; 16/5; ; 3; ; 29/10; 14/5; 3; ; ; 3; 56/19; 14/5; 3; 56/19; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-07 08:22:30 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 5/6; 4/5; 4/5; 3/4; 5/6; ; 4/5; 8/11; 5/6; ; 4/5; 4/5; 4/5; ; ; 4/5; 4/5; 3/4; 4/5; 4/5; ; ; 4/5; ; ; ; ; 
Draw; 11/4; 13/5; 13/5; 5/2; 11/4; ; 11/4; 11/4; 11/4; ; 13/5; 13/5; 27/10; ; ; 27/10; 13/5; 13/5; 5/2; 13/5; ; ; 28/11; ; ; ; ; 
Wrexham; 3; 3; 3; 14/5; 31/10; ; 16/5; 3; 3; ; 29/10; 14/5; 59/20; ; ; 31/10; 56/19; 14/5; 3; 56/19; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-07 12:23:51 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 5/6; 4/5; 4/5; 3/4; 5/6; ; 4/5; 8/11; 5/6; ; 4/5; 4/5; 4/5; ; ; 4/5; 10/13; 3/4; 4/5; 10/13; ; ; 4/5; ; ; ; ; 
Draw; 11/4; 13/5; 13/5; 5/2; 11/4; ; 11/4; 11/4; 11/4; ; 13/5; 13/5; 27/10; ; ; 11/4; 27/10; 13/5; 5/2; 27/10; ; ; 28/11; ; ; ; ; 
Wrexham; 3; 3; 3; 14/5; 31/10; ; 16/5; 3; 3; ; 29/10; 14/5; 59/20; ; ; 3; 29/10; 14/5; 3; 29/10; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-07 16:23:18 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 4/5; 4/5; 4/5; 4/5; 5/6; 3/4; 4/5; 8/11; 5/6; 5/6; 5/6; 4/5; 4/5; ; 5/6; 4/5; 10/13; 3/4; 4/5; 10/13; 83/100; 4/5; 4/5; ; ; ; 4/5; 
Draw; 11/4; 13/5; 5/2; 5/2; 11/4; 5/2; 11/4; 11/4; 11/4; 5/2; 5/2; 5/2; 27/10; ; 5/2; 27/10; 28/11; 13/5; 5/2; 28/11; 29/10; 45/17; 28/11; ; ; ; 12/5; 
Wrexham; 16/5; 29/10; 31/10; 11/4; 31/10; 14/5; 16/5; 3; 3; 10/3; 3; 3; 59/20; ; 16/5; 31/10; 16/5; 14/5; 3; 16/5; 7/2; 27/10; 3; ; ; ; 14/5; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-07 20:23:08 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 4/5; 5/6; 4/5; 4/5; 5/6; 3/4; 4/5; 8/11; 5/6; 5/6; 5/6; 4/5; 4/5; ; 5/6; 4/5; 10/13; 3/4; 4/5; 10/13; 83/100; 4/5; 4/5; ; ; ; 4/5; 
Draw; 11/4; 5/2; 5/2; 5/2; 11/4; 5/2; 11/4; 11/4; 11/4; 5/2; 5/2; 5/2; 27/10; ; 5/2; 27/10; 28/11; 13/5; 5/2; 28/11; 29/10; 45/17; 28/11; ; ; ; 12/5; 
Wrexham; 16/5; 3; 31/10; 11/4; 31/10; 14/5; 16/5; 3; 3; 10/3; 3; 3; 59/20; ; 16/5; 31/10; 41/13; 14/5; 3; 41/13; 7/2; 27/10; 3; ; ; ; 14/5; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-08 00:22:15 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 4/5; 5/6; 4/5; 4/5; 5/6; 3/4; 4/5; 8/11; 5/6; 5/6; 5/6; 4/5; 4/5; ; 5/6; 4/5; 10/13; 3/4; 4/5; 10/13; 83/100; 4/5; 4/5; ; ; 4/5; 4/5; 
Draw; 11/4; 5/2; 5/2; 5/2; 11/4; 5/2; 11/4; 11/4; 11/4; 5/2; 5/2; 5/2; 27/10; ; 5/2; 27/10; 28/11; 13/5; 5/2; 28/11; 29/10; 45/17; 28/11; ; ; 5/2; 12/5; 
Wrexham; 16/5; 3; 31/10; 11/4; 31/10; 14/5; 16/5; 3; 3; 10/3; 3; 3; 59/20; ; 16/5; 31/10; 41/13; 14/5; 3; 41/13; 7/2; 27/10; 3; ; ; 14/5; 14/5; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-08 04:22:16 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 10/11; 5/6; 9/10; 5/6; 17/20; 3/4; 20/23; 5/6; 9/10; 10/11; 17/20; 4/5; 17/20; ; 10/11; 11/13; 5/6; 3/4; 4/5; 5/6; 83/100; 9/10; 4/5; ; ; 5/6; 5/6; 
Draw; 13/5; 5/2; 49/20; 12/5; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; ; 12/5; 13/5; 27/11; 13/5; 5/2; 27/11; 29/10; 5/2; 28/11; ; ; 12/5; 12/5; 
Wrexham; 11/4; 3; 14/5; 13/5; 3; 14/5; 3; 3; 14/5; 3; 14/5; 3; 14/5; ; 3; 3; 56/19; 14/5; 3; 56/19; 7/2; 27/11; 3; ; ; 27/10; 27/10; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-08 08:21:54 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 17/20; 5/6; 9/10; 5/6; 17/20; 33/40; 9/10; 5/6; 9/10; 10/11; 10/11; 4/5; 17/20; ; 10/11; 11/13; 5/6; 3/4; 5/6; 5/6; 83/100; 9/10; 11/13; ; ; 5/6; 5/6; 
Draw; 13/5; 5/2; 49/20; 12/5; 13/5; 12/5; 13/5; 5/2; 13/5; 5/2; 12/5; 5/2; 13/5; ; 12/5; 5/2; 27/11; 13/5; 5/2; 27/11; 29/10; 5/2; 28/11; ; ; 5/2; 23/10; 
Wrexham; 3; 3; 14/5; 13/5; 3; 13/5; 29/10; 3; 14/5; 3; 11/4; 3; 14/5; ; 3; 3; 29/10; 14/5; 11/4; 29/10; 7/2; 27/11; 11/4; ; ; 11/4; 27/10; 
META; english/non-league/national-league/dover-v-wrexham; 2017-02-08 12:24:39 GMT+2; 2017-02-11 15:00; e70300-dr003
Dover; 17/20; 5/6; 9/10; 5/6; 10/11; 33/40; 37/40; 5/6; 9/10; 10/11; 10/11; 4/5; 17/20; ; 10/11; 11/13; 5/6; 3/4; 5/6; ; ; 11/12; 11/13; ; ; 5/6; 9/10; 
