META; english/non-league/national-league/boreham-wood-v-maidstone; 2016-08-28 00:22:37 GMT+3; 2016-08-29 15:00; e70300-dr003
Boreham Wood; ; 6/5; ; ; 19/20; ; 1; ; ; ; ; 10/11; 8/11; ; ; ; 10/11; ; ; ; ; ; ; ; ; 1/2; ; 
Maidstone; ; 19/10; ; ; 5/2; ; 5/2; ; ; ; ; 9/4; 13/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 21/20; ; 
Draw; ; 23/10; ; ; 11/4; ; 27/10; ; ; ; ; 12/5; 11/4; ; ; ; 11/4; ; ; ; ; ; ; ; ; 23/20; ; 
META; english/non-league/national-league/boreham-wood-v-maidstone; 2016-08-28 04:20:34 GMT+3; 2016-08-29 15:00; e70300-dr003
Boreham Wood; ; 6/5; ; ; 20/21; ; 21/20; ; ; ; ; 10/11; 8/11; ; ; ; 11/10; ; ; ; ; ; ; ; ; 2/11; ; 
Maidstone; ; 19/10; ; ; 12/5; ; 12/5; ; ; ; ; 9/4; 13/5; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/10; ; 
Draw; ; 23/10; ; ; 13/5; ; 13/5; ; ; ; ; 12/5; 11/4; ; ; ; 5/2; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/non-league/national-league/boreham-wood-v-maidstone; 2016-08-28 08:20:43 GMT+3; 2016-08-29 15:00; e70300-dr003
Boreham Wood; ; 6/5; ; ; 10/11; ; 20/21; ; ; ; ; 10/11; 8/11; ; ; ; 11/13; ; ; ; ; ; ; ; ; 1/2; ; 
Maidstone; ; 19/10; ; ; 5/2; ; 13/5; ; ; ; ; 9/4; 13/5; ; ; ; 13/5; ; ; ; ; ; ; ; ; 6/5; ; 
Draw; ; 23/10; ; ; 11/4; ; 11/4; ; ; ; ; 12/5; 11/4; ; ; ; 11/4; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/non-league/national-league/boreham-wood-v-maidstone; 2016-08-28 12:21:00 GMT+3; 2016-08-29 15:00; e70300-dr003
Boreham Wood; 1; 1; ; ; 10/11; ; 9/10; ; 1; ; ; 10/11; 8/11; ; ; 5/6; 10/11; ; ; ; 19/20; 30/29; ; ; ; 8/15; ; 
Draw; 27/10; 5/2; ; ; 11/4; ; 14/5; ; 14/5; ; ; 12/5; 11/4; ; ; 5/2; 11/4; ; ; ; 14/5; 11/4; ; ; ; 11/5; ; 
Maidstone; 21/10; 21/10; ; ; 5/2; ; 27/10; ; 23/10; ; ; 9/4; 13/5; ; ; 16/5; 12/5; ; ; ; 23/10; 11/4; ; ; ; 5/4; ; 
META; english/non-league/national-league/boreham-wood-v-maidstone; 2016-08-28 16:21:18 GMT+3; 2016-08-29 15:00; e70300-dr003
Boreham Wood; 17/20; 1; ; 5/6; 10/11; 5/6; 20/23; 5/6; 9/10; 11/13; 17/20; 10/11; 10/11; 17/20; ; 17/20; 10/11; 11/13; 10/11; 5/6; 10/11; 22/23; 9/10; ; ; 5/6; ; 
Draw; 14/5; 5/2; ; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 45/17; 5/2; 12/5; 23/10; 5/2; ; 11/4; 5/2; 45/17; 23/10; 13/5; 28/11; 11/4; 13/5; ; ; 12/5; ; 
Maidstone; 14/5; 21/10; ; 11/4; 14/5; 5/2; 16/5; 11/4; 14/5; 45/17; 3; 9/4; 14/5; 3; ; 14/5; 11/4; 45/17; 5/2; 13/5; 11/4; 58/19; 11/4; ; ; 14/5; ; 
META; english/non-league/national-league/boreham-wood-v-maidstone; 2016-08-28 20:21:23 GMT+3; 2016-08-29 15:00; e70300-dr003
Boreham Wood; 17/20; 10/11; 5/6; 4/5; 17/20; 5/6; 4/5; 5/6; 5/6; 11/13; 17/20; 20/23; 10/11; 5/6; 4/5; 17/20; 11/13; 11/13; 11/13; 5/6; 13/15; 9/10; 13/15; ; ; 5/6; 8/11; 
Draw; 14/5; 23/10; 47/20; 9/4; 5/2; 12/5; 13/5; 5/2; 5/2; 45/17; 5/2; 5/2; 23/10; 13/5; 5/2; 11/4; 5/2; 45/17; 12/5; 13/5; 28/11; 11/4; 13/5; ; ; 13/5; 23/10; 
Maidstone; 14/5; 3; 16/5; 3; 29/10; 5/2; 10/3; 11/4; 3; 45/17; 16/5; 16/5; 14/5; 3; 3; 14/5; 3; 45/17; 13/5; 13/5; 37/13; 33/10; 37/13; ; ; 3; 14/5; 
META; english/non-league/national-league/boreham-wood-v-maidstone; 2016-08-29 00:21:03 GMT+3; 2016-08-29 15:00; e70300-dr003
Boreham Wood; 4/5; 4/5; 5/6; 3/4; 5/6; 3/4; 4/5; 5/6; 4/5; 11/13; 4/5; 5/6; 10/11; 10/13; 4/5; 17/20; 4/5; 11/13; 11/13; 5/6; 4/5; 9/10; 16/19; 4/5; ; 4/5; 8/11; 
Draw; 13/5; 12/5; 12/5; 12/5; 5/2; 12/5; 13/5; 5/2; 5/2; 45/17; 5/2; 5/2; 23/10; 51/20; 12/5; 11/4; 5/2; 45/17; 12/5; 13/5; 28/11; 11/4; 13/5; 12/5; ; 13/5; 5/2; 
Maidstone; 10/3; 10/3; 16/5; 3; 31/10; 14/5; 17/5; 11/4; 10/3; 45/17; 10/3; 7/2; 14/5; 10/3; 16/5; 14/5; 10/3; 45/17; 13/5; 13/5; 16/5; 33/10; 56/19; 3; ; 3; 3; 
META; english/non-league/national-league/boreham-wood-v-maidstone; 2016-08-29 04:20:23 GMT+3; 2016-08-29 15:00; e70300-dr003
Boreham Wood; 4/5; 4/5; 5/6; 3/4; 5/6; 3/4; 4/5; 5/6; 4/5; 11/13; 4/5; 5/6; 10/11; 10/13; 4/5; 17/20; 4/5; 11/13; 13/15; 5/6; 4/5; 9/10; 16/19; 4/5; ; 5/6; 8/11; 
Draw; 13/5; 12/5; 12/5; 12/5; 5/2; 12/5; 13/5; 5/2; 5/2; 45/17; 5/2; 5/2; 23/10; 51/20; 12/5; 11/4; 5/2; 45/17; 23/10; 13/5; 28/11; 11/4; 13/5; 23/10; ; 13/5; 12/5; 
Maidstone; 10/3; 10/3; 16/5; 3; 31/10; 14/5; 17/5; 11/4; 10/3; 45/17; 10/3; 7/2; 14/5; 10/3; 16/5; 14/5; 10/3; 45/17; 27/10; 13/5; 13/4; 33/10; 56/19; 16/5; ; 10/3; 3; 
META; english/non-league/national-league/boreham-wood-v-maidstone; 2016-08-29 08:20:30 GMT+3; 2016-08-29 15:00; e70300-dr003
Boreham Wood; 4/5; 4/5; 5/6; 3/4; 4/5; 3/4; 4/5; 5/6; 4/5; 3/4; 4/5; 5/6; 10/11; 10/13; 4/5; 17/20; 4/5; 3/4; 7/9; 8/11; 10/13; 9/10; 16/19; 4/5; ; 5/6; 4/5; 
Draw; 13/5; 12/5; 12/5; 12/5; 5/2; 12/5; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 23/10; 51/20; 12/5; 11/4; 5/2; 13/5; 12/5; 13/5; 28/11; 11/4; 13/5; 12/5; ; 13/5; 12/5; 
Maidstone; 10/3; 10/3; 16/5; 3; 16/5; 14/5; 17/5; 11/4; 10/3; 16/5; 10/3; 7/2; 14/5; 10/3; 16/5; 14/5; 10/3; 16/5; 3; 3; 57/17; 33/10; 56/19; 16/5; ; 7/2; 3; 
META; english/non-league/national-league/boreham-wood-v-maidstone; 2016-08-29 12:20:45 GMT+3; 2016-08-29 15:00; e70300-dr003
Boreham Wood; 17/20; 4/5; 10/11; 10/11; 5/6; 17/20; 37/40; 5/6; 10/11; 5/6; 20/21; 20/23; 5/6; 9/10; 10/11; 19/20; 4/5; 5/6; 7/9; 5/6; 10/11; 15/16; 39/40; 10/11; ; 20/21; 10/11; 
Draw; 13/5; 12/5; 23/10; 23/10; 5/2; 23/10; 5/2; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 49/20; 23/10; 12/5; 5/2; 13/5; 12/5; 13/5; 12/5; 29/11; 5/2; 12/5; ; 12/5; 11/5; 
Maidstone; 3; 10/3; 29/10; 13/5; 31/10; 13/5; 29/10; 11/4; 14/5; 3; 14/5; 16/5; 10/3; 57/20; 27/10; 14/5; 10/3; 3; 3; 3; 29/10; 13/4; 28/11; 13/5; ; 14/5; 14/5; 
META; english/non-league/national-league/boreham-wood-v-maidstone; 2016-08-29 16:20:50 GMT+3; 2016-08-29 15:00; e70300-dr003
Boreham Wood; 19/20; 19/20; 1; 20/21; 10/11; 17/20; 1; 5/6; 1; 9/10; 1; 1; 21/20; 19/20; 21/20; 19/20; 10/11; 9/10; 13/15; 9/10; 19/20; 66/67; 30/29; 19/20; ; 1; 20/21; 
Draw; 5/2; 23/10; 9/4; 11/5; 12/5; 23/10; 12/5; 5/2; 12/5; 5/2; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 5/2; 5/2; 23/10; 5/2; 40/17; 13/5; 5/2; 23/10; ; 5/2; 23/10; 
Maidstone; 11/4; 14/5; 13/5; 5/2; 29/10; 13/5; 11/4; 11/4; 11/4; 3; 14/5; 14/5; 13/5; 27/10; 13/5; 14/5; 14/5; 3; 27/10; 3; 27/10; 31/10; 27/11; 13/5; ; 14/5; 14/5; 
