META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-26 04:22:32 GMT+2; 2017-04-01 15:00; e70300-dr003
Macclesfield; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Boreham Wood; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-27 04:19:15 GMT+2; 2017-04-01 15:00; e70300-dr003
Macclesfield; 6/4; 13/10; 6/4; ; 8/5; ; 6/4; ; 6/4; ; ; 6/4; 29/20; ; ; 16/11; ; ; 7/5; ; ; ; 7/5; ; 7/5; ; ; ; 
Boreham Wood; 7/4; 7/4; 7/4; ; 7/4; ; 9/5; ; 7/4; ; ; 17/10; 7/4; ; ; 9/5; ; ; 7/4; ; ; ; 7/4; ; 7/4; ; ; ; 
Draw; 23/10; 9/4; 43/20; ; 9/4; ; 23/10; ; 23/10; ; ; 2; 23/10; ; ; 23/10; ; ; 9/4; ; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-27 12:08:38 GMT+3; 2017-04-01 15:00; e70300-dr003
Macclesfield; 29/20; 13/10; 29/20; ; 6/4; 27/20; 6/4; ; 6/4; 6/4; ; 11/8; 29/20; ; 6/4; 16/11; 7/5; 13/10; 7/5; 7/5; ; ; 7/5; ; 7/5; ; ; ; 
Boreham Wood; 9/5; 7/4; 9/5; ; 9/5; 17/10; 9/5; ; 7/4; 9/5; ; 8/5; 9/5; ; 7/4; 9/5; 17/10; 7/4; 7/4; 17/10; ; ; 7/4; ; 7/4; ; ; ; 
Draw; 23/10; 9/4; 21/10; ; 23/10; 21/10; 23/10; ; 23/10; 9/4; ; 23/10; 9/4; ; 9/4; 23/10; 11/5; 11/5; 9/4; 11/5; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-28 00:20:29 GMT+3; 2017-04-01 15:00; e70300-dr003
Macclesfield; 29/20; 13/10; 6/4; 6/4; 6/4; 7/5; 31/20; ; 6/4; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 16/11; 23/17; 7/5; 16/11; ; 24/17; 7/5; ; 7/5; ; ; ; 
Boreham Wood; 9/5; 7/4; 15/8; 9/5; 19/10; 7/4; 19/10; ; 15/8; 19/10; 15/8; 15/8; 15/8; 15/8; 19/10; 15/8; 24/13; 24/13; 7/4; 24/13; ; 12/7; 7/4; ; 7/4; ; ; ; 
Draw; 23/10; 9/4; 39/20; 2; 21/10; 2; 85/40; ; 2; 2; 19/10; 15/8; 21/10; 2; 21/10; 11/5; 39/19; 2; 9/4; 39/19; ; 28/13; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-28 04:21:23 GMT+3; 2017-04-01 15:00; e70300-dr003
Macclesfield; 29/20; 13/10; 6/4; 6/4; 6/4; 7/5; 31/20; 6/4; 6/4; 6/4; 6/4; 29/20; 29/20; 29/20; 6/4; 6/4; 16/11; 23/17; 7/5; 16/11; ; 24/17; 7/5; ; 7/5; ; ; ; 
Boreham Wood; 9/5; 7/4; 15/8; 9/5; 19/10; 17/10; 19/10; 15/8; 15/8; 19/10; 15/8; 15/8; 15/8; 9/5; 19/10; 15/8; 24/13; 24/13; 7/4; 24/13; ; 12/7; 7/4; ; 7/4; ; ; ; 
Draw; 23/10; 9/4; 39/20; 2; 21/10; 2; 85/40; 2; 2; 2; 19/10; 15/8; 21/10; 2; 21/10; 11/5; 39/19; 2; 9/4; 39/19; ; 28/13; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-28 12:38:49 GMT+3; 2017-04-01 15:00; e70300-dr003
Macclesfield; 29/20; 13/10; 6/4; 6/4; 6/4; 7/5; 31/20; 6/4; 6/4; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 16/11; 23/17; 7/5; 16/11; ; 24/17; 7/5; ; 7/5; ; ; ; 
Boreham Wood; 9/5; 7/4; 15/8; 9/5; 19/10; 7/4; 19/10; 15/8; 15/8; 19/10; 15/8; 15/8; 15/8; 15/8; 19/10; 15/8; 24/13; 24/13; 7/4; 24/13; ; 12/7; 7/4; ; 7/4; ; ; ; 
Draw; 23/10; 9/4; 39/20; 2; 21/10; 2; 85/40; 2; 2; 2; 19/10; 15/8; 21/10; 2; 21/10; 11/5; 39/19; 2; 9/4; 39/19; ; 28/13; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-macclesfield; 2017-03-28 16:25:20 GMT+3; 2017-04-02 12:45; e70300-dr003
Any Other Score; ; ; 5; ; ; ; ; 5; 15/2; ; ; ; ; ; ; ; ; 9/2; ; ; ; 23/5; ; 8; ; ; ; ; 
Young Boys 2-1; 7; ; 8; ; 15/2; 7; 17/2; 15/2; 8; 8; 8; 15/2; 8; ; 15/2; ; 17/2; 29/4; 8; 17/2; ; 8; 8; 7; 8; ; ; ; 
Young Boys 2-0; 17/2; ; 9; ; 8; 15/2; 9; 9; 17/2; 17/2; 17/2; 8; 9; ; 8; ; 37/4; 15/2; 9; 37/4; ; 87/10; 9; 15/2; 9; ; ; ; 
Young Boys 3-1; 9; ; 9; ; 8; 8; 9; 9; 9; 17/2; 17/2; 8; 17/2; ; 8; ; 37/4; 35/4; 19/2; 37/4; ; 89/10; 19/2; 15/2; 19/2; ; ; ; 
Young Boys 3-0; 9; ; 10; ; 9; 17/2; 21/2; 10; 9; 9; 10; 9; 10; ; 9; ; 10; 17/2; 10; 10; ; 10; 10; 17/2; 10; ; ; ; 
Draw 1-1; 11; ; 11; ; 10; 10; 12; 10; 10; 10; 11; 10; 11; ; 10; ; 23/2; 11; 21/2; 23/2; ; 11; 21/2; 12; 21/2; ; ; ; 
Young Boys 1-0; 11; ; 12; ; 11; 10; 13; 11; 12; 11; 12; 11; 12; ; 11; ; 25/2; 10; 11; 25/2; ; 12; 11; 11; 11; ; ; ; 
Young Boys 4-1; 14; ; 13; ; 12; 12; 13; 14; 12; 12; 12; 11; 12; ; 11; ; 55/4; 25/2; 13; 55/4; ; 13; 13; 12; 13; ; ; ; 
Young Boys 4-0; 14; ; 14; ; 12; 12; 15; 14; 14; 14; 14; 12; 14; ; 12; ; 59/4; 12; 14; 59/4; ; 15; 14; 14; 14; ; ; ; 
Draw 2-2; 14; ; 14; ; 12; 14; 15; 13; 14; 14; 14; 12; 14; ; 12; ; 31/2; 33/2; 15; 31/2; ; 15; 15; 14; 15; ; ; ; 
Young Boys 3-2; 16; ; 15; ; 14; 12; 17; 14; 16; 14; 16; 12; 14; ; 12; ; 17; 16; 16; 17; ; 17; 16; 12; 16; ; ; ; 
FC Vaduz 2-1; 25; ; 22; ; 20; 16; 25; 22; 22; 22; 22; 18; 18; ; 18; ; 81/4; 22; 25; 81/4; ; 21; 25; 20; 25; ; ; ; 
