META; english/league-1/peterborough-v-southend; 2017-02-18 14:25:14 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Peterborough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Southend; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/league-1/peterborough-v-southend; 2017-02-18 18:22:16 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Peterborough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Southend; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/league-1/peterborough-v-southend; 2017-02-18 22:22:26 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Peterborough; 5/4; 5/4; 13/10; ; 13/10; ; 13/10; ; ; 5/4; 5/4; ; 5/4; 5/4; ; 13/10; ; ; ; ; ; ; ; ; ; 5/4; ; 
Southend; 17/10; 7/4; 7/4; 2; 15/8; 5/3; 9/5; 17/10; 9/5; 13/8; 33/20; 17/10; 7/4; 15/8; 9/5; 9/5; 9/5; 24/13; 19/10; 9/5; 189/100; 8/5; 19/10; 17/10; ; 9/5; 9/5; 
Draw; 12/5; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; 12/5; 12/5; 12/5; 9/4; 11/5; 49/20; 5/2; 23/10; 12/5; 9/4; 12/5; 23/10; 9/4; 12/5; 40/17; 23/10; 9/4; ; 23/10; 9/4; 
META; english/league-1/peterborough-v-southend; 2017-02-20 02:22:16 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Peterborough; 6/4; 7/5; 31/20; 7/5; 6/4; 29/20; 31/20; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 8/5; 6/4; 6/4; 7/5; 23/17; 7/5; 7/5; 159/100; 15/11; 31/21; 6/4; ; 6/4; 6/4; 
Southend; 17/10; 9/5; 17/10; 9/5; 15/8; 5/3; 17/10; 17/10; 9/5; 17/10; 13/8; 17/10; 7/4; 9/5; 17/10; 7/4; 9/5; 24/13; 7/4; 9/5; 189/100; 18/11; 7/4; 17/10; ; 7/4; 17/10; 
Draw; 12/5; 5/2; 12/5; 5/2; 12/5; 9/4; 5/2; 12/5; 12/5; 23/10; 23/10; 5/2; 49/20; 5/2; 12/5; 5/2; 40/17; 12/5; 23/10; 40/17; 12/5; 40/17; 40/17; 23/10; ; 23/10; 9/4; 
META; english/league-1/peterborough-v-southend; 2017-02-20 06:20:37 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Peterborough; 6/4; 7/5; 31/20; 7/5; 6/4; 29/20; 31/20; 6/4; 6/4; 6/4; 29/20; 8/5; 6/4; 8/5; 6/4; 6/4; 7/5; 23/17; 7/5; 7/5; 159/100; 8/5; 31/21; 6/4; ; 6/4; 6/4; 6/4
Southend; 17/10; 9/5; 17/10; 9/5; 9/5; 5/3; 17/10; 17/10; 9/5; 17/10; 13/8; 7/4; 7/4; 9/5; 17/10; 7/4; 9/5; 24/13; 7/4; 9/5; 189/100; 32/19; 7/4; 17/10; ; 7/4; 17/10; 17/10
Draw; 12/5; 5/2; 12/5; 5/2; 12/5; 11/5; 5/2; 12/5; 12/5; 23/10; 23/10; 9/4; 49/20; 5/2; 12/5; 5/2; 40/17; 12/5; 23/10; 40/17; 12/5; 12/5; 40/17; 23/10; ; 23/10; 9/4; 23/10
META; english/league-1/peterborough-v-southend; 2017-02-20 10:22:11 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Peterborough; 8/5; 7/5; 6/4; 7/5; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 8/5; 6/4; 6/4; 6/4; 23/17; ; 6/4; 159/100; 8/5; 6/4; 6/4; ; 6/4; 7/5; 6/4
Southend; 15/8; 15/8; 7/4; 9/5; 9/5; 17/10; 9/5; 17/10; 9/5; 7/4; 17/10; 17/10; 7/4; 9/5; 17/10; 9/5; 7/4; 24/13; ; 7/4; 189/100; 32/19; 17/10; 9/5; ; 7/4; 17/10; 7/4
Draw; 12/5; 12/5; 12/5; 5/2; 12/5; 11/5; 5/2; 12/5; 12/5; 23/10; 23/10; 5/2; 49/20; 5/2; 12/5; 12/5; 40/17; 12/5; ; 40/17; 12/5; 12/5; 40/17; 9/4; ; 23/10; 9/4; 23/10
META; english/league-1/peterborough-v-southend; 2017-02-20 14:20:47 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Peterborough; 17/10; 7/5; 8/5; 13/8; 13/8; 6/4; 31/20; 6/4; 8/5; 6/4; 31/20; 31/20; 8/5; 13/8; 6/4; 17/11; 17/11; 6/4; 6/4; 17/11; 159/100; 8/5; 6/4; 8/5; ; 13/8; 6/4; 13/8
Southend ; 7/4; 15/8; 33/20; 9/5; 17/10; 13/8; 7/4; 13/8; 7/4; 13/8; 7/4; 13/8; 33/20; 7/4; 17/10; 7/4; 28/17; 7/4; 17/10; 28/17; 189/100; 17/10; 17/10; 7/4; ; 17/10; 13/8; 17/10
Draw; 12/5; 12/5; 12/5; 21/10; 12/5; 11/5; 12/5; 23/10; 12/5; 23/10; 23/10; 12/5; 49/20; 5/2; 12/5; 12/5; 40/17; 9/4; 23/10; 40/17; 12/5; 40/17; 40/17; 23/10; ; 23/10; 11/5; 12/5
META; english/league-1/peterborough-v-southend; 2017-02-20 18:20:57 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
