META; english/league-1/sheffield-utd-v-charlton; 2017-03-11 22:22:02 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Charlton; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-12 02:20:53 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Charlton; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-12 06:20:48 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Charlton; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-12 10:21:37 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Charlton; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-12 14:21:01 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; 8/15; 4/9; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; 3/10; ; 
Draw; 3; 16/5; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; 6/4; ; 
Charlton; 5; 11/2; ; ; ; ; 6; ; ; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; 13/5; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-12 18:20:57 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; 8/15; 4/9; ; ; ; ; 1/2; ; 8/15; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; 3/10; ; 
Draw; 3; 16/5; ; ; ; ; 16/5; ; 3; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; 6/4; ; 
Charlton; 5; 11/2; ; ; ; ; 6; ; 21/4; ; ; ; ; ; ; 6; ; ; ; ; ; ; ; ; ; 13/5; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-12 22:21:29 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; 8/15; 4/9; ; ; ; ; 1/2; ; 8/15; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; 3/10; ; 
Draw; 3; 16/5; ; ; ; ; 16/5; ; 3; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; 6/4; ; 
Charlton; 5; 11/2; ; ; ; ; 6; ; 21/4; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; 13/5; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-13 02:22:02 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; 8/15; 4/9; ; ; ; ; 1/2; ; 8/15; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; 3; 16/5; ; ; ; ; 16/5; ; 3; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; 13/5; ; 
Charlton; 5; 11/2; ; ; ; ; 6; ; 21/4; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; 12/5; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-13 06:23:29 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; 8/15; 4/9; ; ; 1/2; ; 1/2; 1/2; 8/15; ; 1/2; ; 1/2; 1/2; ; 1/2; ; ; 4/9; ; ; ; 10/21; ; ; 4/9; ; 
Draw; 3; 16/5; ; ; 16/5; ; 33/10; 3; 3; ; 3; ; 3; 10/3; ; 16/5; ; ; 3; ; ; ; 31/10; ; ; 14/5; ; 
Charlton; 5; 11/2; ; ; 6; ; 11/2; 11/2; 21/4; ; 24/5; ; 11/2; 11/2; ; 11/2; ; ; 6; ; ; ; 6; ; ; 23/5; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-13 10:20:31 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; 8/15; 4/9; ; ; 8/15; ; 1/2; 1/2; 8/15; ; 1/2; 1/2; 1/2; 1/2; ; 1/2; 1/2; ; 4/9; 1/2; ; ; 10/21; ; ; 4/9; ; 
Draw; 3; 16/5; ; ; 16/5; ; 16/5; 3; 3; ; 3; 3; 3; 10/3; ; 31/10; 58/19; ; 3; 58/19; ; ; 31/10; ; ; 14/5; ; 
Charlton; 5; 11/2; ; ; 11/2; ; 6; 11/2; 21/4; ; 24/5; 11/2; 11/2; 11/2; ; 11/2; 53/10; ; 6; 53/10; ; ; 6; ; ; 24/5; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-13 14:22:26 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; 1/2; 4/9; 8/15; ; 1/2; ; 1/2; 4/9; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; ; 1/2; 17/35; ; 4/9; 17/35; ; ; 10/21; ; ; 1/2; ; 
Draw; 3; 16/5; 31/10; ; 16/5; ; 33/10; 16/5; 3; 16/5; 3; 16/5; 3; 3; ; 16/5; 3; ; 3; 56/19; ; ; 31/10; ; ; 3; ; 
Charlton; 23/4; 11/2; 11/2; ; 6; ; 11/2; 11/2; 21/4; 5; 5; 5; 6; 6; ; 11/2; 96/17; ; 6; 23/4; ; ; 6; ; ; 11/2; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-13 18:23:38 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; 2/5; 4/9; 4/9; 1/2; 9/20; 2/5; 9/20; 2/5; 4/9; 4/9; 4/9; 4/9; 21/50; 4/9; 4/9; 4/9; 7/18; 5/11; 4/9; 7/18; ; ; 10/21; 2/5; 10/21; ; 2/5; ; 
Draw; 10/3; 10/3; 10/3; 16/5; 10/3; 3; 10/3; 3; 7/2; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 10/3; 33/10; 31/10; 3; 33/10; ; ; 31/10; 16/5; 31/10; ; 14/5; ; 
Charlton; 7; 13/2; 13/2; 11/2; 7; 6; 13/2; 11/2; 13/2; 7; 6; 13/2; 13/2; 7; 13/2; 13/2; 7; 25/4; 6; 7; ; ; 6; 7; 6; ; 31/5; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-13 22:21:25 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; 2/5; 4/9; 4/9; 4/9; 4/9; 2/5; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 21/50; 4/9; 4/9; 4/9; 3/8; 5/11; 4/11; 3/8; ; ; 3/8; 2/5; 3/8; ; 2/5; ; 
Draw; 10/3; 10/3; 10/3; 10/3; 7/2; 3; 7/2; 3; 7/2; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 10/3; 57/17; 31/10; 10/3; 57/17; ; ; 17/5; 16/5; 17/5; ; 14/5; ; 
Charlton; 7; 13/2; 13/2; 13/2; 7; 6; 13/2; 11/2; 13/2; 7; 6; 13/2; 7; 7; 13/2; 13/2; 29/4; 25/4; 15/2; 29/4; ; ; 15/2; 7; 15/2; ; 31/5; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-14 02:23:00 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; 2/5; 4/9; 4/9; 4/9; 4/9; 2/5; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 21/50; 4/9; 4/9; 4/9; 3/8; 5/11; 4/11; 3/8; ; ; 3/8; 2/5; 3/8; ; 2/5; ; 
Draw; 10/3; 10/3; 10/3; 10/3; 7/2; 3; 7/2; 3; 7/2; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 10/3; 57/17; 31/10; 10/3; 57/17; ; ; 17/5; 16/5; 17/5; ; 14/5; ; 
Charlton; 7; 13/2; 13/2; 13/2; 7; 6; 13/2; 11/2; 13/2; 7; 6; 13/2; 7; 7; 13/2; 13/2; 29/4; 25/4; 15/2; 29/4; ; ; 15/2; 7; 15/2; ; 31/5; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-14 06:20:40 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; 2/5; 4/9; 4/9; 4/9; 4/9; 2/5; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 21/50; 4/9; 4/9; 4/9; 3/8; 5/11; 4/11; 3/8; ; ; 3/8; 2/5; 3/8; ; 2/5; ; 
Draw; 10/3; 10/3; 10/3; 10/3; 7/2; 3; 7/2; 3; 7/2; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 10/3; 57/17; 31/10; 10/3; 57/17; ; ; 17/5; 16/5; 17/5; ; 14/5; ; 
Charlton; 7; 13/2; 13/2; 13/2; 7; 6; 13/2; 11/2; 13/2; 7; 6; 13/2; 7; 7; 13/2; 13/2; 29/4; 25/4; 15/2; 29/4; ; ; 15/2; 7; 15/2; ; 31/5; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-14 10:21:14 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; 2/5; 4/9; 4/9; 4/9; 4/9; 2/5; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 21/50; 4/9; 4/9; 4/9; 3/8; 5/11; 4/11; 3/8; ; ; 3/8; 2/5; 3/8; ; 2/5; ; 
Draw; 10/3; 10/3; 10/3; 10/3; 7/2; 3; 7/2; 3; 7/2; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 10/3; 57/17; 31/10; 10/3; 57/17; ; ; 17/5; 16/5; 17/5; ; 14/5; ; 
Charlton; 7; 13/2; 13/2; 13/2; 7; 6; 13/2; 11/2; 13/2; 7; 6; 13/2; 7; 7; 13/2; 13/2; 29/4; 25/4; 15/2; 29/4; ; ; 15/2; 7; 15/2; ; 31/5; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-14 14:23:31 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; 2/5; 4/9; 4/9; 4/9; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 21/50; 4/9; 4/9; 4/9; 3/8; 5/11; 4/11; 3/8; ; 3/7; 3/8; 2/5; 3/8; ; 2/5; ; 
Draw; 10/3; 10/3; 10/3; 10/3; 7/2; 16/5; 7/2; 3; 7/2; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 7/2; 57/17; 31/10; 10/3; 57/17; ; 38/11; 17/5; 16/5; 17/5; ; 14/5; ; 
Charlton; 7; 13/2; 13/2; 13/2; 7; 6; 13/2; 11/2; 13/2; 7; 6; 13/2; 7; 7; 13/2; 7; 29/4; 25/4; 15/2; 29/4; ; 27/5; 15/2; 7; 15/2; ; 31/5; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-14 18:20:44 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; 2/5; 4/9; 4/9; 4/9; 2/5; 2/5; 4/9; 2/5; 4/9; 4/9; 4/9; 4/9; 21/50; 4/9; 4/9; 4/9; 3/8; 5/11; 4/11; 3/8; 47/100; 3/7; 3/8; 2/5; 3/8; ; 2/5; ; 
Draw; 10/3; 10/3; 10/3; 10/3; 7/2; 16/5; 7/2; 3; 7/2; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 7/2; 33/10; 31/10; 10/3; 33/10; 13/4; 38/11; 17/5; 16/5; 17/5; ; 14/5; ; 
Charlton; 7; 13/2; 13/2; 13/2; 15/2; 6; 13/2; 11/2; 13/2; 7; 6; 13/2; 7; 7; 13/2; 7; 29/4; 25/4; 15/2; 29/4; 41/5; 27/5; 15/2; 7; 15/2; ; 31/5; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-14 22:20:45 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Sheffield Utd; 4/11; 4/9; 4/9; 4/9; 2/5; 4/11; 4/9; 2/5; 4/9; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 4/9; 7/19; 5/11; 4/11; 7/19; 47/100; 5/12; 3/8; 2/5; 3/8; ; 2/5; ; 
Draw; 7/2; 10/3; 10/3; 10/3; 7/2; 16/5; 7/2; 3; 7/2; 16/5; 13/4; 16/5; 7/2; 16/5; 10/3; 7/2; 57/17; 31/10; 10/3; 57/17; 13/4; 7/2; 17/5; 16/5; 17/5; ; 14/5; ; 
Charlton; 15/2; 13/2; 13/2; 13/2; 15/2; 6; 7; 11/2; 13/2; 7; 13/2; 13/2; 7; 7; 13/2; 7; 15/2; 25/4; 15/2; 15/2; 41/5; 11/2; 15/2; 15/2; 15/2; ; 31/5; ; 
META; english/league-1/sheffield-utd-v-charlton; 2017-03-15 02:23:13 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
