META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-11 22:21:51 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
AFC Wimbledon; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-12 02:20:39 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
AFC Wimbledon; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Fleetwood; 1; 1; 11/10; 21/20; 11/10; 1; 11/10; 19/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 1; 20/21; 21/20; 21/20; 17/16; 28/29; 21/20; 28/29; ; 1; ; 
Draw; 23/10; 23/10; 11/5; 12/5; 23/10; 11/5; 12/5; 11/5; 23/10; 11/5; 21/10; 11/5; 23/10; 23/10; 9/4; 12/5; 9/4; 9/4; 12/5; 9/4; 12/5; 40/17; 27/11; 9/4; 27/11; ; 11/5; ; 
AFC Wimbledon; 11/4; 14/5; 13/5; 13/5; 11/4; 12/5; 13/5; 5/2; 11/4; 13/5; 5/2; 13/5; 27/10; 13/5; 13/5; 11/4; 45/17; 14/5; 11/4; 45/17; 31/10; 12/5; 11/4; 13/5; 11/4; ; 5/2; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-15 06:20:00 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 1; 11/10; 21/20; 21/20; 1; 23/20; 19/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 1; 20/21; 21/20; 21/20; 17/16; 28/29; 21/20; 28/29; ; 1; ; 
Draw; 23/10; 23/10; 11/5; 12/5; 12/5; 11/5; 23/10; 11/5; 23/10; 11/5; 21/10; 11/5; 23/10; 23/10; 9/4; 12/5; 9/4; 9/4; 12/5; 9/4; 12/5; 40/17; 27/11; 9/4; 27/11; ; 11/5; ; 
AFC Wimbledon; 11/4; 14/5; 13/5; 13/5; 11/4; 12/5; 13/5; 5/2; 11/4; 13/5; 5/2; 13/5; 27/10; 13/5; 13/5; 11/4; 45/17; 14/5; 11/4; 45/17; 31/10; 12/5; 11/4; 13/5; 11/4; ; 5/2; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-15 10:20:29 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 11/10; 11/10; 21/20; 11/10; 1; 11/10; 19/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 1; 20/21; 21/20; 21/20; 17/16; 28/29; 21/20; 28/29; ; 1; ; 
Draw; 23/10; 23/10; 11/5; 12/5; 23/10; 11/5; 12/5; 11/5; 23/10; 11/5; 21/10; 11/5; 23/10; 23/10; 9/4; 12/5; 9/4; 9/4; 12/5; 9/4; 12/5; 40/17; 27/11; 9/4; 27/11; ; 11/5; ; 
AFC Wimbledon; 11/4; 13/5; 13/5; 13/5; 11/4; 12/5; 13/5; 5/2; 11/4; 13/5; 5/2; 13/5; 27/10; 13/5; 13/5; 11/4; 45/17; 14/5; 11/4; 45/17; 31/10; 12/5; 11/4; 13/5; 11/4; ; 5/2; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-15 14:23:48 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 11/10; 11/10; 21/20; 21/20; 1; 11/10; 19/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 1; 20/21; 21/20; 21/20; 17/16; 28/29; 21/20; 28/29; ; 1; 21/20; 
Draw; 23/10; 23/10; 43/20; 12/5; 23/10; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 21/10; 23/10; 9/4; 9/4; 12/5; 9/4; 9/4; 12/5; 9/4; 12/5; 40/17; 27/11; 11/5; 27/11; ; 11/5; 9/4; 
AFC Wimbledon; 11/4; 13/5; 27/10; 13/5; 3; 5/2; 13/5; 5/2; 11/4; 11/4; 11/4; 11/4; 27/10; 27/10; 13/5; 11/4; 45/17; 14/5; 11/4; 45/17; 31/10; 12/5; 11/4; 13/5; 11/4; ; 5/2; 13/5; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-15 18:20:05 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 11/10; 11/10; 21/20; 21/20; 1; 21/20; 5/6; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 1; 1; 20/21; 1; 111/100; 17/16; 28/29; 21/20; 28/29; ; 1; 1; 
Draw; 23/10; 11/5; 43/20; 12/5; 23/10; 11/5; 12/5; 12/5; 23/10; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 5/2; 23/10; 9/4; 12/5; 23/10; 47/20; 40/17; 27/11; 9/4; 27/11; ; 9/4; 9/4; 
AFC Wimbledon; 11/4; 13/5; 27/10; 13/5; 3; 5/2; 11/4; 13/5; 14/5; 14/5; 11/4; 14/5; 11/4; 27/10; 13/5; 14/5; 37/13; 14/5; 11/4; 37/13; 59/20; 12/5; 11/4; 11/4; 11/4; ; 27/10; 13/5; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-15 22:20:13 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 1; 11/10; 21/20; 21/20; 1; 21/20; 1; 11/10; 21/20; 1; 21/20; 21/20; 21/20; 11/10; 21/20; 1; 1; 20/21; 1; 111/100; 17/16; 28/29; 21/20; 28/29; ; 11/10; 1; 
Draw; 23/10; 9/4; 43/20; 12/5; 23/10; 11/5; 23/10; 23/10; 23/10; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 9/4; 9/4; 12/5; 9/4; 47/20; 40/17; 27/11; 9/4; 27/11; ; 9/4; 9/4; 
AFC Wimbledon; 11/4; 29/10; 14/5; 13/5; 3; 5/2; 29/10; 11/4; 14/5; 14/5; 14/5; 14/5; 11/4; 27/10; 13/5; 14/5; 37/13; 14/5; 11/4; 37/13; 59/20; 12/5; 11/4; 11/4; 11/4; ; 11/4; 13/5; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-16 02:21:12 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 1; 11/10; 21/20; 21/20; 1; 21/20; 1; 11/10; 21/20; 1; 21/20; 21/20; 21/20; 11/10; 21/20; 1; 1; 20/21; 1; 111/100; 17/16; 28/29; 21/20; 28/29; ; 21/20; 1; 
Draw; 23/10; 9/4; 43/20; 12/5; 23/10; 11/5; 12/5; 23/10; 23/10; 21/10; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 9/4; 9/4; 12/5; 9/4; 47/20; 40/17; 27/11; 9/4; 27/11; ; 9/4; 9/4; 
AFC Wimbledon; 11/4; 29/10; 14/5; 13/5; 3; 5/2; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 11/4; 27/10; 13/5; 14/5; 37/13; 14/5; 11/4; 37/13; 59/20; 12/5; 11/4; 11/4; 11/4; ; 11/4; 13/5; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-16 06:20:00 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 1; 11/10; 21/20; 21/20; 1; 21/20; 1; 11/10; 21/20; 1; 21/20; 21/20; 21/20; 11/10; 21/20; 1; 1; 20/21; 1; 111/100; 17/16; 28/29; 21/20; 28/29; ; 21/20; 1; 
Draw; 23/10; 9/4; 43/20; 12/5; 23/10; 11/5; 12/5; 23/10; 23/10; 21/10; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 9/4; 9/4; 12/5; 9/4; 47/20; 40/17; 27/11; 9/4; 27/11; ; 9/4; 9/4; 
AFC Wimbledon; 11/4; 29/10; 14/5; 13/5; 3; 5/2; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 11/4; 27/10; 13/5; 14/5; 37/13; 14/5; 11/4; 37/13; 59/20; 12/5; 11/4; 11/4; 11/4; ; 11/4; 13/5; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-16 10:20:29 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 1; 11/10; 21/20; 21/20; 1; 21/20; 1; 11/10; 21/20; 1; 21/20; 1; 21/20; 11/10; 21/20; 1; 1; 20/21; 1; 111/100; 21/20; 28/29; 21/20; 28/29; ; 21/20; ; 
Draw; 23/10; 9/4; 43/20; 12/5; 23/10; 11/5; 12/5; 23/10; 23/10; 21/10; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 9/4; 9/4; 12/5; 9/4; 47/20; 40/17; 27/11; 9/4; 27/11; ; 9/4; 9/4; 
AFC Wimbledon; 11/4; 29/10; 14/5; 13/5; 3; 5/2; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 11/4; 27/10; 13/5; 14/5; 37/13; 14/5; 11/4; 37/13; 59/20; 12/5; 11/4; 11/4; 11/4; ; 11/4; 13/5; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-16 14:21:10 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 1; 11/10; 21/20; 21/20; 1; 21/20; 1; 11/10; 21/20; 1; 21/20; 1; 21/20; 11/10; 21/20; 1; 1; 1; 1; 111/100; 21/20; 42/41; 21/20; 42/41; ; 1; 1; 21/20
Draw; 23/10; 9/4; 43/20; 12/5; 23/10; 11/5; 23/10; 23/10; 23/10; 21/10; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 11/5; 9/4; 21/10; 11/5; 47/20; 40/17; 28/13; 9/4; 28/13; ; 9/4; 9/4; 23/10
AFC Wimbledon; 11/4; 29/10; 14/5; 13/5; 3; 5/2; 29/10; 11/4; 14/5; 14/5; 14/5; 14/5; 11/4; 27/10; 13/5; 14/5; 29/10; 14/5; 14/5; 29/10; 59/20; 12/5; 56/19; 11/4; 56/19; ; 11/4; 13/5; 3
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-16 18:21:39 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 1; 11/10; 21/20; 21/20; 1; 21/20; 1; 11/10; 21/20; 1; 21/20; 1; 11/10; 11/10; 21/20; 1; 1; 1; 1; 27/25; 10/9; 42/41; 21/20; 42/41; ; 21/20; 1; 21/20
Draw; 23/10; 9/4; 43/20; 12/5; 23/10; 43/20; 23/10; 23/10; 23/10; 21/10; 23/10; 11/5; 23/10; 12/5; 9/4; 12/5; 11/5; 9/4; 21/10; 11/5; 23/10; 40/17; 28/13; 11/5; 28/13; ; 23/10; 11/5; 23/10
