META; english/league-1/northampton-v-port-vale; 2017-03-11 18:20:31 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Northampton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Port Vale; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/northampton-v-port-vale; 2017-03-11 22:21:25 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 8/11; 7/10; ; 8/11; 4/5; ; 4/5; ; 5/6; ; 4/5; ; 4/5; 3/4; ; 4/5; 4/5; ; ; 4/5; ; ; ; ; ; 4/6; ; 
Draw; 13/5; 11/4; ; 13/5; 11/4; ; 11/4; ; 14/5; ; 5/2; ; 57/20; 27/10; ; 14/5; 11/4; ; ; 11/4; ; ; ; ; ; 5/2; ; 
Port Vale; 14/5; 10/3; ; 3; 18/5; ; 17/5; ; 3; ; 13/4; ; 3; 18/5; ; 10/3; 58/19; ; ; 58/19; ; ; ; ; ; 3; ; 
META; english/league-1/northampton-v-port-vale; 2017-03-12 02:20:19 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 8/11; 7/10; ; 8/11; 4/5; ; 4/5; ; 5/6; ; 4/5; ; 4/5; 3/4; ; 4/5; 4/5; ; ; 4/5; ; ; ; ; ; 4/6; ; 
Draw; 13/5; 11/4; ; 13/5; 11/4; ; 11/4; ; 14/5; ; 5/2; ; 57/20; 27/10; ; 14/5; 11/4; ; ; 11/4; ; ; ; ; ; 5/2; ; 
Port Vale; 14/5; 10/3; ; 3; 18/5; ; 17/5; ; 3; ; 13/4; ; 3; 18/5; ; 10/3; 58/19; ; ; 58/19; ; ; ; ; ; 3; ; 
META; english/league-1/northampton-v-port-vale; 2017-03-12 06:20:14 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 8/11; 7/10; ; 8/11; 4/5; ; 4/5; ; 5/6; ; 4/5; 4/5; 4/5; 3/4; ; 4/5; 4/5; ; ; 4/5; ; ; ; ; ; 4/6; ; 
Draw; 13/5; 11/4; ; 13/5; 11/4; ; 11/4; ; 14/5; ; 5/2; 13/5; 57/20; 27/10; ; 14/5; 11/4; ; ; 11/4; ; ; ; ; ; 5/2; ; 
Port Vale; 14/5; 10/3; ; 3; 18/5; ; 17/5; ; 3; ; 13/4; 7/2; 3; 18/5; ; 10/3; 31/10; ; ; 31/10; ; ; ; ; ; 3; ; 
META; english/league-1/northampton-v-port-vale; 2017-03-12 10:20:51 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 4/6; 7/10; ; 8/11; 3/4; ; 8/11; 8/11; 8/11; 8/11; 7/10; 3/4; 7/10; 7/10; ; 8/11; 5/7; ; 8/11; 5/7; ; ; 3/4; ; ; 4/6; ; 
Draw; 11/4; 11/4; ; 13/5; 11/4; ; 14/5; 13/5; 14/5; 11/4; 5/2; 13/5; 11/4; 27/10; ; 14/5; 11/4; ; 14/5; 11/4; ; ; 14/5; ; ; 13/5; ; 
Port Vale; 4; 10/3; ; 3; 19/5; ; 19/5; 7/2; 19/5; 15/4; 18/5; 7/2; 15/4; 4; ; 4; 18/5; ; 10/3; 18/5; ; ; 17/5; ; ; 7/2; ; 
META; english/league-1/northampton-v-port-vale; 2017-03-12 14:20:26 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 8/13; 7/10; 4/6; 7/10; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 13/20; 4/6; 4/6; 11/17; ; 4/7; 11/17; 18/25; 5/8; 3/4; ; ; 4/6; ; 
Draw; 14/5; 11/4; 14/5; 14/5; 11/4; 13/5; 14/5; 13/5; 14/5; 14/5; 14/5; 14/5; 57/20; 11/4; 11/4; 14/5; 45/17; ; 13/5; 45/17; 57/20; 37/13; 14/5; ; ; 27/10; ; 
Port Vale; 9/2; 10/3; 17/4; 19/5; 9/2; 4; 17/4; 4; 17/4; 4; 17/4; 4; 4; 9/2; 17/4; 9/2; 9/2; ; 23/5; 9/2; 22/5; 50/13; 17/5; ; ; 4; ; 
META; english/league-1/northampton-v-port-vale; 2017-03-12 18:20:24 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 8/13; 7/10; 4/6; 7/10; 8/13; 8/13; 13/20; 8/13; 4/6; 13/20; 4/6; 4/6; 13/20; 13/20; 4/6; 4/6; 11/17; ; 4/7; 11/17; 18/25; 5/8; 5/8; 8/13; ; 8/13; ; 
Draw; 14/5; 13/5; 14/5; 14/5; 3; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 14/5; 11/4; 14/5; 45/17; ; 13/5; 45/17; 57/20; 37/13; 45/17; 13/5; ; 13/5; ; 
Port Vale; 9/2; 19/5; 17/4; 19/5; 9/2; 4; 21/5; 4; 17/4; 4; 17/4; 4; 4; 9/2; 17/4; 9/2; 23/5; ; 23/5; 23/5; 22/5; 46/13; 19/4; 9/2; ; 4; ; 
META; english/league-1/northampton-v-port-vale; 2017-03-12 22:20:37 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 8/13; 8/13; 4/6; 7/10; 8/13; 8/13; 13/20; 4/7; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 4/6; 4/6; 11/17; ; 4/7; 11/17; 18/25; 11/17; 5/8; 8/13; ; 4/6; 4/7; 
Draw; 14/5; 11/4; 11/4; 14/5; 3; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 11/4; 57/20; 3; 11/4; 14/5; 45/17; ; 13/5; 45/17; 57/20; 14/5; 45/17; 13/5; ; 14/5; 9/4; 
Port Vale; 9/2; 4; 17/4; 19/5; 9/2; 4; 21/5; 4; 17/4; 4; 17/4; 4; 4; 9/2; 17/4; 4; 50/11; ; 23/5; 50/11; 22/5; 37/10; 19/4; 9/2; ; 21/5; 21/5; 
META; english/league-1/northampton-v-port-vale; 2017-03-13 02:21:23 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 8/13; 8/13; 4/6; 7/10; 4/6; 8/13; 7/10; 4/7; 4/6; 4/6; 4/6; 7/10; 13/20; 7/10; 4/6; 4/6; 11/17; ; 4/7; 11/17; 18/25; 11/17; 5/8; 4/6; ; 4/6; 4/6; 
Draw; 14/5; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 29/10; 11/4; 14/5; 45/17; ; 13/5; 45/17; 57/20; 14/5; 45/17; 13/5; ; 14/5; 13/5; 
Port Vale; 9/2; 4; 4; 19/5; 9/2; 4; 4; 4; 17/4; 15/4; 4; 15/4; 4; 9/2; 17/4; 4; 49/11; ; 23/5; 49/11; 22/5; 37/10; 19/4; 9/2; ; 9/2; 21/5; 
META; english/league-1/northampton-v-port-vale; 2017-03-13 06:22:32 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Northampton; 4/6; 8/13; 4/6; 7/10; 4/6; 8/13; 4/6; 4/7; 4/6; 4/6; 4/6; 7/10; 13/20; 7/10; 4/6; 4/6; 11/17; ; 4/7; 11/17; 18/25; 11/17; 5/8; 4/6; ; 4/6; 4/6; 
Draw; 3; 11/4; 11/4; 14/5; 11/4; 13/5; 3; 11/4; 14/5; 14/5; 14/5; 14/5; 57/20; 29/10; 11/4; 14/5; 45/17; ; 13/5; 45/17; 57/20; 14/5; 45/17; 13/5; ; 14/5; 13/5; 
