META; english/league-1/scunthorpe-v-rochdale; 2017-03-11 18:20:36 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Rochdale; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Scunthorpe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/scunthorpe-v-rochdale; 2017-03-11 22:21:30 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Scunthorpe; 6/5; 6/5; ; 6/5; 13/10; ; 5/4; ; 5/4; ; 23/20; ; ; 6/5; ; 5/4; 6/5; ; ; 6/5; ; ; ; ; ; 11/10; ; 
Rochdale; 11/5; 21/10; ; 2; 11/5; ; 11/5; ; 9/4; ; 21/10; ; ; 11/5; ; 11/5; 11/5; ; ; 11/5; ; ; ; ; ; 19/10; ; 
Draw; 12/5; 23/10; ; 23/10; 12/5; ; 12/5; ; 5/2; ; 9/4; ; ; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; ; ; ; 21/10; ; 
META; english/league-1/scunthorpe-v-rochdale; 2017-03-12 02:20:24 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Scunthorpe; 6/5; 6/5; ; 6/5; 13/10; ; 5/4; ; 5/4; ; 23/20; ; ; 6/5; ; 5/4; 6/5; ; ; 6/5; ; ; ; ; ; 10/9; ; 
Rochdale; 11/5; 21/10; ; 2; 11/5; ; 9/4; ; 9/4; ; 21/10; ; ; 11/5; ; 11/5; 11/5; ; ; 11/5; ; ; ; ; ; 2; ; 
Draw; 12/5; 23/10; ; 23/10; 12/5; ; 12/5; ; 5/2; ; 9/4; ; ; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; ; ; ; 11/5; ; 
META; english/league-1/scunthorpe-v-rochdale; 2017-03-12 06:20:19 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Scunthorpe; 6/5; 6/5; ; 6/5; 13/10; ; 5/4; ; 5/4; ; 23/20; 5/4; ; 6/5; ; 5/4; 6/5; ; ; 6/5; ; ; ; ; ; 10/9; ; 
Rochdale; 11/5; 21/10; ; 2; 11/5; ; 9/4; ; 9/4; ; 21/10; 21/10; ; 11/5; ; 11/5; 11/5; ; ; 11/5; ; ; ; ; ; 2; ; 
Draw; 12/5; 23/10; ; 23/10; 12/5; ; 12/5; ; 5/2; ; 9/4; 12/5; ; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; ; ; ; 11/5; ; 
META; english/league-1/scunthorpe-v-rochdale; 2017-03-12 10:20:59 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Scunthorpe; 21/20; 6/5; ; 6/5; 23/20; ; 11/10; 11/10; 11/10; 21/20; 1; 23/20; 11/10; 21/20; ; 15/13; 15/13; ; 6/5; 15/13; ; ; 6/5; ; ; 10/9; ; 
Draw; 12/5; 23/10; ; 23/10; 12/5; ; 12/5; 12/5; 5/2; 12/5; 9/4; 23/10; 47/20; 12/5; ; 12/5; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; 9/4; ; 
Rochdale; 13/5; 21/10; ; 2; 5/2; ; 13/5; 12/5; 5/2; 5/2; 5/2; 12/5; 49/20; 13/5; ; 12/5; 23/10; ; 11/5; 23/10; ; ; 11/5; ; ; 23/10; ; 
META; english/league-1/scunthorpe-v-rochdale; 2017-03-12 14:20:31 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Scunthorpe; 21/20; 6/5; 11/10; 23/20; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; ; 15/13; 11/10; ; 21/20; 11/10; 11/10; 42/41; 15/14; ; ; 10/9; ; 
Draw; 12/5; 23/10; 47/20; 23/10; 12/5; 23/10; 12/5; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; ; 12/5; 12/5; ; 12/5; 12/5; 13/5; 12/5; 27/11; ; ; 9/4; ; 
Rochdale; 13/5; 21/10; 5/2; 12/5; 13/5; 12/5; 13/5; 12/5; 5/2; 5/2; 5/2; 13/5; 51/20; 13/5; ; 5/2; 27/11; ; 12/5; 27/11; 67/25; 27/11; 27/11; ; ; 12/5; ; 
META; english/league-1/scunthorpe-v-rochdale; 2017-03-12 18:20:29 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Scunthorpe; 21/20; 6/5; 11/10; 23/20; 11/10; 1; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 15/13; 21/20; ; 21/20; 21/20; 11/10; 42/41; 15/14; 11/10; ; 21/20; ; 
Draw; 12/5; 23/10; 47/20; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; ; 12/5; 12/5; 13/5; 12/5; 27/11; 12/5; ; 23/10; ; 
Rochdale; 13/5; 21/10; 5/2; 12/5; 13/5; 12/5; 13/5; 23/10; 5/2; 5/2; 5/2; 13/5; 51/20; 5/2; 13/5; 5/2; 27/11; ; 12/5; 27/11; 67/25; 27/11; 27/11; 12/5; ; 23/10; ; 
META; english/league-1/scunthorpe-v-rochdale; 2017-03-12 22:20:46 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Scunthorpe; 21/20; 21/20; 11/10; 23/20; 11/10; 1; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; ; 21/20; 11/10; 11/10; 42/41; 15/14; 11/10; ; 11/10; 1; 
Draw; 12/5; 12/5; 47/20; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 40/17; ; 12/5; 40/17; 13/5; 12/5; 27/11; 12/5; ; 12/5; 21/10; 
Rochdale; 13/5; 5/2; 5/2; 12/5; 13/5; 12/5; 13/5; 23/10; 5/2; 5/2; 5/2; 13/5; 51/20; 13/5; 13/5; 5/2; 27/11; ; 12/5; 27/11; 67/25; 27/11; 27/11; 12/5; ; 23/10; 21/10; 
META; english/league-1/scunthorpe-v-rochdale; 2017-03-13 02:21:29 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Scunthorpe; 21/20; 21/20; 11/10; 23/20; 11/10; 1; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; ; 21/20; 11/10; 11/10; 42/41; 15/14; 11/10; ; 11/10; 10/9; 
Draw; 12/5; 12/5; 47/20; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 12/5; ; 12/5; 12/5; 13/5; 12/5; 27/11; 12/5; ; 12/5; 23/10; 
Rochdale; 13/5; 5/2; 5/2; 12/5; 13/5; 12/5; 13/5; 23/10; 5/2; 5/2; 5/2; 13/5; 51/20; 13/5; 13/5; 5/2; 27/11; ; 12/5; 27/11; 67/25; 27/11; 27/11; 12/5; ; 5/2; 23/10; 
META; english/league-1/scunthorpe-v-rochdale; 2017-03-13 06:22:41 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Scunthorpe; 23/20; 21/20; 11/10; 23/20; 11/10; 1; 21/20; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; ; 21/20; 11/10; 11/10; 42/41; 15/14; 11/10; ; 11/10; 10/9; 
Draw; 13/5; 12/5; 47/20; 23/10; 12/5; 23/10; 13/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 12/5; ; 12/5; 12/5; 13/5; 12/5; 27/11; 12/5; ; 12/5; 23/10; 
Rochdale; 5/2; 5/2; 5/2; 12/5; 13/5; 12/5; 5/2; 23/10; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; 13/5; 5/2; 12/5; ; 12/5; 12/5; 67/25; 27/11; 27/11; 23/10; ; 12/5; 23/10; 
META; english/league-1/scunthorpe-v-rochdale; 2017-03-13 10:20:01 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Scunthorpe; 23/20; 21/20; 11/10; 11/10; 11/10; 1; 21/20; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 17/16; 15/14; 11/10; ; 21/20; 21/20; 
Draw; 13/5; 12/5; 47/20; 23/10; 5/2; 23/10; 13/5; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 13/5; 27/11; 27/11; 12/5; ; 12/5; 23/10; 
Rochdale; 5/2; 5/2; 5/2; 5/2; 5/2; 23/10; 5/2; 23/10; 5/2; 13/5; 5/2; 5/2; 51/20; 27/10; 13/5; 5/2; 5/2; 5/2; 12/5; 5/2; 67/25; 40/17; 27/11; 12/5; ; 5/2; 12/5; 
META; english/league-1/scunthorpe-v-rochdale; 2017-03-13 14:21:36 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Scunthorpe; 23/20; 1; 21/20; 11/10; 11/10; 1; 21/20; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 17/16; 15/14; 11/10; ; 1; 1; 21/20
Draw; 13/5; 5/2; 47/20; 12/5; 12/5; 23/10; 13/5; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 51/20; 27/11; 27/11; 5/2; ; 5/2; 11/5; 12/5
Rochdale; 5/2; 13/5; 13/5; 12/5; 13/5; 12/5; 5/2; 23/10; 5/2; 13/5; 5/2; 5/2; 51/20; 27/10; 13/5; 5/2; 28/11; 5/2; 12/5; 28/11; 137/50; 40/17; 27/11; 5/2; ; 5/2; 9/4; 5/2
META; english/league-1/scunthorpe-v-rochdale; 2017-03-13 18:22:49 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Scunthorpe; 23/20; 1; 11/10; 11/10; 11/10; 1; 21/20; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 17/16; 15/14; 11/10; 15/14; ; 11/10; 21/20; 10/9
Draw; 13/5; 12/5; 5/2; 12/5; 12/5; 23/10; 13/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 51/20; 27/11; 27/11; 5/2; 27/11; ; 5/2; 23/10; 12/5
Rochdale; 5/2; 13/5; 27/10; 12/5; 13/5; 12/5; 13/5; 23/10; 5/2; 13/5; 13/5; 5/2; 51/20; 27/10; 13/5; 5/2; 28/11; 5/2; 12/5; 28/11; 137/50; 40/17; 27/11; 5/2; 27/11; ; 5/2; 12/5; 12/5
META; english/league-1/scunthorpe-v-rochdale; 2017-03-13 22:20:47 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
