META; english/league-1/rochdale-v-charlton; 2017-02-12 02:23:21 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Rochdale; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Charlton; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/rochdale-v-charlton; 2017-02-12 06:21:32 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Rochdale; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Charlton; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/rochdale-v-charlton; 2017-02-12 10:21:44 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Rochdale; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Charlton; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/rochdale-v-charlton; 2017-02-12 14:21:37 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Rochdale; 6/5; 11/10; ; ; ; ; 6/5; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Charlton; 11/5; 23/10; ; ; ; ; 23/10; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/rochdale-v-charlton; 2017-02-12 18:21:10 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Rochdale; 6/5; 11/10; ; ; ; ; 6/5; ; 5/4; ; 6/5; ; ; ; ; ; 15/13; ; ; 15/13; ; ; ; ; ; ; ; 
Charlton; 11/5; 23/10; ; ; ; ; 23/10; ; 23/10; ; 11/5; ; ; ; ; ; 28/13; ; ; 28/13; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 12/5; ; 21/10; ; ; ; ; ; 40/17; ; ; 40/17; ; ; ; ; ; ; ; 
META; english/league-1/rochdale-v-charlton; 2017-02-12 22:21:56 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Rochdale; 6/5; 11/10; ; ; ; ; 6/5; ; 5/4; ; 6/5; ; ; ; ; ; 15/13; ; ; 15/13; ; ; ; ; ; ; ; 
Charlton; 11/5; 23/10; ; ; ; ; 23/10; ; 23/10; ; 11/5; ; ; ; ; ; 28/13; ; ; 28/13; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 12/5; ; 21/10; ; ; ; ; ; 40/17; ; ; 40/17; ; ; ; ; ; ; ; 
META; english/league-1/rochdale-v-charlton; 2017-02-13 02:21:36 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Rochdale; 6/5; 11/10; ; ; ; ; 6/5; ; 5/4; ; 6/5; ; ; ; ; ; 15/13; ; ; 15/13; ; ; ; ; ; ; ; 
Charlton; 11/5; 23/10; ; ; ; ; 23/10; ; 23/10; ; 11/5; ; ; ; ; ; 28/13; ; ; 28/13; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 12/5; ; 21/10; ; ; ; ; ; 23/10; ; ; 23/10; ; ; ; ; ; ; ; 
META; english/league-1/rochdale-v-charlton; 2017-02-13 06:20:41 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Rochdale; 6/5; 11/10; ; ; ; ; 6/5; 6/5; 5/4; ; 6/5; 5/4; ; ; ; ; 15/13; ; ; 15/13; ; ; ; ; ; ; ; 
Charlton; 11/5; 23/10; ; ; ; ; 23/10; 23/10; 23/10; ; 11/5; 23/10; ; ; ; ; 28/13; ; ; 28/13; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; 23/10; 12/5; ; 21/10; 9/4; ; ; ; ; 23/10; ; ; 23/10; ; ; ; ; ; ; ; 
META; english/league-1/rochdale-v-charlton; 2017-02-13 10:21:14 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Rochdale; 6/5; 11/10; ; ; ; ; 6/5; 6/5; 5/4; ; 6/5; 5/4; ; ; ; ; 15/13; ; ; 15/13; ; ; ; ; ; ; ; 
Charlton; 11/5; 23/10; ; ; ; ; 23/10; 23/10; 23/10; ; 11/5; 23/10; ; ; ; ; 11/5; ; ; 11/5; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; 23/10; 12/5; ; 21/10; 9/4; ; ; ; ; 23/10; ; ; 23/10; ; ; ; ; ; ; ; 
META; english/league-1/rochdale-v-charlton; 2017-02-13 14:21:24 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
