META; english/league-1/coventry-v-southend; 2017-03-11 18:20:29 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Coventry; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Southend; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/coventry-v-southend; 2017-03-11 22:21:18 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 11/8; 13/10; ; 13/10; 7/5; ; 7/5; ; 7/5; ; 27/20; ; 11/8; 11/8; ; 7/5; 7/5; ; ; 7/5; ; ; ; ; ; 5/4; ; 
Coventry; 15/8; 19/10; ; 15/8; 2; ; 2; ; 15/8; ; 9/5; ; 15/8; 19/10; ; 2; 24/13; ; ; 24/13; ; ; ; ; ; 7/4; ; 
Draw; 12/5; 23/10; ; 11/5; 12/5; ; 12/5; ; 5/2; ; 11/5; ; 12/5; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; ; ; ; 11/5; ; 
META; english/league-1/coventry-v-southend; 2017-03-12 02:20:15 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 11/8; 13/10; ; 13/10; 7/5; ; 7/5; ; 7/5; ; 27/20; ; 11/8; 11/8; ; 7/5; 7/5; ; ; 7/5; ; ; ; ; ; 5/4; ; 
Coventry; 15/8; 19/10; ; 15/8; 2; ; 19/10; ; 15/8; ; 9/5; ; 15/8; 19/10; ; 2; 24/13; ; ; 24/13; ; ; ; ; ; 7/4; ; 
Draw; 12/5; 23/10; ; 11/5; 12/5; ; 12/5; ; 5/2; ; 11/5; ; 12/5; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; ; ; ; 11/5; ; 
META; english/league-1/coventry-v-southend; 2017-03-12 06:20:09 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 11/8; 13/10; ; 13/10; 7/5; ; 11/8; 11/8; 7/5; ; 27/20; 7/5; 11/8; 11/8; ; 7/5; 23/17; ; ; 23/17; ; ; ; ; ; 13/10; ; 
Coventry; 15/8; 19/10; ; 15/8; 2; ; 2; 15/8; 15/8; ; 9/5; 19/10; 15/8; 19/10; ; 2; 19/10; ; ; 19/10; ; ; ; ; ; 7/4; ; 
Draw; 12/5; 23/10; ; 11/5; 12/5; ; 12/5; 23/10; 5/2; ; 11/5; 23/10; 12/5; 12/5; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; 11/5; ; 
META; english/league-1/coventry-v-southend; 2017-03-12 10:20:46 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 5/4; 13/10; ; 13/10; 13/10; ; 5/4; 13/10; 13/10; 5/4; 6/5; 13/10; 5/4; 5/4; ; 13/10; 13/10; ; 27/20; 13/10; ; ; 23/17; ; ; 13/10; ; 
Coventry; 2; 19/10; ; 15/8; 21/10; ; 85/40; 21/10; 2; 21/10; 21/10; 2; 21/10; 21/10; ; 11/5; 37/19; ; 19/10; 37/19; ; ; 19/10; ; ; 19/10; ; 
Draw; 5/2; 23/10; ; 11/5; 12/5; ; 5/2; 23/10; 12/5; 23/10; 11/5; 23/10; 12/5; 23/10; ; 12/5; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; 11/5; ; 
META; english/league-1/coventry-v-southend; 2017-03-12 14:20:22 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 5/4; 13/10; 5/4; 5/4; 5/4; 23/20; 6/5; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; ; 23/20; 5/4; 27/20; 16/13; 23/17; ; ; 23/20; ; 
Coventry; 2; 19/10; 11/5; 11/5; 23/10; 39/20; 11/5; 21/10; 11/5; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 11/5; 28/13; ; 9/4; 28/13; 109/50; 19/10; 19/10; ; ; 9/4; ; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; 23/10; 5/2; 23/10; 12/5; 12/5; 12/5; 12/5; 47/20; 12/5; 12/5; 12/5; 40/17; ; 23/10; 40/17; 5/2; 5/2; 12/5; ; ; 9/4; ; 
META; english/league-1/coventry-v-southend; 2017-03-12 18:20:20 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 5/4; 13/10; 5/4; 5/4; 5/4; 23/20; 6/5; 13/10; 13/10; 6/5; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; ; 23/20; 5/4; 27/20; 6/5; 13/11; 5/4; ; 23/20; ; 
Coventry; 2; 21/10; 9/4; 11/5; 23/10; 39/20; 11/5; 21/10; 11/5; 11/5; 21/10; 23/10; 21/10; 11/5; 21/10; 11/5; 28/13; ; 9/4; 28/13; 109/50; 79/40; 9/4; 21/10; ; 9/4; ; 
Draw; 5/2; 9/4; 23/10; 23/10; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; 12/5; 9/4; 47/20; 23/10; 12/5; 12/5; 40/17; ; 23/10; 40/17; 5/2; 27/11; 40/17; 23/10; ; 21/10; ; 
META; english/league-1/coventry-v-southend; 2017-03-12 22:20:28 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 5/4; 6/5; 5/4; 5/4; 5/4; 23/20; 6/5; 11/10; 13/10; 6/5; 5/4; 5/4; 5/4; 13/10; 5/4; 6/5; 5/4; ; 23/20; 5/4; 27/20; 6/5; 13/11; 5/4; ; 6/5; 23/20; 
Coventry; 2; 9/4; 9/4; 11/5; 23/10; 39/20; 11/5; 2; 11/5; 11/5; 21/10; 23/10; 21/10; 23/10; 21/10; 11/5; 28/13; ; 9/4; 28/13; 109/50; 79/40; 9/4; 21/10; ; 23/10; 2; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; 12/5; 9/4; 47/20; 12/5; 12/5; 12/5; 23/10; ; 23/10; 23/10; 5/2; 27/11; 40/17; 23/10; ; 9/4; 2; 
META; english/league-1/coventry-v-southend; 2017-03-13 02:21:18 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 5/4; 6/5; 5/4; 5/4; 5/4; 23/20; 5/4; 11/10; 13/10; 6/5; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 5/4; ; 23/20; 5/4; 27/20; 6/5; 13/11; 13/10; ; 6/5; 6/5; 
Coventry; 2; 9/4; 9/4; 11/5; 23/10; 39/20; 85/40; 2; 11/5; 11/5; 21/10; 23/10; 21/10; 23/10; 21/10; 11/5; 28/13; ; 9/4; 28/13; 109/50; 79/40; 9/4; 2; ; 23/10; 11/5; 
Draw; 5/2; 23/10; 23/10; 23/10; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; 12/5; 9/4; 47/20; 12/5; 12/5; 12/5; 23/10; ; 23/10; 23/10; 5/2; 27/11; 40/17; 23/10; ; 23/10; 21/10; 
META; english/league-1/coventry-v-southend; 2017-03-13 06:22:25 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 5/4; 6/5; 5/4; 5/4; 5/4; 23/20; 5/4; 11/10; 13/10; 6/5; 5/4; 5/4; 5/4; 13/10; 5/4; 6/5; 6/5; ; 23/20; 6/5; 129/100; 6/5; 13/11; 5/4; ; 6/5; 6/5; 
Coventry; 23/10; 9/4; 9/4; 11/5; 23/10; 39/20; 85/40; 2; 11/5; 11/5; 21/10; 23/10; 21/10; 23/10; 21/10; 11/5; 11/5; ; 9/4; 11/5; 23/10; 79/40; 9/4; 21/10; ; 23/10; 11/5; 
Draw; 13/5; 23/10; 23/10; 23/10; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; 12/5; 9/4; 47/20; 12/5; 12/5; 12/5; 23/10; ; 23/10; 23/10; 5/2; 27/11; 40/17; 9/4; ; 23/10; 21/10; 
META; english/league-1/coventry-v-southend; 2017-03-13 10:19:52 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 5/4; 6/5; 6/5; 5/4; 6/5; 11/10; 6/5; 11/10; 13/10; 23/20; 5/4; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 6/5; 23/20; 15/13; 129/100; 15/13; 13/11; 6/5; ; 6/5; 23/20; 
Coventry; 23/10; 9/4; 23/10; 11/5; 12/5; 43/20; 9/4; 2; 11/5; 23/10; 11/5; 11/5; 11/5; 12/5; 23/10; 11/5; 9/4; 9/4; 9/4; 40/17; 23/10; 21/10; 9/4; 9/4; ; 9/4; 9/4; 
Draw; 13/5; 23/10; 23/10; 23/10; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; 23/10; 12/5; 47/20; 12/5; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 5/2; 5/2; 40/17; 23/10; ; 23/10; 11/5; 
META; english/league-1/coventry-v-southend; 2017-03-13 14:21:22 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 5/4; 6/5; 6/5; 5/4; 6/5; 11/10; 6/5; 11/10; 5/4; 23/20; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 15/13; 6/5; 10/9; 15/13; 121/100; 15/13; 19/17; 6/5; ; 6/5; 6/5; 5/4
Coventry; 23/10; 9/4; 23/10; 11/5; 12/5; 43/20; 9/4; 2; 23/10; 23/10; 9/4; 11/5; 11/5; 12/5; 23/10; 11/5; 40/17; 9/4; 12/5; 40/17; 62/25; 28/13; 12/5; 23/10; ; 9/4; 11/5; 23/10
Draw; 13/5; 23/10; 23/10; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 23/10; 23/10; 12/5; 47/20; 12/5; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 5/2; 27/11; 40/17; 12/5; ; 23/10; 21/10; 23/10
META; english/league-1/coventry-v-southend; 2017-03-13 18:22:37 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 5/4; 6/5; 13/10; 5/4; 5/4; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 6/5; 6/5; 13/10; 6/5; 6/5; 15/13; 6/5; 10/9; 15/13; 121/100; 15/13; 19/17; 5/4; 19/17; ; 6/5; 6/5; 5/4
Coventry; 23/10; 11/5; 12/5; 11/5; 23/10; 43/20; 9/4; 23/10; 23/10; 23/10; 9/4; 11/5; 11/5; 12/5; 23/10; 9/4; 23/10; 9/4; 12/5; 23/10; 62/25; 28/13; 12/5; 9/4; 12/5; ; 9/4; 11/5; 23/10
Draw; 13/5; 23/10; 12/5; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 23/10; 23/10; 12/5; 47/20; 12/5; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 5/2; 27/11; 40/17; 12/5; 40/17; ; 23/10; 9/4; 23/10
META; english/league-1/coventry-v-southend; 2017-03-13 22:20:31 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 5/4; 5/4; 13/10; 5/4; 5/4; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 6/5; 6/5; 13/10; 6/5; 6/5; 15/13; 6/5; 10/9; 15/13; 121/100; 15/13; 19/17; 5/4; 19/17; ; 6/5; 6/5; 6/5
Coventry; 23/10; 9/4; 12/5; 11/5; 23/10; 43/20; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 11/5; 12/5; 23/10; 9/4; 23/10; 9/4; 12/5; 23/10; 62/25; 28/13; 12/5; 9/4; 12/5; ; 9/4; 11/5; 12/5
Draw; 13/5; 23/10; 12/5; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 23/10; 23/10; 9/4; 47/20; 12/5; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 5/2; 27/11; 40/17; 12/5; 40/17; ; 23/10; 9/4; 12/5
META; english/league-1/coventry-v-southend; 2017-03-14 02:22:20 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 5/4; 5/4; 13/10; 5/4; 5/4; 23/20; 5/4; 6/5; 5/4; 6/5; 6/5; 6/5; 6/5; 13/10; 6/5; 6/5; 15/13; 6/5; 23/20; 15/13; 121/100; 15/13; 13/11; 5/4; 13/11; ; 6/5; 6/5; 6/5
Coventry; 23/10; 9/4; 12/5; 11/5; 23/10; 21/10; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 11/5; 12/5; 23/10; 9/4; 23/10; 9/4; 9/4; 23/10; 62/25; 28/13; 9/4; 9/4; 9/4; ; 11/5; 11/5; 12/5
Draw; 13/5; 23/10; 12/5; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 23/10; 23/10; 9/4; 47/20; 12/5; 23/10; 12/5; 40/17; 9/4; 23/10; 40/17; 5/2; 27/11; 40/17; 12/5; 40/17; ; 12/5; 23/10; 12/5
META; english/league-1/coventry-v-southend; 2017-03-14 06:20:01 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Southend; 5/4; 5/4; 5/4; 5/4; 5/4; 23/20; 5/4; 6/5; 5/4; 6/5; 5/4; 6/5; 6/5; 13/10; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 121/100; 15/13; 13/11; 5/4; 13/11; ; 5/4; 6/5; 5/4
Coventry; 23/10; 9/4; 12/5; 11/5; 23/10; 21/10; 9/4; 23/10; 23/10; 9/4; 11/5; 23/10; 11/5; 12/5; 23/10; 11/5; 9/4; 9/4; 9/4; 9/4; 123/50; 28/13; 9/4; 9/4; 9/4; ; 11/5; 9/4; 23/10
Draw; 13/5; 23/10; 12/5; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 23/10; 23/10; 9/4; 47/20; 12/5; 23/10; 12/5; 40/17; 9/4; 23/10; 40/17; 5/2; 27/11; 40/17; 12/5; 40/17; ; 12/5; 23/10; 12/5
