META; english/league-1/chesterfield-v-peterborough; 2017-03-11 18:20:27 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Chesterfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Peterborough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/league-1/chesterfield-v-peterborough; 2017-03-11 22:21:16 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Peterborough; 5/4; 6/5; ; 6/5; 13/10; ; 5/4; ; 13/10; ; 6/5; ; ; 5/4; ; 5/4; 6/5; ; ; 6/5; ; ; ; ; ; 10/9; ; 
Chesterfield; 21/10; 21/10; ; 2; 21/10; ; 85/40; ; 85/40; ; 2; ; ; 21/10; ; 11/5; 21/10; ; ; 21/10; ; ; ; ; ; 19/10; ; 
Draw; 12/5; 9/4; ; 23/10; 5/2; ; 5/2; ; 5/2; ; 23/10; ; ; 5/2; ; 5/2; 12/5; ; ; 12/5; ; ; ; ; ; 9/4; ; 
META; english/league-1/chesterfield-v-peterborough; 2017-03-12 02:20:13 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Peterborough; 5/4; 6/5; ; 6/5; 13/10; ; 5/4; ; 13/10; ; 6/5; ; ; 5/4; ; 5/4; 5/4; ; ; 5/4; ; ; ; ; ; 23/20; ; 
Chesterfield; 21/10; 21/10; ; 2; 21/10; ; 85/40; ; 85/40; ; 2; ; ; 21/10; ; 11/5; 21/10; ; ; 21/10; ; ; ; ; ; 19/10; ; 
Draw; 12/5; 9/4; ; 23/10; 5/2; ; 5/2; ; 5/2; ; 23/10; ; ; 5/2; ; 5/2; 12/5; ; ; 12/5; ; ; ; ; ; 23/10; ; 
META; english/league-1/chesterfield-v-peterborough; 2017-03-12 06:20:07 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Peterborough; 5/4; 6/5; ; 6/5; 13/10; ; 5/4; 6/5; 13/10; ; 6/5; 5/4; ; 5/4; ; 5/4; 5/4; ; ; 5/4; ; ; ; ; ; 23/20; ; 
Chesterfield; 21/10; 21/10; ; 2; 21/10; ; 85/40; 2; 85/40; ; 2; 21/10; ; 21/10; ; 11/5; 21/10; ; ; 21/10; ; ; ; ; ; 19/10; ; 
Draw; 12/5; 9/4; ; 23/10; 5/2; ; 5/2; 12/5; 5/2; ; 23/10; 12/5; ; 5/2; ; 5/2; 12/5; ; ; 12/5; ; ; ; ; ; 23/10; ; 
META; english/league-1/chesterfield-v-peterborough; 2017-03-12 10:20:44 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Peterborough; 5/4; 6/5; ; 6/5; 5/4; ; 13/10; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; ; 5/4; 5/4; ; ; 5/4; ; ; 23/20; ; 
Chesterfield; 21/10; 21/10; ; 2; 11/5; ; 2; 2; 85/40; 2; 19/10; 21/10; 2; 2; ; 11/5; 21/10; ; 21/10; 21/10; ; ; 21/10; ; ; 19/10; ; 
Draw; 12/5; 9/4; ; 23/10; 5/2; ; 5/2; 12/5; 5/2; 5/2; 23/10; 12/5; 49/20; 5/2; ; 5/2; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; 23/10; ; 
META; english/league-1/chesterfield-v-peterborough; 2017-03-12 14:20:20 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
