META; english/league-1/charlton-v-bradford; 2017-03-11 18:20:24 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Bradford; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Charlton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/charlton-v-bradford; 2017-03-11 22:21:14 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Bradford; 6/4; 7/5; ; 6/4; 6/4; ; 31/20; ; 6/4; ; 6/4; ; 6/4; 6/4; ; 17/11; 6/4; ; ; 6/4; ; ; ; ; ; 7/5; ; 
Charlton; 17/10; 7/4; ; 13/8; 9/5; ; 7/4; ; 7/4; ; 17/10; ; 17/10; 7/4; ; 7/4; 17/10; ; ; 17/10; ; ; ; ; ; 13/8; ; 
Draw; 12/5; 9/4; ; 11/5; 12/5; ; 12/5; ; 5/2; ; 21/10; ; 12/5; 23/10; ; 12/5; 12/5; ; ; 12/5; ; ; ; ; ; 21/10; ; 
META; english/league-1/charlton-v-bradford; 2017-03-12 02:20:11 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Bradford; 6/4; 7/5; ; 6/4; 6/4; ; 6/4; ; 6/4; ; 6/4; ; 6/4; 6/4; ; 17/11; 6/4; ; ; 6/4; ; ; ; ; ; 7/5; ; 
Charlton; 17/10; 7/4; ; 13/8; 9/5; ; 9/5; ; 7/4; ; 17/10; ; 17/10; 7/4; ; 7/4; 17/10; ; ; 17/10; ; ; ; ; ; 13/8; ; 
Draw; 12/5; 9/4; ; 11/5; 12/5; ; 12/5; ; 5/2; ; 21/10; ; 12/5; 23/10; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; 21/10; ; 
META; english/league-1/charlton-v-bradford; 2017-03-12 06:20:04 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Bradford; 6/4; 7/5; ; 6/4; 6/4; ; 31/20; 6/4; 6/4; ; 6/4; 6/4; 6/4; 6/4; ; 17/11; 6/4; ; ; 6/4; ; ; ; ; ; 7/5; ; 
Charlton; 17/10; 7/4; ; 13/8; 9/5; ; 7/4; 7/4; 7/4; ; 17/10; 7/4; 17/10; 7/4; ; 7/4; 17/10; ; ; 17/10; ; ; ; ; ; 13/8; ; 
Draw; 12/5; 9/4; ; 11/5; 12/5; ; 12/5; 23/10; 5/2; ; 21/10; 12/5; 12/5; 23/10; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; 21/10; ; 
