META; english/league-1/oxford-v-scunthorpe; 2017-03-11 22:21:58 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Scunthorpe; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-12 02:20:46 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Scunthorpe; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-12 06:20:40 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Scunthorpe; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Scunthorpe; 2; 9/4; 11/5; 11/5; 11/5; 41/20; 11/5; 7/4; 11/5; 9/4; 21/10; 23/10; 9/4; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 11/5; 12/5; 2; 9/4; 21/10; 9/4; ; 2; ; 
Draw; 12/5; 23/10; 9/4; 11/5; 12/5; 9/4; 12/5; 11/5; 23/10; 23/10; 21/10; 21/10; 9/4; 12/5; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; 12/5; 40/17; 40/17; 23/10; 40/17; ; 21/10; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-15 14:23:56 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 13/10; 5/4; 5/4; 13/10; 13/10; 23/20; 5/4; 13/10; 13/10; 5/4; 5/4; 13/10; 6/5; 5/4; 6/5; 13/10; 6/5; 5/4; 23/20; 6/5; 13/10; 11/9; 13/11; 5/4; 13/11; ; 5/4; 13/10; 
Scunthorpe; 2; 9/4; 9/4; 11/5; 9/4; 21/10; 11/5; 7/4; 11/5; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 11/5; 21/10; 9/4; 11/5; 47/20; 2; 9/4; 21/10; 9/4; ; 2; 2; 
Draw; 12/5; 23/10; 11/5; 11/5; 23/10; 11/5; 12/5; 11/5; 23/10; 11/5; 23/10; 9/4; 9/4; 23/10; 23/10; 12/5; 11/5; 23/10; 23/10; 11/5; 12/5; 40/17; 40/17; 9/4; 40/17; ; 21/10; 11/5; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-15 18:20:13 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 13/10; 5/4; 5/4; 13/10; 13/10; 23/20; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 5/4; 6/5; 13/10; 5/4; 5/4; 23/20; 5/4; 13/10; 11/9; 13/11; 5/4; 13/11; ; 5/4; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; 9/4; 9/4; 23/10; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; 47/20; 40/17; 40/17; 9/4; 40/17; ; 21/10; ; 
Scunthorpe; 2; 9/4; 9/4; 11/5; 23/10; 21/10; 11/5; 7/4; 11/5; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; 21/10; 9/4; 9/4; 121/50; 2; 9/4; 21/10; 9/4; ; 21/10; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-15 22:20:20 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 13/10; 5/4; 5/4; 13/10; 13/10; 23/20; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 5/4; 6/5; 13/10; 5/4; 5/4; 23/20; 5/4; 13/10; 11/9; 13/11; 5/4; 13/11; ; 5/4; 13/10; 
Draw; 12/5; 23/10; 11/5; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; 9/4; 9/4; 23/10; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; 47/20; 40/17; 40/17; 9/4; 40/17; ; 21/10; 11/5; 
Scunthorpe; 2; 9/4; 9/4; 11/5; 9/4; 21/10; 11/5; 21/10; 11/5; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; 21/10; 9/4; 9/4; 121/50; 2; 9/4; 21/10; 9/4; ; 21/10; 2; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-16 02:21:25 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 13/10; 5/4; 5/4; 13/10; 13/10; 23/20; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 5/4; 6/5; 13/10; 5/4; 5/4; 23/20; 5/4; 13/10; 11/9; 13/11; 5/4; 13/11; ; 5/4; 5/4; 
Draw; 12/5; 23/10; 11/5; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; 9/4; 9/4; 23/10; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; 47/20; 40/17; 40/17; 9/4; 40/17; ; 21/10; 11/5; 
Scunthorpe; 2; 9/4; 9/4; 11/5; 9/4; 41/20; 11/5; 21/10; 11/5; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; 21/10; 9/4; 9/4; 121/50; 2; 9/4; 21/10; 9/4; ; 21/10; 2; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-16 06:20:07 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 13/10; 5/4; 5/4; 13/10; 13/10; 23/20; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 5/4; 6/5; 13/10; 5/4; 5/4; 23/20; 5/4; 13/10; 11/9; 13/11; 5/4; 13/11; ; 5/4; 5/4; 
Draw; 12/5; 23/10; 11/5; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; 9/4; 9/4; 23/10; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; 47/20; 40/17; 40/17; 9/4; 40/17; ; 21/10; 11/5; 
Scunthorpe; 2; 9/4; 9/4; 11/5; 23/10; 41/20; 11/5; 21/10; 11/5; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; 21/10; 9/4; 9/4; 121/50; 2; 9/4; 21/10; 9/4; ; 21/10; 2; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-16 10:20:36 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 13/10; 5/4; 5/4; 13/10; 13/10; 23/20; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 5/4; 6/5; 13/10; 5/4; 5/4; 23/20; 5/4; 13/10; 11/9; 13/11; 5/4; 13/11; ; 5/4; 5/4; 
Draw; 12/5; 23/10; 11/5; 11/5; 23/10; 9/4; 12/5; 23/10; 23/10; 11/5; 23/10; 9/4; 9/4; 23/10; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; 47/20; 40/17; 40/17; 9/4; 40/17; ; 11/5; 9/4; 
