META; english/league-1/chesterfield-v-fleetwood; 2016-10-15 16:23:38 GMT+3; 2016-10-18 19:45; e70300-dr003
Chesterfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-1/chesterfield-v-fleetwood; 2016-10-15 20:21:32 GMT+3; 2016-10-18 19:45; e70300-dr003
Chesterfield; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Fleetwood; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-1/chesterfield-v-fleetwood; 2016-10-16 00:23:57 GMT+3; 2016-10-18 19:45; e70300-dr003
Chesterfield; 11/8; 13/10; ; ; 11/8; ; 11/8; ; ; ; 11/8; 7/5; 27/20; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; 
Fleetwood; 15/8; 19/10; ; ; 15/8; ; 2; ; ; ; 19/10; 8/5; 39/20; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; ; ; 12/5; 21/10; 47/20; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-1/chesterfield-v-fleetwood; 2016-10-16 04:21:09 GMT+3; 2016-10-18 19:45; e70300-dr003
Chesterfield; 11/8; 13/10; ; ; 11/8; ; 7/5; ; 7/5; ; 11/8; 7/5; 27/20; 11/8; ; ; ; ; ; ; ; ; ; 23/17; ; ; 5/4; ; 
Fleetwood; 15/8; 19/10; ; ; 15/8; ; 19/10; ; 15/8; ; 19/10; 8/5; 19/10; 15/8; ; ; ; ; ; ; ; ; ; 19/10; ; ; 7/4; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 5/2; ; 12/5; 21/10; 12/5; 23/10; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/5; ; 
META; english/league-1/chesterfield-v-fleetwood; 2016-10-16 08:21:33 GMT+3; 2016-10-18 19:45; e70300-dr003
Chesterfield; 11/8; 13/10; ; ; 11/8; ; 7/5; ; 7/5; ; 11/8; 7/5; 27/20; 11/8; ; ; ; ; ; ; ; ; ; 23/17; ; ; 5/4; ; 
Fleetwood; 15/8; 19/10; ; ; 15/8; ; 2; ; 15/8; ; 19/10; 8/5; 19/10; 19/10; ; ; ; ; ; ; ; ; ; 19/10; ; ; 7/4; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 5/2; ; 12/5; 21/10; 12/5; 23/10; ; ; ; ; ; ; ; ; ; 12/5; ; ; 11/5; ; 
META; english/league-1/chesterfield-v-fleetwood; 2016-10-16 12:22:47 GMT+3; 2016-10-18 19:45; e70300-dr003
Chesterfield; 6/4; 13/10; ; 6/4; 11/8; ; 31/20; ; 6/4; 6/4; 11/8; 6/4; 7/5; 29/20; ; ; ; ; ; ; ; ; ; 23/17; ; ; 11/8; ; 
Fleetwood; 17/10; 19/10; ; 7/4; 15/8; ; 7/4; ; 15/8; 7/4; 19/10; 9/5; 9/5; 17/10; ; ; ; ; ; ; ; ; ; 19/10; ; ; 8/5; ; 
