META; english/league-1/charlton-v-mk-dons; 2017-04-01 20:18:52 GMT+3; 2017-04-02 02:00; e70300-dr003
Guadalajara; 7/5; 11/8; 29/20; 7/5; 6/4; 7/5; 6/4; 6/4; 7/5; ; ; ; 6/4; ; ; ; 6/4; 7/5; 6/4; 6/4; 17/10; ; 6/4; 7/5; 6/4; ; 5/4; ; 
Morelia; 17/10; 17/10; 7/4; 9/5; 7/4; 17/10; 15/8; 7/4; 13/8; ; ; ; 37/20; ; ; ; 7/4; 7/4; 7/4; 7/4; 37/20; ; 7/4; 7/4; 7/4; ; 6/4; ; 
Draw; 21/10; 2; 11/5; 21/10; 11/5; 2; 9/4; 11/5; 2; ; ; ; 9/4; ; ; ; 11/5; 21/10; 9/4; 11/5; 57/25; ; 9/4; 11/5; 9/4; ; 19/10; ; 
META; english/league-1/charlton-v-mk-dons; 2017-04-03 01:46:07 GMT+3; 2017-04-04 19:45; e70300-dr003
Charlton; 6/4; 6/4; 13/8; 13/8; 13/8; 6/4; 31/20; 7/5; 13/8; 13/8; ; 17/10; 31/20; 13/8; 8/5; 17/11; 8/5; 6/4; 8/5; 8/5; 83/50; 6/4; 8/5; 8/5; 8/5; ; 6/4; 6/4; 
MK Dons; 9/5; 17/10; 17/10; 17/10; 7/4; 33/20; 7/4; 6/4; 9/5; 17/10; ; 7/4; 17/10; 9/5; 13/8; 8/5; 17/10; 9/5; 8/5; 17/10; 7/4; 8/5; 8/5; 7/4; 8/5; ; 9/5; 13/8; 
Draw; 9/4; 23/10; 11/5; 9/4; 23/10; 43/20; 12/5; 12/5; 23/10; 11/5; ; 2; 23/10; 12/5; 12/5; 12/5; 9/4; 11/5; 23/10; 9/4; 5/2; 12/5; 40/17; 11/5; 40/17; ; 11/5; 21/10; 
META; english/league-1/charlton-v-mk-dons; 2017-04-03 03:46:06 GMT+3; 2017-06-09 18:45; e70300-dr003
Belgium; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; ; 3/13; ; ; 3/10; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; ; 5; ; ; 5; ; ; ; ; ; ; ; 
Estonia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/2; ; ; 10; ; ; 11; ; ; ; ; ; ; ; 
