META; english/league-1/bristol-rovers-v-millwall; 2017-04-26 19:44:40 GMT+3; 2017-04-30 12:00; e70300-dr003
Millwall; 1; 11/10; 21/20; 21/20; 21/20; 1; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 11/10; 1; 21/20; 1; 1; 107/100; 17/16; 42/41; ; 42/41; ; 1; 21/20; 11/10
Draw; 12/5; 5/2; 49/20; 13/5; 5/2; 23/10; 5/2; 23/10; 5/2; 13/5; 12/5; 12/5; 51/20; 12/5; 12/5; 5/2; 27/11; 5/2; 5/2; 27/11; 131/50; 12/5; 5/2; ; 5/2; ; 12/5; 12/5; 27/10
Bristol Rovers; 11/4; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 9/4; 5/2; 9/4; 12/5; 5/2; 49/20; 5/2; 12/5; 12/5; 27/11; 12/5; 5/2; 27/11; 131/50; 23/10; 5/2; ; 5/2; ; 12/5; 12/5; 5/2
META; english/league-1/bristol-rovers-v-millwall; 2017-04-28 11:05:21 GMT+3; 2017-04-30 12:00; e70300-dr003
Millwall; 11/10; 21/20; 11/10; 11/10; 21/20; 1; 11/10; 1; 11/10; 23/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; ; 107/100; 17/16; 11/10; ; 11/10; ; 1; 1; 11/10
Bristol Rovers; 13/5; 23/10; 47/20; 12/5; 23/10; 9/4; 23/10; 5/2; 5/2; 11/5; 9/4; 9/4; 12/5; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; ; 131/50; 23/10; 40/17; ; 40/17; ; 11/5; 9/4; 23/10
Draw; 27/10; 13/5; 13/5; 12/5; 13/5; 12/5; 27/10; 5/2; 13/5; 27/10; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 45/17; 5/2; 5/2; ; 131/50; 12/5; 5/2; ; 5/2; ; 5/2; 13/5; 14/5
