META; english/league-1/millwall-v-bolton; 2016-10-15 16:23:51 GMT+3; 2016-10-18 19:45; e70300-dr003
Bolton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Millwall; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-1/millwall-v-bolton; 2016-10-15 20:21:41 GMT+3; 2016-10-18 19:45; e70300-dr003
Millwall; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; 
Bolton; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-1/millwall-v-bolton; 2016-10-16 00:24:07 GMT+3; 2016-10-18 19:45; e70300-dr003
Millwall; 6/5; 11/10; ; ; 23/20; ; 23/20; ; ; ; 11/10; 6/5; ; 23/20; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
Bolton; 23/10; 23/10; ; ; 12/5; ; 12/5; ; ; ; 12/5; 9/5; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Draw; 23/10; 23/10; ; ; 23/10; ; 12/5; ; ; ; 12/5; 11/5; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-1/millwall-v-bolton; 2016-10-16 04:21:19 GMT+3; 2016-10-18 19:45; e70300-dr003
Millwall; 6/5; 11/10; ; ; 23/20; ; 23/20; ; 6/5; ; 11/10; 6/5; 23/20; 23/20; ; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; ; 21/20; ; 
Bolton; 23/10; 23/10; ; ; 12/5; ; 12/5; ; 12/5; ; 12/5; 9/5; 47/20; 9/4; ; ; 9/4; 23/10; ; 23/10; 9/4; ; ; 23/10; ; ; 2; ; 
Draw; 23/10; 23/10; ; ; 23/10; ; 12/5; ; 12/5; ; 12/5; 11/5; 23/10; 23/10; ; ; 23/10; 9/4; ; 9/4; 23/10; ; ; 9/4; ; ; 11/5; ; 
META; english/league-1/millwall-v-bolton; 2016-10-16 08:21:42 GMT+3; 2016-10-18 19:45; e70300-dr003
Millwall; 6/5; 11/10; ; ; 23/20; ; 23/20; ; 6/5; ; 11/10; 6/5; ; 23/20; ; ; 6/5; 6/5; ; 6/5; 6/5; ; ; 6/5; ; ; 21/20; ; 
Bolton; 23/10; 23/10; ; ; 12/5; ; 12/5; ; 12/5; ; 12/5; 9/5; ; 9/4; ; ; 9/4; 23/10; ; 23/10; 9/4; ; ; 23/10; ; ; 2; ; 
Draw; 23/10; 23/10; ; ; 23/10; ; 12/5; ; 12/5; ; 12/5; 11/5; ; 23/10; ; ; 9/4; 9/4; ; 9/4; 9/4; ; ; 9/4; ; ; 11/5; ; 
