META; english/league-1/shrewsbury-v-millwall; 2017-04-01 20:18:58 GMT+3; 2017-04-22 16:15; e70300-dr003
Draw 1-1; 5; 5; 11/2; ; ; ; 6; 5; 5; 11/2; 5; 5; 21/4; 11/2; 11/2; ; 60/11; ; 6; 60/11; ; ; 6; ; 6; ; 21/5; ; 
Chelsea 1-0; 6; 6; 13/2; ; ; ; 13/2; 13/2; 6; 6; 6; 6; 6; 13/2; 6; ; 96/17; ; 13/2; 96/17; ; ; 13/2; ; 13/2; ; 21/5; ; 
Chelsea 2-1; 8; 8; 17/2; ; ; ; 17/2; 17/2; 8; 15/2; 8; 15/2; 15/2; 8; 15/2; ; 31/4; ; 17/2; 31/4; ; ; 17/2; ; 17/2; ; 21/5; ; 
Draw 0-0; 8; 17/2; 9; ; ; ; 15/2; 15/2; 8; 9; 8; 15/2; 15/2; 17/2; 8; ; 7; ; 15/2; 7; ; ; 15/2; ; 15/2; ; 33/5; ; 
Tottenham 1-0; 8; 15/2; 9; ; ; ; 9; 9; 8; 8; 17/2; 8; 8; 17/2; 8; ; 8; ; 19/2; 8; ; ; 19/2; ; 19/2; ; 21/5; ; 
Chelsea 2-0; 9; 17/2; 10; ; ; ; 19/2; 9; 9; 9; 9; 9; 9; 10; 8; ; 8; ; 9; 8; ; ; 9; ; 9; ; 21/5; ; 
Tottenham 2-1; 11; 10; 11; ; ; ; 11; 11; 10; 10; 10; 10; 10; 11; 10; ; 43/4; ; 12; 43/4; ; ; 12; ; 12; ; 21/5; ; 
Draw 2-2; 14; 14; 14; ; ; ; 15; 13; 14; 14; 14; 12; 12; 14; 12; ; 59/4; ; 15; 59/4; ; ; 15; ; 15; ; 38/5; ; 
Tottenham 2-0; 16; 14; 17; ; ; ; 18; 14; 14; 14; 16; 14; 16; 16; 12; ; 15; ; 17; 15; ; ; 17; ; 17; ; 21/5; ; 
Chelsea 3-1; 18; 18; 18; ; ; ; 18; 18; 18; 16; 18; 16; 16; 16; 14; ; 16; ; 17; 16; ; ; 17; ; 17; ; 33/5; ; 
Chelsea 3-0; 20; 20; 20; ; ; ; 21; 20; 20; 16; 20; 18; 20; 20; 16; ; 33/2; ; 16; 33/2; ; ; 16; ; 16; ; 33/5; ; 
Tottenham 3-1; 28; 28; 28; ; ; ; 30; 25; 28; 28; 28; 25; 28; 28; 22; ; 109/4; ; 29; 109/4; ; ; 29; ; 29; ; 33/5; ; 
Chelsea 3-2; 28; 33; 28; ; ; ; 30; 30; 33; 28; 28; 25; 28; 28; 22; ; 109/4; ; 29; 109/4; ; ; 29; ; 29; ; 52/5; ; 
Tottenham 3-0; 40; 40; 40; ; ; ; 40; 40; 40; 40; 40; 33; 40; 35; 33; ; 71/2; ; 37; 71/2; ; ; 37; ; 37; ; 33/5; ; 
Tottenham 3-2; 40; 40; 35; ; ; ; 35; 40; 40; 33; 33; 33; 33; 33; 28; ; 137/4; ; 40; 137/4; ; ; 40; ; 40; ; 52/5; ; 
Any Other Score; ; ; 35; ; ; ; ; 35; 50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chelsea 4-1; 40; 50; 45; ; ; ; 45; 50; 50; 40; 45; 33; 45; 40; 33; ; 147/4; ; 37; 147/4; ; ; 37; ; 37; ; ; ; 
Chelsea 4-0; 40; 50; 50; ; ; ; 55; 60; 50; 40; 50; 40; 55; 45; 40; ; 147/4; ; 38; 147/4; ; ; 38; ; 38; ; ; ; 
Draw 3-3; 50; 66; 60; ; ; ; 75; 60; 80; 66; 60; 50; 66; 66; 50; ; 111/2; ; 70; 111/2; ; ; 70; ; 70; ; 62/5; ; 
Chelsea 4-2; 50; 66; 70; ; ; ; 80; 80; 80; 80; 66; 50; 66; 70; 50; ; 109/2; ; 70; 109/2; ; ; 70; ; 70; ; ; ; 
Tottenham 4-1; 66; 80; 80; ; ; ; 100; 100; 100; 100; 80; 66; 75; 90; 80; ; 255/4; ; 80; 255/4; ; ; 80; ; 80; ; ; ; 
Tottenham 4-2; 80; 100; 100; ; ; ; 110; 125; 100; 125; 90; 66; 90; 100; 80; ; 293/4; ; 120; 293/4; ; ; 120; ; 120; ; ; ; 
Tottenham 4-0; 80; 100; 110; ; ; ; 125; 150; 100; 125; 100; 80; 100; 100; 100; ; 293/4; ; 100; 293/4; ; ; 100; ; 100; ; ; ; 
Chelsea 5-1; 100; 100; ; ; ; ; 125; 175; 100; 125; 100; 80; 125; 100; 80; ; 72; ; 100; 72; ; ; 100; ; 100; ; ; ; 
Chelsea 4-3; 125; 150; 125; ; ; ; 150; 175; ; 200; 125; 80; 125; 150; 100; ; 84; ; 180; 84; ; ; 180; ; 180; ; ; ; 
