META; english/league-1/bolton-v-chesterfield; 2017-03-26 04:21:04 GMT+2; 2017-04-01 15:00; e70300-dr003
Bolton; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chesterfield; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-26 08:21:17 GMT+2; 2017-03-25 19:00; e70300-dr003
CA Penapolense; 5/4; 5/4; 11/8; 6/5; ; 1; 7/5; ; 13/10; 6/4; ; ; 13/10; ; ; ; 23/17; 21/20; 5/4; 23/17; ; ; 5/4; ; 5/4; ; 11/8; ; 
Mogi Mirim; 13/8; 17/10; 9/5; 9/5; ; 21/10; 15/8; ; 7/4; 7/4; ; ; 17/10; ; ; ; 8/5; 2; 7/4; 8/5; ; ; 7/4; ; 7/4; ; 8/5; ; 
Draw; 12/5; 9/4; 23/10; 12/5; ; 12/5; 12/5; ; 12/5; 12/5; ; ; 47/20; ; ; ; 23/10; 5/2; 23/10; 23/10; ; ; 23/10; ; 23/10; ; 21/10; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-26 12:20:13 GMT+2; 2017-04-01 15:00; e70300-dr003
Bolton; 4/9; 4/9; ; ; 4/9; ; 4/9; ; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; 16/5; ; ; 16/5; ; 16/5; ; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Chesterfield; 7; 11/2; ; ; 15/2; ; 15/2; ; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-26 16:22:16 GMT+2; 2017-04-01 15:00; e70300-dr003
Bolton; 2/5; 4/9; 2/5; ; 4/9; 4/11; 2/5; ; 2/5; 2/5; 2/5; ; ; ; 9/20; 4/9; ; ; 4/9; 7/17; 11/25; ; 4/9; ; 4/9; ; ; ; 
Draw; 16/5; 16/5; 7/2; ; 7/2; 3; 18/5; ; 7/2; 7/2; 17/5; ; ; ; 16/5; 7/2; ; ; 3; 41/13; 73/20; ; 31/10; ; 31/10; ; ; ; 
Chesterfield; 15/2; 11/2; 7; ; 7; 7; 7; ; 7; 13/2; 13/2; ; ; ; 13/2; 7; ; ; 7; 7; 38/5; ; 7; ; 7; ; ; ; 
