META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-12 00:21:17 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Chesterfield; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-12 04:21:30 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Chesterfield; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-12 08:21:52 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Chesterfield; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-12 12:21:07 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 4/6; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; 1/3; ; 
Draw; 11/4; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; 21/20; ; 
Chesterfield; 4; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 5/4; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-12 16:21:02 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 4/6; 4/7; ; ; ; ; 13/20; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 11/4; 11/4; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; 11/8; ; 
Chesterfield; 4; 9/2; ; ; ; ; 19/4; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-12 20:22:20 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 4/6; 4/7; ; ; ; ; 13/20; ; 4/6; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 11/4; 11/4; ; ; ; ; 11/4; ; 14/5; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; 11/8; ; 
Chesterfield; 4; 9/2; ; ; ; ; 19/4; ; 17/4; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-13 00:20:41 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 4/6; 4/7; ; ; ; ; 13/20; ; 4/6; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 11/4; 11/4; ; ; ; ; 11/4; ; 14/5; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; 11/8; ; 
Chesterfield; 4; 9/2; ; ; ; ; 19/4; ; 17/4; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-13 04:20:20 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 4/6; 4/7; ; ; 4/6; ; 13/20; ; 4/6; ; 4/6; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 11/4; 11/4; ; ; 11/4; ; 11/4; ; 14/5; ; 13/5; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; 13/5; ; 
Chesterfield; 4; 9/2; ; ; 9/2; ; 19/4; ; 17/4; ; 4; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 4; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-13 08:20:43 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 4/6; 4/7; ; ; ; ; 13/20; 8/13; 4/6; ; 4/6; 8/13; 8/13; 13/20; ; 8/13; 8/13; ; 4/7; 8/13; ; ; 5/8; ; ; 4/7; ; 
Draw; 11/4; 11/4; ; ; ; ; 11/4; 11/4; 14/5; ; 13/5; 11/4; 27/10; 29/10; ; 11/4; 45/17; ; 13/5; 45/17; ; ; 45/17; ; ; 13/5; ; 
Chesterfield; 4; 9/2; ; ; ; ; 19/4; 9/2; 17/4; ; 4; 9/2; 19/4; 9/2; ; 9/2; 43/10; ; 23/5; 43/10; ; ; 19/4; ; ; 4; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-13 12:21:39 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 4/6; 4/7; 4/6; ; 8/13; ; 8/13; 8/13; 4/6; ; 4/6; 8/13; 3/5; 8/13; ; 8/13; 8/13; ; 4/7; 8/13; ; ; 5/8; ; ; 8/15; ; 
Draw; 11/4; 11/4; 11/4; ; 11/4; ; 29/10; 11/4; 14/5; ; 13/5; 11/4; 11/4; 29/10; ; 14/5; 45/17; ; 13/5; 45/17; ; ; 45/17; ; ; 13/5; ; 
Chesterfield; 4; 9/2; 4; ; 5; ; 19/4; 9/2; 17/4; ; 4; 9/2; 19/4; 9/2; ; 9/2; 43/10; ; 23/5; 43/10; ; ; 19/4; ; ; 4; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-13 16:24:24 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 8/15; 8/13; 11/20; 7/10; 8/13; 1/2; 4/7; 4/7; 8/13; 8/13; 8/15; 11/20; 8/13; 13/20; 11/20; 8/13; 4/7; 4/6; 4/7; 10/17; ; ; 5/8; 8/15; 5/8; ; 8/15; ; 
Draw; 14/5; 14/5; 3; 11/4; 3; 14/5; 3; 13/5; 14/5; 14/5; 29/10; 14/5; 14/5; 14/5; 3; 14/5; 14/5; 11/4; 13/5; 14/5; ; ; 45/17; 14/5; 45/17; ; 5/2; ; 
Chesterfield; 11/2; 9/2; 5; 19/5; 9/2; 19/4; 21/4; 4; 9/2; 9/2; 24/5; 11/2; 9/2; 9/2; 5; 9/2; 79/17; 4; 23/5; 50/11; ; ; 19/4; 11/2; 19/4; ; 9/2; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-13 20:22:25 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 8/15; 8/13; 4/7; 11/20; 8/15; 1/2; 11/20; 4/7; 4/7; 11/20; 8/15; 11/20; 8/15; 11/20; 11/20; 4/7; 8/15; 3/5; 4/7; 8/15; ; ; 3/5; 8/15; 3/5; ; 8/15; ; 
Draw; 14/5; 14/5; 3; 3; 16/5; 14/5; 16/5; 13/5; 3; 14/5; 29/10; 14/5; 59/20; 29/10; 3; 14/5; 29/10; 14/5; 13/5; 29/10; ; ; 45/17; 14/5; 45/17; ; 3; ; 
Chesterfield; 11/2; 9/2; 5; 5; 11/2; 19/4; 19/4; 4; 5; 5; 19/4; 5; 21/4; 11/2; 5; 5; 51/10; 9/2; 5; 51/10; ; ; 5; 5; 5; ; 23/5; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-14 00:20:52 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 8/15; 4/7; 4/7; 11/20; 8/15; 1/2; 11/20; 4/7; 4/7; 11/20; 8/15; 11/20; 8/15; 11/20; 11/20; 4/7; 8/15; 3/5; 4/7; 8/15; ; ; 3/5; 8/15; 3/5; ; 8/15; ; 
Draw; 14/5; 3; 3; 3; 16/5; 14/5; 16/5; 13/5; 3; 14/5; 29/10; 14/5; 59/20; 29/10; 3; 3; 29/10; 14/5; 13/5; 29/10; ; ; 45/17; 14/5; 45/17; ; 3; ; 
Chesterfield; 11/2; 19/4; 5; 5; 11/2; 19/4; 19/4; 4; 5; 5; 19/4; 5; 21/4; 11/2; 5; 5; 51/10; 9/2; 5; 51/10; ; ; 5; 5; 5; ; 23/5; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-14 04:20:47 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 8/15; 4/7; 4/7; 11/20; 8/15; 1/2; 11/20; 4/7; 4/7; 11/20; 8/15; 11/20; 8/15; 11/20; 11/20; 4/7; 8/15; 3/5; 4/7; 8/15; ; ; 3/5; 8/15; 3/5; ; 8/15; ; 
Draw; 14/5; 3; 3; 3; 16/5; 14/5; 16/5; 13/5; 3; 14/5; 29/10; 14/5; 59/20; 29/10; 3; 3; 29/10; 14/5; 13/5; 29/10; ; ; 45/17; 14/5; 45/17; ; 3; ; 
Chesterfield; 11/2; 19/4; 5; 5; 11/2; 19/4; 19/4; 4; 5; 5; 19/4; 5; 21/4; 11/2; 5; 5; 51/10; 9/2; 5; 51/10; ; ; 5; 5; 5; ; 23/5; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-14 08:20:45 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 8/15; 4/7; 4/7; 11/20; 8/15; 1/2; 11/20; 4/7; 4/7; 11/20; 8/15; 11/20; 8/15; 11/20; 11/20; 4/7; 8/15; 3/5; 4/7; 8/15; ; ; 3/5; 8/15; 3/5; ; 8/15; ; 
Draw; 14/5; 3; 3; 3; 16/5; 14/5; 16/5; 13/5; 3; 14/5; 29/10; 14/5; 59/20; 29/10; 3; 3; 29/10; 14/5; 13/5; 29/10; ; ; 45/17; 14/5; 45/17; ; 3; ; 
Chesterfield; 11/2; 19/4; 5; 5; 11/2; 19/4; 19/4; 4; 5; 5; 19/4; 5; 21/4; 11/2; 5; 5; 51/10; 9/2; 5; 51/10; ; ; 5; 5; 5; ; 23/5; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-14 12:22:10 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 8/15; 4/7; 4/7; 11/20; 8/15; 1/2; 11/20; 4/7; 4/7; 11/20; 8/15; 11/20; 8/15; 11/20; 11/20; 4/7; 8/15; 3/5; 4/7; 8/15; ; ; 3/5; 8/15; 3/5; ; 8/15; ; 
Draw; 14/5; 3; 3; 3; 16/5; 14/5; 16/5; 13/5; 3; 14/5; 29/10; 14/5; 59/20; 29/10; 3; 31/10; 29/10; 14/5; 13/5; 29/10; ; ; 45/17; 14/5; 45/17; ; 3; ; 
Chesterfield; 11/2; 19/4; 5; 5; 11/2; 19/4; 19/4; 4; 5; 5; 19/4; 5; 21/4; 11/2; 5; 11/2; 51/10; 9/2; 5; 51/10; ; ; 5; 5; 5; ; 24/5; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-14 16:21:14 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 8/15; 4/7; 4/7; 11/20; 8/15; 1/2; 11/20; 4/7; 4/7; 11/20; 8/15; 11/20; 8/15; 11/20; 11/20; 4/7; 18/35; 3/5; 8/15; 18/35; 57/100; 6/11; 8/15; 8/15; 8/15; ; 8/15; ; 
Draw; 14/5; 3; 3; 3; 16/5; 14/5; 16/5; 13/5; 3; 14/5; 29/10; 14/5; 59/20; 29/10; 3; 31/10; 56/19; 14/5; 14/5; 56/19; 3; 29/10; 56/19; 14/5; 56/19; ; 3; ; 
Chesterfield; 11/2; 19/4; 5; 5; 11/2; 19/4; 19/4; 4; 5; 5; 19/4; 5; 21/4; 11/2; 5; 11/2; 26/5; 9/2; 27/5; 26/5; 31/5; 23/5; 27/5; 5; 27/5; ; 24/5; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-14 20:21:42 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 8/15; 4/7; 4/7; 11/20; 8/15; 1/2; 11/20; 4/7; 4/7; 11/20; 8/15; 11/20; 8/15; 11/20; 11/20; 4/7; 8/15; 6/11; 8/15; 8/15; 57/100; 6/11; 8/15; 8/15; 8/15; ; 8/15; ; 
Draw; 14/5; 3; 3; 3; 16/5; 14/5; 16/5; 13/5; 3; 14/5; 29/10; 14/5; 59/20; 29/10; 3; 31/10; 29/10; 3; 14/5; 29/10; 3; 29/10; 56/19; 14/5; 56/19; ; 3; ; 
Chesterfield; 11/2; 19/4; 5; 5; 11/2; 19/4; 19/4; 4; 5; 5; 19/4; 5; 21/4; 11/2; 5; 11/2; 67/13; 19/4; 27/5; 67/13; 31/5; 23/5; 27/5; 5; 27/5; ; 23/5; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-15 00:20:44 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 8/15; 4/7; 4/7; 11/20; 8/15; 1/2; 11/20; 4/7; 4/7; 11/20; 8/15; 11/20; 8/15; 11/20; 11/20; 4/7; 18/35; 6/11; 8/15; 18/35; 57/100; 6/11; 8/15; 8/15; 8/15; ; 8/15; ; 
Draw; 14/5; 3; 3; 3; 16/5; 14/5; 16/5; 13/5; 3; 14/5; 29/10; 14/5; 59/20; 29/10; 3; 31/10; 29/10; 3; 14/5; 29/10; 3; 29/10; 56/19; 14/5; 56/19; ; 3; ; 
Chesterfield; 11/2; 19/4; 5; 5; 11/2; 19/4; 19/4; 4; 5; 5; 19/4; 5; 21/4; 11/2; 5; 11/2; 26/5; 19/4; 27/5; 26/5; 31/5; 23/5; 27/5; 5; 27/5; ; 23/5; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-15 04:20:47 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 8/15; 4/7; 6/10; 11/20; 4/7; 8/15; 3/5; 4/7; 4/7; 4/7; 4/7; 6/10; 4/7; 4/7; 4/7; 4/7; 8/15; 6/11; 8/15; ; 57/100; 4/7; 8/15; 4/7; 8/15; ; 8/15; ; 
Draw; 14/5; 3; 29/10; 3; 3; 14/5; 3; 13/5; 3; 14/5; 14/5; 14/5; 59/20; 14/5; 3; 31/10; 29/10; 3; 14/5; ; 3; 37/13; 56/19; 14/5; 56/19; ; 3; ; 
Chesterfield; 11/2; 19/4; 19/4; 5; 11/2; 460/100; 19/4; 4; 5; 19/4; 9/2; 9/2; 19/4; 11/2; 19/4; 5; 24/5; 19/4; 27/5; ; 61/10; 22/5; 27/5; 5; 27/5; ; 23/5; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-15 08:20:29 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 8/15; 4/7; 6/10; 11/20; 4/7; 8/15; 3/5; 4/7; 4/7; 4/7; 4/7; 6/10; 4/7; 4/7; 4/7; 4/7; 8/15; 6/11; 8/15; 8/15; 57/100; 4/7; 8/15; 4/7; 8/15; ; 8/15; ; 
Draw; 14/5; 3; 29/10; 3; 3; 14/5; 3; 13/5; 3; 14/5; 14/5; 14/5; 59/20; 14/5; 3; 31/10; 29/10; 3; 14/5; 29/10; 3; 37/13; 56/19; 14/5; 56/19; ; 3; ; 
Chesterfield; 11/2; 19/4; 19/4; 5; 11/2; 460/100; 19/4; 4; 5; 19/4; 9/2; 9/2; 19/4; 11/2; 19/4; 5; 24/5; 19/4; 27/5; 24/5; 61/10; 22/5; 27/5; 5; 27/5; ; 24/5; ; 
META; english/league-1/bristol-rovers-v-chesterfield; 2017-03-15 12:23:13 GMT+2; 2017-03-18 15:00; e70300-dr003
Bristol Rovers; 8/15; 3/5; 11/20; 11/20; 4/7; 1/2; 4/7; 4/7; 4/7; 4/7; 8/15; 4/7; 11/20; 4/7; 4/7; 8/13; 8/15; 6/11; 8/15; 18/35; 59/100; 8/15; 8/15; 8/15; 8/15; ; 8/15; 8/15; 
