META; english/league-1/bury-v-shrewsbury; 2016-09-04 00:20:34 GMT+3; 2016-09-10 15:00; e70300-dr003
META; english/league-1/bury-v-shrewsbury; 2016-09-05 08:21:17 GMT+3; 2016-09-10 15:00; e70300-dr003
Bury; 11/10; 11/10; 11/10; 21/20; 1; ; 21/20; ; 11/10; ; ; 10/11; ; 21/20; 21/20; ; 11/10; 21/20; 11/10; ; ; 21/20; 15/13; ; 11/10; ; 20/21; ; 
Draw; 12/5; 23/10; 49/20; 5/2; 12/5; ; 12/5; ; 12/5; ; ; 12/5; ; 12/5; 5/2; ; 5/2; 40/17; 12/5; ; ; 40/17; 12/5; ; 12/5; ; 9/4; ; 
Shrewsbury; 12/5; 23/10; 12/5; 5/2; 11/4; ; 13/5; ; 13/5; ; ; 3; ; 5/2; 12/5; ; 13/5; 40/17; 12/5; ; ; 40/17; 11/4; ; 12/5; ; 9/4; ; 
META; english/league-1/bury-v-shrewsbury; 2016-09-05 12:21:00 GMT+3; 2016-09-10 15:00; e70300-dr003
Bury; 11/10; 11/10; 11/10; 21/20; 1; ; 21/20; ; 11/10; 11/10; ; 10/11; ; 21/20; 21/20; ; 21/20; 21/20; 11/10; ; 11/10; 21/20; 15/13; ; 11/10; ; 20/21; ; 
Draw; 12/5; 23/10; 49/20; 5/2; 12/5; ; 12/5; ; 12/5; 12/5; ; 12/5; ; 12/5; 5/2; ; 12/5; 40/17; 12/5; ; 12/5; 40/17; 12/5; ; 12/5; ; 9/4; ; 
Shrewsbury; 12/5; 23/10; 12/5; 5/2; 11/4; ; 13/5; ; 13/5; 12/5; ; 3; ; 5/2; 12/5; ; 13/5; 40/17; 12/5; ; 12/5; 40/17; 11/4; ; 12/5; ; 23/10; ; 
META; english/league-1/bury-v-shrewsbury; 2016-09-05 16:21:10 GMT+3; 2016-09-10 15:00; e70300-dr003
Bury; 11/10; 11/10; 23/20; 23/20; 1; 11/10; 6/5; 1; 11/10; 11/10; 23/20; 11/10; 1; 23/20; 23/20; 23/20; 11/10; 11/10; 11/10; ; 11/10; 11/10; 15/13; 15/13; 11/10; ; 21/20; ; 
