META; english/league-1/bristol-rovers-v-fleetwood; 2016-10-30 00:21:16 GMT+3; 2016-11-01 19:45; e70300-dr003
Bristol Rovers; 11/10; 11/10; ; ; 11/10; ; 11/10; ; ; ; 10/11; 17/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; 23/10; ; 23/10; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; 5/2; 23/10; ; ; 5/2; ; 27/10; ; ; ; 5/2; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bristol-rovers-v-fleetwood; 2016-10-30 04:22:13 GMT+3; 2016-11-01 19:45; e70300-dr003
Bristol Rovers; 11/10; 11/10; ; ; 11/10; ; 11/10; ; ; ; 10/11; 17/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; 23/10; ; 23/10; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; 5/2; 23/10; ; ; 5/2; ; 27/10; ; ; ; 5/2; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bristol-rovers-v-fleetwood; 2016-10-30 08:22:09 GMT+3; 2016-11-01 19:45; e70300-dr003
Bristol Rovers; 11/10; 11/10; ; ; 11/10; ; 11/10; ; ; ; 10/11; 17/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; 23/10; ; 23/10; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; 5/2; 23/10; ; ; 5/2; ; 27/10; ; ; ; 5/2; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bristol-rovers-v-fleetwood; 2016-10-30 12:22:33 GMT+3; 2016-11-01 19:45; e70300-dr003
Bristol Rovers; 11/10; 11/10; ; 21/20; 11/10; ; 11/10; ; ; ; 10/11; 17/20; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; 
Draw; 23/10; 23/10; ; 12/5; 23/10; ; 23/10; ; ; ; 11/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; 
Fleetwood; 5/2; 23/10; ; 13/5; 5/2; ; 27/10; ; ; ; 5/2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; 
META; english/league-1/bristol-rovers-v-fleetwood; 2016-10-30 16:23:05 GMT+3; 2016-11-01 19:45; e70300-dr003
Bristol Rovers; 11/10; 11/10; ; 1; 11/10; 10/11; 1; 1; 21/20; 1; 10/11; 21/20; 19/20; 19/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/11; ; 
Draw; 23/10; 23/10; ; 12/5; 23/10; 23/10; 5/2; 9/4; 5/2; 5/2; 11/5; 5/2; 5/2; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 9/4; ; 
Fleetwood; 5/2; 23/10; ; 3; 5/2; 27/10; 11/4; 9/4; 11/4; 13/5; 5/2; 5/2; 27/10; 14/5; ; ; ; ; ; ; ; ; ; 5/2; ; ; 5/2; ; 
META; english/league-1/bristol-rovers-v-fleetwood; 2016-10-30 20:22:50 GMT+3; 2016-11-01 19:45; e70300-dr003
Bristol Rovers; 17/20; 11/10; ; 1; 1; 10/11; 1; 10/11; 10/11; 20/21; 10/11; 21/20; 10/11; 19/20; 19/20; ; ; ; ; ; ; ; ; 19/20; ; ; 1; ; 
