Charlton; 21/20; 13/10; ; 11/10; 23/20; 1; 23/20; 10/11; 11/10; 11/10; 21/20; ; 11/10; ; 11/10; 15/13; 21/20; 19/17; 19/20; 10/9; 21/20; ; ; 19/17; 21/20; ; ; ; 
Draw; 23/10; 23/10; ; 23/10; 5/2; 9/4; 5/2; 23/10; 5/2; 5/2; 23/10; ; 12/5; ; 9/4; 5/2; 40/17; 27/11; 12/5; 12/5; 40/17; ; ; 27/11; 23/10; ; ; ; 
Bristol Rovers; 13/5; 19/10; ; 5/2; 5/2; 12/5; 23/10; 12/5; 13/5; 23/10; 12/5; ; 12/5; ; 13/5; 12/5; 27/11; 23/10; 11/4; 23/10; 27/11; ; ; 23/10; 13/5; ; ; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-28 12:22:44 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 21/20; 13/10; ; 11/10; 23/20; 1; 23/20; 10/11; 11/10; 11/10; 21/20; ; 11/10; ; 11/10; 15/13; 21/20; 19/17; 19/20; 10/9; 21/20; ; ; 19/17; 21/20; ; ; ; 
Draw; 23/10; 23/10; ; 23/10; 5/2; 9/4; 5/2; 23/10; 5/2; 5/2; 23/10; ; 12/5; ; 9/4; 5/2; 40/17; 27/11; 12/5; 12/5; 40/17; ; ; 27/11; 23/10; ; ; ; 
Bristol Rovers; 13/5; 19/10; ; 5/2; 5/2; 12/5; 23/10; 12/5; 13/5; 23/10; 12/5; ; 12/5; ; 13/5; 12/5; 27/11; 23/10; 11/4; 23/10; 27/11; ; ; 23/10; 13/5; ; ; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-28 16:22:18 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 21/20; 13/10; ; 11/10; 23/20; 1; 23/20; 10/11; 11/10; 11/10; 21/20; 1; 11/10; ; 11/10; 15/13; 21/20; 19/17; 19/20; 10/9; 21/20; ; ; 19/17; 21/20; ; ; ; 
Draw; 23/10; 23/10; ; 23/10; 5/2; 9/4; 5/2; 23/10; 5/2; 12/5; 23/10; 11/5; 12/5; ; 9/4; 5/2; 40/17; 27/11; 12/5; 12/5; 40/17; ; ; 27/11; 23/10; ; ; ; 
Bristol Rovers; 13/5; 19/10; ; 5/2; 5/2; 12/5; 23/10; 12/5; 13/5; 23/10; 12/5; 11/5; 12/5; ; 13/5; 12/5; 27/11; 23/10; 11/4; 23/10; 27/11; ; ; 23/10; 13/5; ; ; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-28 20:22:21 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 5/4; ; 13/10; 13/10; 5/4; 13/10; 10/11; 13/10; 13/10; 13/10; 23/20; 5/4; ; 13/10; 5/4; 15/13; 19/17; 15/13; 10/9; 15/13; ; 5/4; 19/17; 13/10; ; ; ; 
Bristol Rovers; 11/5; 2; ; 19/10; 21/10; 39/20; 2; 12/5; 2; 19/10; 19/10; 23/10; 2; ; 21/10; 11/5; 11/5; 23/10; 23/10; 23/10; 11/5; ; 19/10; 23/10; 2; ; ; ; 
Draw; 9/4; 12/5; ; 5/2; 5/2; 11/5; 5/2; 23/10; 12/5; 12/5; 9/4; 12/5; 49/20; ; 23/10; 12/5; 23/10; 27/11; 23/10; 12/5; 23/10; ; 12/5; 27/11; 11/5; ; ; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-29 00:22:14 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 5/4; ; 13/10; 13/10; 5/4; 13/10; 10/11; 13/10; 13/10; 13/10; 23/20; 5/4; ; 13/10; 5/4; 5/4; 19/17; 15/13; 10/9; 5/4; ; 5/4; 19/17; 13/10; ; ; ; 
Bristol Rovers; 11/5; 2; ; 19/10; 21/10; 39/20; 2; 12/5; 2; 19/10; 19/10; 23/10; 2; ; 21/10; 11/5; 21/10; 23/10; 23/10; 23/10; 21/10; ; 19/10; 23/10; 2; ; ; ; 
Draw; 9/4; 12/5; ; 5/2; 5/2; 11/5; 5/2; 23/10; 12/5; 12/5; 9/4; 12/5; 49/20; ; 23/10; 12/5; 9/4; 27/11; 23/10; 12/5; 9/4; ; 12/5; 27/11; 11/5; ; ; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-29 04:22:11 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 5/4; ; 13/10; 11/8; 5/4; 13/10; 10/11; 13/10; 13/10; 13/10; 23/20; 13/10; ; 13/10; 5/4; 6/5; 23/17; 15/13; 27/20; 6/5; ; 5/4; 23/17; 13/10; ; ; ; 
Bristol Rovers; 11/5; 2; ; 19/10; 21/10; 39/20; 2; 12/5; 2; 19/10; 19/10; 23/10; 2; ; 21/10; 11/5; 28/13; 2; 23/10; 2; 28/13; ; 19/10; 2; 2; ; ; ; 
Draw; 9/4; 12/5; ; 5/2; 12/5; 11/5; 5/2; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; ; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; ; 12/5; 23/10; 11/5; ; ; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-29 08:22:20 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 5/4; ; 13/10; 11/8; 5/4; 11/8; 10/11; 13/10; 13/10; 13/10; 23/20; 13/10; ; 13/10; 13/10; 5/4; 23/17; 15/13; 27/20; 5/4; ; 5/4; 23/17; 13/10; ; ; ; 
Bristol Rovers; 11/5; 2; ; 19/10; 21/10; 39/20; 2; 12/5; 2; 19/10; 19/10; 23/10; 2; ; 21/10; 11/5; 39/19; 2; 23/10; 2; 39/19; ; 19/10; 2; 2; ; ; ; 
Draw; 9/4; 12/5; ; 5/2; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 12/5; 23/10; 11/5; ; ; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-29 12:22:50 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 13/10; 27/20; 13/10; 11/8; 5/4; 11/8; 10/11; 13/10; 13/10; 13/10; 23/20; 13/10; ; 13/10; 13/10; 5/4; 23/17; 15/13; 27/20; 5/4; ; 5/4; 23/17; 13/10; ; ; ; 
Bristol Rovers; 11/5; 2; 39/20; 19/10; 21/10; 39/20; 2; 12/5; 2; 19/10; 19/10; 23/10; 2; ; 21/10; 11/5; 21/10; 2; 23/10; 2; 21/10; ; 19/10; 2; 2; ; ; ; 
Draw; 9/4; 12/5; 47/20; 5/2; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; ; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 12/5; 23/10; 11/5; ; ; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-29 16:23:05 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 13/10; 27/20; 13/10; 11/8; 5/4; 11/8; 10/11; 13/10; 13/10; 13/10; 23/20; 13/10; 13/10; 13/10; 13/10; 5/4; 23/17; 15/13; 27/20; 5/4; ; 5/4; 23/17; 13/10; ; 6/5; ; 
Bristol Rovers; 11/5; 2; 39/20; 19/10; 21/10; 39/20; 2; 12/5; 2; 19/10; 19/10; 23/10; 2; 21/10; 21/10; 11/5; 21/10; 2; 23/10; 2; 21/10; ; 19/10; 2; 2; ; 19/10; ; 
Draw; 9/4; 12/5; 47/20; 5/2; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 12/5; 23/10; 11/5; ; 2; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-29 20:22:38 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 13/10; 27/20; 13/10; 11/8; 5/4; 11/8; 10/11; 13/10; 13/10; 13/10; 23/20; 13/10; 13/10; 13/10; 13/10; 5/4; 23/17; 15/13; 27/20; 5/4; ; 5/4; 23/17; 13/10; ; 5/4; ; 
Bristol Rovers; 11/5; 2; 39/20; 19/10; 21/10; 39/20; 2; 12/5; 2; 19/10; 19/10; 23/10; 2; 21/10; 21/10; 11/5; 21/10; 2; 23/10; 2; 21/10; ; 19/10; 2; 2; ; 19/10; ; 
Draw; 9/4; 12/5; 47/20; 5/2; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 12/5; 23/10; 11/5; ; 11/5; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-30 00:22:13 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 13/10; 27/20; 13/10; 13/10; 5/4; 11/8; 10/11; 13/10; 13/10; 13/10; 23/20; 13/10; 13/10; 13/10; 13/10; 5/4; 23/17; 15/13; 27/20; 5/4; ; 5/4; 23/17; 13/10; ; 5/4; ; 
Bristol Rovers; 11/5; 2; 39/20; 19/10; 21/10; 39/20; 2; 12/5; 2; 19/10; 19/10; 23/10; 2; 21/10; 21/10; 11/5; 21/10; 2; 23/10; 2; 21/10; ; 19/10; 2; 2; ; 19/10; ; 
Draw; 9/4; 12/5; 47/20; 5/2; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 12/5; 23/10; 11/5; ; 11/5; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-30 04:22:54 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 13/10; 27/20; 13/10; 13/10; 5/4; 11/8; 10/11; 13/10; 13/10; 13/10; 23/20; 13/10; 13/10; 13/10; 13/10; 5/4; 23/17; 15/13; 27/20; 5/4; ; 5/4; 23/17; 13/10; ; 5/4; ; 
Bristol Rovers; 11/5; 2; 39/20; 19/10; 21/10; 39/20; 2; 12/5; 2; 19/10; 19/10; 23/10; 2; 21/10; 21/10; 11/5; 21/10; 2; 23/10; 2; 21/10; ; 19/10; 2; 2; ; 19/10; ; 
Draw; 9/4; 12/5; 47/20; 5/2; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 12/5; 23/10; 11/5; ; 11/5; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-30 08:22:14 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 13/10; 27/20; 13/10; 13/10; 5/4; 11/8; 10/11; 13/10; 13/10; 13/10; 23/20; 13/10; 13/10; 13/10; 13/10; 13/10; 23/17; 5/4; 27/20; 13/10; ; 5/4; 23/17; 13/10; ; 5/4; ; 
Bristol Rovers; 11/5; 2; 39/20; 2; 21/10; 39/20; 2; 12/5; 2; 19/10; 19/10; 23/10; 2; 21/10; 21/10; 11/5; 39/19; 2; 21/10; 2; 39/19; ; 19/10; 2; 2; ; 19/10; ; 
Draw; 9/4; 12/5; 47/20; 23/10; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 12/5; 23/10; 11/5; ; 11/5; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-30 12:23:27 GMT+2; 2017-01-02 15:00; e70300-dr003
Charlton; 5/4; 13/10; 27/20; 13/10; 13/10; 5/4; 13/10; 10/11; 13/10; 13/10; 13/10; 23/20; 13/10; 13/10; 13/10; 13/10; 5/4; 23/17; 5/4; 27/20; 5/4; ; 5/4; 23/17; 13/10; ; 5/4; ; 
Bristol Rovers; 11/5; 2; 39/20; 2; 11/5; 39/20; 85/40; 12/5; 2; 19/10; 19/10; 23/10; 2; 21/10; 21/10; 11/5; 39/19; 2; 21/10; 2; 39/19; ; 19/10; 2; 2; ; 19/10; ; 
Draw; 9/4; 12/5; 47/20; 23/10; 12/5; 11/5; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 47/20; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 12/5; 23/10; 11/5; ; 11/5; ; 
META; english/league-1/charlton-v-bristol-rovers; 2016-12-30 16:22:48 GMT+2; 2017-01-02 15:00; e70300-dr003
