META; english/league-1/peterborough-v-oldham; 2017-03-12 00:21:28 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oldham; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-12 04:21:42 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oldham; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-12 08:22:08 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oldham; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-12 12:21:19 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; 1; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 10/11; ; 
Oldham; 27/10; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 20/21; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-12 16:21:14 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; 1; 11/10; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 23/20; ; 
Oldham; 27/10; 23/10; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 5/4; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-12 20:22:40 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; 1; 11/10; ; ; ; ; 11/10; ; 21/20; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 23/20; ; 
Oldham; 27/10; 23/10; ; ; ; ; 13/5; ; 14/5; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 5/4; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-13 00:20:52 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; 1; 11/10; ; ; ; ; 11/10; ; 21/20; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 23/20; ; 
Oldham; 27/10; 23/10; ; ; ; ; 13/5; ; 14/5; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 5/4; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-13 04:20:32 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; 1; 11/10; ; ; 11/10; ; 11/10; 1; 21/20; ; 19/20; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; 10/11; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 23/10; 5/2; ; 12/5; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; 
Oldham; 27/10; 23/10; ; ; 13/5; ; 13/5; 13/5; 14/5; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-13 08:20:56 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; 1; 11/10; ; ; 21/20; ; 21/20; 1; 21/20; ; 19/20; 21/20; 1; 1; ; 21/20; 19/20; ; 20/21; 19/20; ; ; 39/40; ; ; 10/11; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 23/10; 5/2; ; 12/5; 12/5; 47/20; 13/5; ; 12/5; 12/5; ; 12/5; 12/5; ; ; 27/11; ; ; 23/10; ; 
Oldham; 27/10; 23/10; ; ; 11/4; ; 11/4; 13/5; 14/5; ; 5/2; 13/5; 11/4; 13/5; ; 13/5; 45/17; ; 27/10; 45/17; ; ; 27/10; ; ; 23/10; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-13 12:21:55 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; 1; 11/10; 1; ; 1; ; 1; 10/11; 21/20; ; 19/20; 21/20; 19/20; 19/20; ; 1; 1; ; 20/21; 1; ; ; 39/40; ; ; 9/10; ; 
Draw; 12/5; 23/10; 5/2; ; 13/5; ; 13/5; 5/2; 5/2; ; 12/5; 12/5; 49/20; 13/5; ; 5/2; 12/5; ; 12/5; 12/5; ; ; 27/11; ; ; 23/10; ; 
Oldham; 27/10; 23/10; 27/10; ; 11/4; ; 11/4; 13/5; 14/5; ; 5/2; 13/5; 11/4; 27/10; ; 13/5; 13/5; ; 27/10; 13/5; ; ; 27/10; ; ; 12/5; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-13 16:24:48 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; 21/20; 11/10; 23/20; 6/5; 11/10; 21/20; 23/20; 1; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 23/20; 11/10; 21/20; 21/20; 20/21; 21/20; ; ; 39/40; 11/10; 39/40; ; 11/10; ; 
Draw; 12/5; 12/5; 47/20; 23/10; 5/2; 23/10; 5/2; 9/4; 5/2; 23/10; 9/4; 9/4; 49/20; 12/5; 23/10; 12/5; 40/17; 12/5; 12/5; 40/17; ; ; 27/11; 23/10; 27/11; ; 23/10; ; 
Oldham; 5/2; 5/2; 12/5; 23/10; 5/2; 23/10; 23/10; 9/4; 13/5; 5/2; 23/10; 5/2; 49/20; 12/5; 12/5; 5/2; 27/11; 5/2; 27/10; 27/11; ; ; 27/10; 12/5; 27/10; ; 11/5; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-13 20:22:45 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; 21/20; 11/10; 23/20; 6/5; 11/10; 21/20; 23/20; 1; 11/10; 11/10; 11/10; 23/20; 21/20; 11/10; 23/20; 11/10; 21/20; 21/20; 20/21; 21/20; ; ; 39/40; 11/10; 39/40; ; 11/10; ; 
Draw; 12/5; 12/5; 47/20; 23/10; 5/2; 23/10; 5/2; 9/4; 5/2; 23/10; 9/4; 9/4; 49/20; 12/5; 23/10; 12/5; 40/17; 12/5; 12/5; 40/17; ; ; 27/11; 23/10; 27/11; ; 23/10; ; 
Oldham; 5/2; 5/2; 12/5; 23/10; 5/2; 23/10; 23/10; 9/4; 13/5; 5/2; 23/10; 5/2; 49/20; 12/5; 12/5; 5/2; 27/11; 5/2; 27/10; 27/11; ; ; 27/10; 12/5; 27/10; ; 9/4; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-14 00:21:04 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; 21/20; 11/10; 23/20; 6/5; 11/10; 21/20; 23/20; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 21/20; 21/20; 20/21; 21/20; ; ; 39/40; 11/10; 39/40; ; 11/10; ; 
Draw; 12/5; 12/5; 47/20; 23/10; 5/2; 23/10; 5/2; 9/4; 5/2; 23/10; 9/4; 12/5; 49/20; 12/5; 23/10; 12/5; 40/17; 12/5; 12/5; 40/17; ; ; 27/11; 23/10; 27/11; ; 23/10; ; 
Oldham; 5/2; 12/5; 12/5; 23/10; 5/2; 23/10; 23/10; 9/4; 13/5; 5/2; 23/10; 5/2; 49/20; 12/5; 12/5; 12/5; 27/11; 5/2; 27/10; 27/11; ; ; 27/10; 12/5; 27/10; ; 9/4; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-14 04:20:58 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; 21/20; 11/10; 23/20; 6/5; 11/10; 21/20; 23/20; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 21/20; 21/20; 20/21; 21/20; ; ; 39/40; 11/10; 39/40; ; 11/10; ; 
Draw; 12/5; 12/5; 47/20; 23/10; 5/2; 23/10; 5/2; 9/4; 5/2; 23/10; 9/4; 12/5; 49/20; 12/5; 23/10; 12/5; 40/17; 12/5; 12/5; 40/17; ; ; 27/11; 23/10; 27/11; ; 23/10; ; 
Oldham; 5/2; 12/5; 12/5; 23/10; 5/2; 23/10; 23/10; 9/4; 13/5; 5/2; 23/10; 5/2; 49/20; 12/5; 12/5; 12/5; 27/11; 5/2; 27/10; 27/11; ; ; 27/10; 12/5; 27/10; ; 9/4; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-14 08:20:58 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; 21/20; 11/10; 23/20; 6/5; 11/10; ; 23/20; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 21/20; 21/20; 20/21; 21/20; ; ; 39/40; 11/10; 39/40; ; 11/10; ; 
Draw; 12/5; 12/5; 47/20; 23/10; 5/2; ; 5/2; 9/4; 5/2; 23/10; 9/4; 12/5; 49/20; 12/5; 23/10; 12/5; 40/17; 12/5; 12/5; 40/17; ; ; 27/11; 23/10; 27/11; ; 23/10; ; 
Oldham; 5/2; 12/5; 12/5; 23/10; 5/2; ; 23/10; 9/4; 13/5; 5/2; 23/10; 5/2; 49/20; 12/5; 12/5; 12/5; 27/11; 5/2; 27/10; 27/11; ; ; 27/10; 12/5; 27/10; ; 9/4; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-14 12:22:22 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; 21/20; 11/10; 23/20; 6/5; 11/10; 21/20; 23/20; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 15/13; 21/20; 21/20; 20/21; 21/20; ; ; 39/40; 11/10; 39/40; ; 11/10; ; 
Draw; 12/5; 12/5; 47/20; 23/10; 5/2; 23/10; 5/2; 9/4; 5/2; 23/10; 9/4; 12/5; 49/20; 12/5; 23/10; 5/2; 40/17; 12/5; 12/5; 40/17; ; ; 27/11; 23/10; 27/11; ; 23/10; ; 
Oldham; 5/2; 12/5; 12/5; 23/10; 5/2; 23/10; 23/10; 9/4; 5/2; 5/2; 23/10; 5/2; 49/20; 12/5; 12/5; 5/2; 27/11; 5/2; 27/10; 27/11; ; ; 27/10; 12/5; 27/10; ; 9/4; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-14 16:21:32 GMT+2; 2017-03-18 15:00; e70300-dr003
Peterborough; 21/20; 11/10; 23/20; 6/5; 11/10; 21/20; 23/20; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 23/20; 15/13; 21/20; 21/20; 21/20; 21/20; 6/5; 21/20; 15/14; 11/10; 15/14; ; 11/10; ; 
Draw; 12/5; 12/5; 47/20; 23/10; 5/2; 23/10; 5/2; 9/4; 5/2; 23/10; 9/4; 12/5; 49/20; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; 23/10; 12/5; 27/11; 40/17; 23/10; 40/17; ; 23/10; ; 
Oldham; 5/2; 12/5; 12/5; 23/10; 5/2; 23/10; 23/10; 9/4; 5/2; 5/2; 23/10; 5/2; 49/20; 12/5; 12/5; 5/2; 12/5; 5/2; 5/2; 12/5; 131/50; 23/10; 28/11; 12/5; 28/11; ; 11/5; ; 
META; english/league-1/peterborough-v-oldham; 2017-03-14 20:22:00 GMT+2; 2017-03-18 15:00; e70300-dr003
