META; english/league-1/bury-v-afc-wimbledon; 2017-12-07 10:57:24 GMT+2; 2017-12-09 15:00; e70300-dr003
Bury; 7/5; 7/5; 6/4; 7/5; ; 29/20; 6/4; 7/5; 31/21; 6/4; 29/20; 6/4; ; 29/20; 7/5; 7/5; 16/11; 16/11; 31/20; ; 31/21; 6/4; 29/20; 7/5; 16/11; ; 5/4; 7/5; 
AFC Wimbledon; 19/10; 2; 2; 21/10; ; 2; 19/10; 2; 37/19; 2; 19/10; 2; ; 41/20; 2; 2; 19/10; 37/19; 52/25; ; 37/19; 2; 2; 2; 37/19; ; 9/5; 19/10; 
Draw; 9/4; 9/4; 21/10; 21/10; ; 11/5; 21/10; 21/10; 21/10; 21/10; 11/5; 2; ; 21/10; 11/5; 11/5; 11/5; 28/13; 56/25; ; 21/10; 11/5; 9/4; 21/10; 28/13; ; 11/5; 21/10; 
META; english/league-1/bury-v-afc-wimbledon; 2017-12-08 12:15:34 GMT+2; 2017-12-09 15:00; e70300-dr003
Bury; 31/20; 7/5; 6/4; 7/5; ; 29/20; 6/4; 7/5; 31/21; 6/4; 29/20; 6/4; ; 29/20; 7/5; 7/5; 16/11; 16/11; 77/50; 17/13; 31/21; 6/4; 6/4; 7/5; 16/11; ; 7/5; 7/5; 13/8
AFC Wimbledon; 21/10; 2; 2; 21/10; ; 2; 19/10; 2; 37/19; 2; 2; 2; ; 2; 2; 2; 19/10; 37/19; 21/10; 9/5; 37/19; 2; 2; 2; 37/19; ; 2; 19/10; 2
Draw; 9/4; 9/4; 21/10; 21/10; ; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 2; ; 21/10; 11/5; 21/10; 11/5; 28/13; 56/25; 11/5; 21/10; 11/5; 9/4; 21/10; 28/13; ; 21/10; 2; 11/5
META; english/league-1/bury-v-afc-wimbledon; 2018-02-05 12:47:21 GMT+2; 2018-02-06 19:45; e70300-dr003
AFC Wimbledon; 6/4; 7/5; 16/11; ; 151/100; ; ; ; 10/7; 6/4; 29/20; ; ; 6/4; 7/5; 7/5; 16/11; 13/10; 25/18; 10/7; 6/4; 29/20; 29/20; 16/11; ; 7/5; 7/5; 7/5
Bury; 11/5; 2; 2; ; 21/10; ; ; ; 37/19; 2; 2; ; ; 2; 2; 19/10; 37/19; 21/10; 35/19; 37/19; 2; 2; 2; 2; ; 19/10; 2; 2
Draw; 11/5; 9/4; 21/10; ; 57/25; ; ; ; 11/5; 21/10; 11/5; ; ; 41/20; 11/5; 21/10; 28/13; 11/5; 9/4; 11/5; 11/5; 9/4; 2; 11/5; ; 2; 21/10; 21/10
