META; english/league-1/bradford-v-oldham; 2017-10-16 12:18:58 GMT+3; 2017-10-17 19:45; e70300-dr003
Bradford; 8/11; 4/6; 4/6; 4/6; 7/10; 7/10; 7/10; 4/6; 7/11; 8/11; 8/11; 8/11; 7/10; 8/11; 7/10; 7/10; 7/10; 5/7; 19/25; 8/11; 7/11; 4/6; 7/10; 4/6; 5/7; ; 4/6; 8/11; 8/11
Draw; 3; 11/4; 27/10; 14/5; 11/4; 13/5; 11/4; 11/4; 11/4; 27/10; 13/5; 13/5; 11/4; 29/10; 14/5; 11/4; 27/10; 27/10; 72/25; 14/5; 11/4; 14/5; 29/10; 27/10; 27/10; ; 14/5; 5/2; 14/5
Oldham; 4; 4; 4; 4; 4; 7/2; 4; 4; 43/10; 19/5; 15/4; 19/5; 15/4; 9/2; 15/4; 4; 15/4; 50/13; 4; 17/5; 43/10; 4; 19/5; 4; 39/10; ; 4; 7/2; 7/2
