META; english/league-1/peterborough-v-rochdale; 2018-04-10 08:19:28 GMT+3; 2018-04-14 15:00; e70300-dr003
Peterborough; 31/20; 8/5; 8/5; 8/5; 31/20; 6/4; 6/4; 17/11; 8/5; 31/20; 8/5; 8/5; 7/5; 6/4; 6/4; 16/11; 17/12; 17/11; 8/5; 6/4; 6/5; 5/4
Rochdale; 7/4; 8/5; 8/5; 7/4; 17/10; 13/8; 8/5; 7/4; 17/10; 17/10; 17/10; 8/5; 6/4; 17/10; 8/5; 9/5; 14/9; 7/4; 8/5; 28/17; 13/8; 13/8
Draw; 9/4; 12/5; 12/5; 13/5; 5/2; 23/10; 12/5; 9/4; 12/5; 12/5; 12/5; 12/5; 9/4; 12/5; 23/10; 9/4; 13/5; 9/4; 13/5; 23/10; 21/10; 9/4
META; english/league-1/peterborough-v-rochdale; 2018-04-11 12:56:30 GMT+3; 2018-04-14 15:00; e70300-dr003
Peterborough; 31/20; 6/4; 6/4; 6/4; 159/100; 31/20; 6/4; 6/4; 31/21; 31/20; 6/4; 6/4; 31/20; 7/5; 6/4; 6/4; 16/11; 7/5; 31/21; 6/4; 6/4; 27/20; 11/8
Rochdale; 7/4; 17/10; 33/20; 13/8; 44/25; 17/10; 17/10; 8/5; 17/10; 17/10; 17/10; 17/10; 33/20; 6/4; 17/10; 28/17; 9/5; 8/5; 17/10; 17/10; 28/17; 8/5; 13/8
Draw; 9/4; 5/2; 12/5; 12/5; 13/5; 5/2; 23/10; 12/5; 27/11; 12/5; 5/2; 5/2; 12/5; 9/4; 5/2; 40/17; 9/4; 13/5; 27/11; 13/5; 40/17; 11/5; 23/10
META; english/league-1/peterborough-v-rochdale; 2018-04-11 20:20:32 GMT+3; 2018-04-14 15:00; e70300-dr003
Peterborough; 7/5; 6/4; 29/20; 6/4; 153/00; 6/4; 6/4; 7/5; 31/21; 29/20; 29/20; 6/4; 13/10; 6/4; 13/10; 6/4; 16/11; 16/11; 23/17; 31/21; 29/20; 16/11; 11/8; 11/8; 7/5; 7/5
Rochdale; 19/10; 17/10; 7/4; 13/8; 46/25; 9/5; 7/4; 17/10; 17/10; 7/4; 9/5; 7/4; 2; 7/4; 13/8; 7/4; 7/4; 9/5; 18/11; 17/10; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5
Draw; 9/4; 5/2; 12/5; 12/5; 13/5; 5/2; 23/10; 12/5; 27/11; 12/5; 5/2; 12/5; 23/10; 12/5; 9/4; 12/5; 12/5; 9/4; 13/5; 27/11; 13/5; 12/5; 11/5; 2; 5/2; 23/10
META; english/league-1/peterborough-v-rochdale; 2018-04-12 10:47:39 GMT+3; 2018-04-14 15:00; e70300-dr003
Peterborough; 7/5; 7/5; 29/20; 6/4; 153/00; 6/4; 6/4; 7/5; 31/21; 29/20; 29/20; 6/4; 13/10; 6/4; 13/10; 7/5; 16/11; 16/11; 23/17; 31/21; 29/20; 16/11; 11/8; 11/8; 7/5; 7/5
Rochdale; 19/10; 9/5; 7/4; 13/8; 46/25; 9/5; 7/4; 17/10; 17/10; 7/4; 9/5; 7/4; 2; 7/4; 13/8; 9/5; 7/4; 9/5; 18/11; 17/10; 7/4; 9/5; 13/8; 17/10; 9/5; 9/5
Draw; 9/4; 5/2; 12/5; 12/5; 13/5; 5/2; 23/10; 12/5; 27/11; 12/5; 5/2; 12/5; 23/10; 12/5; 9/4; 12/5; 12/5; 9/4; 13/5; 27/11; 12/5; 12/5; 2; 5/2; 5/2; 
META; english/league-1/peterborough-v-rochdale; 2018-04-13 08:18:28 GMT+3; 2018-04-14 15:00; e70300-dr003
Peterborough; 8/5; 6/4; 6/4; 6/4; 77/50; 6/4; 6/4; 7/5; 31/21; 6/4; 6/4; 6/4; 13/10; 6/4; 7/5; 6/4; 6/4; 16/11; 13/9; 31/21; 6/4; 6/4; 7/5; 7/5; 13/8; 7/5
Rochdale; 9/5; 17/10; 33/20; 13/8; 44/25; 9/5; 17/10; 17/10; 17/10; 17/10; 7/4; 17/10; 2; 17/10; 6/4; 17/10; 17/10; 9/5; 28/17; 17/10; 7/4; 17/10; 13/8; 17/10; ; 
Draw; 5/2; 5/2; 12/5; 12/5; 27/10; 5/2; 12/5; 12/5; 27/11; 5/2; 12/5; 5/2; 23/10; 49/20; 9/4; 5/2; 27/11; 9/4; 5/2; 27/11; 5/2; 27/11; 5/2; 12/5; 5/2; 
META; english/league-1/peterborough-v-rochdale; 2018-04-13 16:19:02 GMT+3; 2018-04-14 15:00; e70300-dr003
Peterborough; 8/5; 6/4; 31/20; 8/5; 163/00; 8/5; 6/4; 6/4; 31/21; 31/20; 8/5; 31/20; 13/10; 6/4; 7/5; 6/4; 17/11; 16/11; 53/35; 31/21; 31/20; 8/5; 6/4; 6/4; 6/4; 13/8; 6/4
Rochdale; 7/4; 13/8; 13/8; 9/5; 169/00; 17/10; 13/8; 13/8; 17/10; 13/8; 13/8; 8/5; 2; 33/20; 6/4; 17/10; 28/17; 9/5; 11/7; 17/10; 17/10; 17/10; 13/8; 13/8; 13/8; 13/8; 
Draw; 13/5; 5/2; 12/5; 21/10; 133/0; 5/2; 12/5; 12/5; 27/11; 5/2; 5/2; 5/2; 23/10; 49/20; 9/4; 12/5; 40/17; 9/4; 5/2; 27/11; 13/5; 40/17; 5/2; 9/4; 21/10; 13/5; 23/10
META; english/league-1/peterborough-v-rochdale; 2018-04-14 12:21:04 GMT+3; 2018-04-14 15:00; e70300-dr003
Rochdale; 6/4; 6/4; 6/4; 7/5; 31/20; 6/4; 6/4; 7/5; 11/8; 6/4; 29/20; 6/4; 6/4; 6/4; 13/10; 7/5; 16/11; 7/5; 17/12; 11/8; 6/4; 16/11; 6/4; 6/4; 7/5; 6/4; 6/4
Peterborough; 15/8; 17/10; 17/10; 9/5; 91/50; 9/5; 7/4; 7/4; 24/13; 17/10; 7/4; 7/4; 7/4; 17/10; 8/5; 7/4; 7/4; 9/5; 12/7; 24/13; 7/4; 9/5; 7/4; 13/8; 17/10; 7/4; 17/10
Draw; 13/5; 5/2; 5/2; 129/0; 5/2; 12/5; 12/5; 27/11; 12/5; 5/2; 12/5; 12/5; 49/20; 23/10; 5/2; 40/17; 12/5; 27/11; 27/11; 13/5; 40/17; 5/2; 12/5; 5/2; 5/2; 5/2; 
