META; english/league-1/bury-v-plymouth; 2017-09-15 11:50:41 GMT+3; 2017-09-16 15:00; e70300-dr003
Bury; 7/5; 11/8; 7/5; 11/8; 11/8; 127/100; 7/5; 13/10; 11/8; 7/5; 7/5; 11/8; 11/8; 7/5; 7/5; 11/8; 13/10; 11/8; 23/17; 143/100; 17/13; 11/8; 21/20; 7/5; 11/8; ; 11/8; 13/10; 7/5
Plymouth; 21/10; 19/10; 39/20; 9/5; 2; 37/20; 2; 2; 24/13; 19/10; 19/10; 2; 39/20; 21/10; ; 2; 19/10; 24/13; 19/10; 101/50; 23/13; 24/13; 12/5; 2; 15/8; ; 19/10; 9/5; 2
Draw; 5/2; 12/5; 23/10; 11/5; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; 23/10; 9/4; 47/20; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 127/50; 5/2; 12/5; 12/5; 12/5; 9/4; ; 23/10; 21/10; 5/2
