META; english/league-1/bradford-v-portsmouth; 2018-02-27 18:17:55 GMT+2; 2018-03-03 15:00; e70300-dr003
Bradford; 29/20; 7/5; 16/11; 6/4; 151/100; 29/20; 7/5; 11/8; 11/8; 29/20; 29/20; 29/20; 7/5; 6/4; 11/8; 7/5; 7/5; 23/17; 17/13; 11/8; 29/20; 7/5; 7/5; ; 11/8; 11/8; 
Portsmouth; 9/5; 19/10; 28/15; 9/5; 2; 19/10; 15/8; 9/5; 37/19; 19/10; 15/8; 19/10; 9/5; 15/8; 19/10; 15/8; 24/13; 37/19; 17/10; 37/19; 15/8; 37/20; 24/13; ; 9/5; 17/10; 
Draw; 23/10; 12/5; 11/5; 23/10; 12/5; 23/10; 9/4; 11/5; 9/4; 9/4; 23/10; 11/5; 23/10; 9/4; 12/5; 23/10; 9/4; 9/4; 12/5; 9/4; ; 23/10; 9/4; ; 2; 2; 
META; english/league-1/bradford-v-portsmouth; 2018-03-01 16:00:09 GMT+2; ; e70300-dr003
Bradford l l l d d l; 29/20; 11/8; 29/20; 6/4; 151/100; 6/4; 7/5; 7/5; 11/8; 29/20; 29/20; 7/5; 7/5; 29/20; 11/8; 7/5; 16/11; 23/17; 7/5; 11/8; 29/20; 7/5; 16/11; 11/8; 11/8; 7/5
Portsmouth d w l l w l; 9/5; 2; 15/8; 9/5; 2; 15/8; 9/5; 37/19; 19/10; 15/8; 19/10; 9/5; 15/8; 19/10; 15/8; 24/13; 37/19; 25/14; 37/19; 19/10; 37/20; 19/10; 9/5; 19/10; 19/10; 
Draw; 23/10; 23/10; 9/4; 23/10; 12/5; 5/2; 9/4; 23/10; 9/4; 9/4; 23/10; 23/10; 9/4; 12/5; 23/10; 9/4; 9/4; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; 23/10; ; 
META; english/league-1/bradford-v-portsmouth; 2018-03-02 01:02:37 GMT+2; 2018-03-03 15:00; e70300-dr003
Bradford; 6/4; 8/5; 6/4; 7/5; 11/8; 31/20; 7/5; 8/5; 6/4; 23/17; 11/8; 6/4; 6/4; 7/5
Portsmouth; 9/5; 19/10; 9/5; 9/5; 37/19; 9/5; 9/5; 7/4; 24/13; 37/19; 37/19; 24/13; 7/4; 17/10
Draw; 23/10; 12/5; 21/10; 11/5; 9/4; 11/5; 23/10; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 21/10
META; english/league-1/bradford-v-portsmouth; 2018-03-02 03:02:38 GMT+2; 2018-03-03 15:00; e70300-dr003
Bradford; 6/4; 8/5; 6/4; 7/5; 31/21; 8/5; 7/5; 8/5; 17/11; 16/11; 31/21; 17/11; 6/4; 6/4
Portsmouth; 9/5; 19/10; 9/5; 9/5; 24/13; 17/10; 9/5; 7/4; 9/5; 9/5; 24/13; 9/5; 7/4; 7/4
Draw; 23/10; 12/5; 21/10; 11/5; 9/4; 23/10; 23/10; 11/5; 11/5; 9/4; 9/4; 11/5; 9/4; 21/10
META; english/league-1/bradford-v-portsmouth; 2018-03-02 04:02:35 GMT+2; 2018-03-03 15:00; e70300-dr003
Bradford; 6/4; 8/5; 6/4; 7/5; 31/21; 8/5; 7/5; 8/5; 17/11; 16/11; 31/21; 17/11; 6/4; 7/5
Portsmouth; 9/5; 19/10; 9/5; 9/5; 24/13; 17/10; 9/5; 7/4; 9/5; 9/5; 24/13; 9/5; 7/4; 7/4
Draw; 23/10; 12/5; 21/10; 11/5; 9/4; 23/10; 23/10; 11/5; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5
META; english/league-1/bradford-v-portsmouth; 2018-03-02 05:02:36 GMT+2; 2018-03-03 15:00; e70300-dr003
Bradford; 6/4; 8/5; 6/4; 7/5; 31/21; 8/5; 7/5; 8/5; 17/11; 16/11; 31/21; 17/11; 6/4; 6/4
Portsmouth; 9/5; 19/10; 9/5; 9/5; 24/13; 17/10; 9/5; 7/4; 9/5; 9/5; 24/13; 9/5; 7/4; 7/4
Draw; 23/10; 12/5; 21/10; 11/5; 9/4; 23/10; 23/10; 11/5; 11/5; 9/4; 9/4; 11/5; 21/10; 21/10
META; english/league-1/bradford-v-portsmouth; 2018-03-02 07:02:36 GMT+2; 2018-03-03 15:00; e70300-dr003
Bradford; 6/4; 8/5; 8/5; 7/5; 31/21; 8/5; 7/5; 8/5; 17/11; 16/11; 31/21; 17/11; 6/4; 6/4
Portsmouth; 9/5; 19/10; 7/4; 9/5; 24/13; 17/10; 9/5; 7/4; 9/5; 9/5; 24/13; 9/5; 7/4; 7/4
Draw; 23/10; 12/5; 21/10; 11/5; 9/4; 23/10; 23/10; 11/5; 11/5; 9/4; 9/4; 11/5; 21/10; 21/10
META; english/league-1/bradford-v-portsmouth; 2018-03-02 08:21:19 GMT+2; 2018-03-03 15:00; e70300-dr003
Bradford; 6/4; 8/5; 8/5; 7/5; 8/5; 7/5; 8/5; 8/5; 16/11; 8/5; 6/4; 6/4
Portsmouth; 9/5; 19/10; 7/4; 9/5; 17/10; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; 7/4
Draw; 23/10; 12/5; 21/10; 11/5; 23/10; 23/10; 11/5; 28/13; 9/4; 11/5; 21/10; 21/10
META; english/league-1/bradford-v-portsmouth; 2018-03-02 09:02:37 GMT+2; 2018-03-03 15:00; e70300-dr003
Bradford; 6/4; 8/5; 8/5; 7/5; 8/5; 7/5; 8/5; 8/5; 16/11; 8/5; 6/4; 6/4
Portsmouth; 9/5; 19/10; 7/4; 9/5; 17/10; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; 7/4
Draw; 23/10; 12/5; 21/10; 11/5; 23/10; 23/10; 11/5; 28/13; 9/4; 11/5; 21/10; 21/10
META; english/league-1/bradford-v-portsmouth; 2018-03-02 14:00:29 GMT+2; 2018-03-03 15:00; e70300-dr003
Bradford; 8/5; 8/5; 7/5; 8/5; 16/11; 28/17; 6/4; 7/5
Portsmouth; 19/10; 7/4; 9/5; 7/4; 9/5; 7/4; 7/4; 9/5
Draw; 12/5; 21/10; 11/5; 28/13; 9/4; 11/5; 21/10; 11/5
META; english/league-1/bradford-v-portsmouth; 2018-04-16 20:40:23 GMT+3; 2018-04-17 19:45; e70300-dr003
Portsmouth; 5/4; 5/4; 13/10; 5/4; 133/00; 13/10; 5/4; 6/5; 6/5; 13/10; 5/4; 13/10; 29/20; 13/10; 13/10; 5/4; 5/4; 6/5; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4
Draw; 12/5; 11/5; 21/10; 9/4; 47/20; 23/10; 11/5; 9/4; 40/17; 21/10; 9/4; 21/10; 9/4; 11/5; 23/10; 11/5; 11/5; 11/5; 23/10; 40/17; 12/5; 9/4; 11/5; 23/10; 9/4; 12/5
Bradford; 5/2; 23/10; 9/4; 9/4; 59/25; 12/5; 11/5; 23/10; 11/5; 23/10; 9/4; 23/10; 11/5; 23/10; 23/10; 23/10; 9/4; 23/10; 21/10; 11/5; 11/5; 9/4; 9/4; 23/10; 23/10; 12/5
META; english/league-1/bradford-v-portsmouth; 2018-04-17 20:42:41 GMT+3; 2018-04-17 19:45; e70300-dr003
Portsmouth; 27/20; 5/4; 13/10; 5/4; 33/25; 13/10; 5/4; 6/5; 16/13; 13/10; 5/4; 5/4; 5/4; 13/10; 13/10; 5/4; 6/5; 5/4; 5/4; 16/13; 5/4; 6/5; 6/5; 13/10; 13/10; 13/10
Draw; 9/4; 21/10; 21/10; 21/10; 56/25; 11/5; 21/10; 21/10; 11/5; 21/10; 11/5; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 2; 28/13; 11/5; 9/4; 28/13; 21/10; 21/10; 21/10; 9/4
Bradford; 12/5; 12/5; 12/5; 12/5; 5/2; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 49/20; 12/5; 12/5; 27/11; 12/5; 11/5; 23/10; 5/2; 27/11; 5/2; 5/2; 5/2; 12/5
