META; english/league-1/shrewsbury-v-portsmouth; 2017-12-20 12:17:03 GMT+2; 2017-12-23 15:00; e70300-dr003
Shrewsbury; 7/5; 6/4; 17/11; 8/5; 6/4; 31/20; 6/4; 6/4; 6/4; 8/5; 6/4; 31/20; 13/8; 8/5; 8/5; 6/4; 6/4; 6/4; 79/50; 16/11; 6/4; 8/5; 31/20; 6/4; 6/4; ; 7/5; 7/5; 6/4
Portsmouth; 15/8; 19/10; 19/10; 19/10; 19/10; 2; 19/10; 2; 37/19; 2; 2; 2; 17/10; 39/20; 2; 2; 19/10; 2; 109/ 50; 9/5; 37/19; 2; 19/10; 2; 2; ; 19/10; 7/4; 21/10
Draw; 23/10; 21/10; 2; 2; 21/10; 21/10; 2; 21/10; 39/19; 2; 21/10; 2; 11/5; 2; 19/10; 2; 21/10; 39/19; 21/10; 11/5; 39/19; 2; 11/5; 39/20; 39/19; ; 2; 9/5; 21/10
