META; english/league-1/southend-v-doncaster; 2018-03-05 20:19:30 GMT+2; 2018-03-10 15:00; e70300-dr003
Southend; 13/10; 13/10; 27/20; 13/10; 13/10; 5/4; 5/4; 23/18; 13/10; 13/10; 13/10; 13/10; 27/20; 13/10; 5/4; 5/4; 13/10; 23/18; 13/10; 13/10; 5/4; 6/5; 13/10; 
Doncaster; 19/10; 21/10; 21/10; 21/10; 2; 15/8; 39/19; 21/10; 2; 21/10; 2; 21/10; 21/10; 2; 2; 11/6; 39/19; 2; 21/10; 2; 11/5; ; ; 
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 12/5; 9/4; 40/17; 21/10; 5/2; 9/4; 23/10; 9/4; 23/10; 12/5; 9/4; 12/5; 12/5; 40/17; 5/2; 9/4; 9/4; 21/10; 23/10
META; english/league-1/southend-v-doncaster; 2018-03-06 15:05:37 GMT+2; 2018-03-10 15:00; e70300-dr003
Southend; 13/10; 13/10; 27/20; 13/10; 34/25; 13/10; 13/10; 6/5; 23/18; 13/10; 13/10; 13/10; 13/10; 27/20; 13/10; 5/4; 5/4; 5/4; 23/18; 13/10; 5/4; 5/4; 13/10; 
Doncaster; 19/10; 21/10; 21/10; 21/10; 9/4; 11/5; 2; 21/10; 39/19; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 2; 21/11; 39/19; 21/10; 39/19; 19/10; 11/5; 
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 12/5; 9/4; 23/10; 40/17; 21/10; 12/5; 9/4; 23/10; 11/5; 23/10; 23/10; 11/5; 12/5; 27/11; 40/17; 9/4; 9/4; 21/10; 23/10
META; english/league-1/southend-v-doncaster; 2018-03-08 10:16:45 GMT+2; 2018-03-10 15:00; e70300-dr003
Southend; 13/10; 5/4; 13/10; 13/10; 33/25; 13/10; 5/4; 6/5; 16/13; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 16/13; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 
Doncaster; 19/10; 9/4; 21/10; 21/10; 57/25; 21/10; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 21/10; 2; 21/11; 11/5; 85/40; 21/10; 28/13; 2; 9/4; 9/4
Draw; 5/2; 23/10; 9/4; 23/10; 123/50; 12/5; 23/10; 23/10; 23/10; 9/4; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 40/17; 12/5; 27/11; 23/10; 5/2; 9/4; 40/17; 21/10; 12/5; 12/5
META; english/league-1/southend-v-doncaster; 2018-03-08 12:20:18 GMT+2; 2018-03-10 15:00; e70300-dr003
Southend; 13/10; 5/4; 13/10; 13/10; 33/25; 13/10; 5/4; 6/5; 16/13; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 16/13; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 
Doncaster; 19/10; 9/4; 21/10; 21/10; 57/25; 21/10; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 28/13; 2; 21/11; 11/5; 85/40; 21/10; 28/13; 2; 19/10; 9/4; 9/4
Draw; 5/2; 23/10; 9/4; 23/10; 123/0; 12/5; 23/10; 23/10; 23/10; 9/4; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 40/17; 12/5; 27/11; 23/10; 5/2; 9/4; 40/17; 21/10; 21/10; 12/5; 12/5
META; english/league-1/southend-v-doncaster; 2018-03-09 12:19:28 GMT+2; 2018-03-10 15:00; e70300-dr003
Southend; 13/10; 5/4; 5/4; 5/4; 31/25; 13/10; 6/5; 6/5; 16/13; 5/4; 5/4; 5/4; 13/10; 5/4; 6/5; 5/4; 5/4; 5/4; 16/13; 16/13; 6/5; 6/5; 5/4; 5/4; 6/5
Doncaster; 23/10; 9/4; 11/5; 11/5; 121/50; 12/5; 11/5; 9/4; 11/5; 9/4; 11/5; 9/4; 2; 9/4; 11/5; 9/4; 28/13; 2; 11/5; 23/10; 11/5; 11/5; 23/10; 12/5; 
Draw; 5/2; 23/10; 9/4; 23/10; 62/25; 5/2; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 40/17; 12/5; 27/11; 23/10; 47/20; 9/4; 9/4; 12/5; 12/5
META; english/league-1/southend-v-doncaster; 2018-03-10 12:20:03 GMT+2; 2018-03-10 15:00; e70300-dr003
Southend; 13/10; 5/4; 5/4; 5/4; 129/00; 13/10; 5/4; 6/5; 16/13; 13/10; 5/4; 23/20; 13/10; 13/10; 6/5; 6/5; 5/4; 5/4; 13/10; 16/13; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4
Doncaster; 23/10; 9/4; 11/5; 9/4; 121/0; 12/5; 11/5; 9/4; 11/5; 9/4; 11/5; 12/5; 21/10; 11/5; 11/5; 11/5; 28/13; 2; 19/10; 11/5; 11/5; 9/4; 28/13; 9/4; 23/10; 23/10; 23/10
Draw; 5/2; 23/10; 11/5; 11/5; 119/0; 5/2; 23/10; 23/10; 23/10; 11/5; 12/5; 9/4; 23/10; 11/5; 23/10; 9/4; 40/17; 12/5; 12/5; 23/10; 5/2; 23/10; 40/17; 23/10; 12/5; 23/10; 12/5
