META; english/league-1/rochdale-v-southend; 2018-01-17 12:28:51 GMT+2; 2018-01-20 15:00; e70300-dr003
Rochdale; 23/20; 6/5; 6/5; 6/5; 123/ 100; 6/5; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 11/10; 15/13; 15/13; 15/13; 7/6; 8/7; 6/5; 6/5; 23/20; 15/13; 10/9; 23/20; 6/5
Southend; 21/10; 23/10; 9/4; 23/10; 49/20; 12/5; 9/4; 23/10; 40/17; 23/10; 23/10; 9/4; 11/5; 47/20; 11/5; 11/5; 21/10; 23/10; 21/10; 21/10; 40/17; 12/5; 9/4; 23/10; 23/10; 11/5; 11/5; 12/5
Draw; 13/5; 23/10; 9/4; 23/10; 62/25; 12/5; 23/10; 12/5; 40/17; 23/10; 5/2; 12/5; 12/5; 9/4; 12/5; 23/10; 5/2; 40/17; 5/2; 27/11; 40/17; 12/5; 5/2; 23/10; 12/5; 11/5; 21/10; 12/5
META; english/league-1/rochdale-v-southend; 2018-01-18 18:21:11 GMT+2; 2018-01-20 15:00; e70300-dr003
Rochdale; 23/20; 6/5; 6/5; 6/5; 123/ 100; 6/5; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 6/5; 15/13; 15/13; 15/13; 17/14; 8/7; 6/5; 6/5; 23/20; 15/13; ; 23/20; 6/5
Southend; 21/10; 23/10; 9/4; 23/10; 123/ 50; 12/5; 9/4; 23/10; 40/17; 23/10; 23/10; 9/4; 11/5; 47/20; 11/5; 9/4; 21/10; 23/10; 21/10; 39/19; 40/17; 12/5; 9/4; 23/10; 23/10; ; 23/10; 12/5
Draw; 13/5; 23/10; 9/4; 23/10; 123/ 50; 12/5; 23/10; 12/5; 40/17; 23/10; 5/2; 12/5; 12/5; 9/4; 12/5; 23/10; 5/2; 40/17; 5/2; 27/11; 40/17; 12/5; 5/2; 23/10; 40/17; ; 21/10; 12/5
META; english/league-1/rochdale-v-southend; 2018-01-19 12:17:30 GMT+2; 2018-01-20 15:00; e70300-dr003
Rochdale; 6/5; 11/10; 15/13; 11/10; 117/100; 23/20; 11/10; 11/10; 8/7; 23/20; 23/20; 23/20; 23/20; 23/20; 23/20; 11/10; 15/13; 11/10; 15/13; 8/7; 8/7; 6/5; 23/20; 6/5; 11/10; ; ; 10/9; 10/9
Draw; 5/2; 23/10; 23/10; 23/10; 5/2; 5/2; 23/10; 12/5; 40/17; 9/4; 5/2; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 12/5; 5/2; 27/11; 40/17; 12/5; 5/2; 23/10; 12/5; ; ; 9/4; 12/5
Southend; 5/2; 12/5; 12/5; 5/2; 129/50; 27/10; 12/5; 5/2; 40/17; 12/5; 5/2; 12/5; 11/5; 49/20; 23/10; 12/5; 21/10; 12/5; 21/10; 11/5; 40/17; 12/5; 5/2; 23/10; 27/11; ; ; 12/5; 5/2
META; english/league-1/rochdale-v-southend; 2018-03-12 10:27:08 GMT+2; 2018-03-13 19:45; e70300-dr003
Rochdale; 11/10; 11/10; 11/10; 21/20; 28/25; 11/10; 1; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 11/10; 11/10; 21/20; 1; 17/16; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20
Draw; 5/2; 23/10; 9/4; 9/4; 5/2; 5/2; 23/10; 40/17; 9/4; 12/5; 9/4; 12/5; 9/4; 23/10; 23/10; 40/17; 5/2; 9/4; 40/17; 5/2; 47/20; 40/17; 9/4; 21/10; 12/5
Southend; 11/4; 13/5; 13/5; 12/5; 68/25; 14/5; 13/5; 45/17; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 9/4; 45/17; 5/2; 13/5; 13/5; 13/5; 5/2; 27/10
META; english/league-1/rochdale-v-southend; 2018-03-12 20:19:12 GMT+2; 2018-03-13 19:45; e70300-dr003
Rochdale; 11/10; 11/10; 11/10; 21/20; 23/20; 11/10; 1; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 1; 10/9; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 10/9
Draw; 5/2; 23/10; 9/4; 12/5; 121/0; 5/2; 23/10; 40/17; 9/4; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 5/2; 23/10; 40/17; 5/2; 47/20; 23/10; 23/10; 12/5; 12/5
Southend; 11/4; 13/5; 13/5; 13/5; 137/0; 14/5; 13/5; 45/17; 13/5; 13/5; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 5/2; 12/5; 45/17; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10
META; english/league-1/rochdale-v-southend; 2018-03-13 12:21:57 GMT+2; 2018-03-13 19:45; e70300-dr003
Rochdale; 11/10; 21/20; 11/10; 21/20; 113/00; 23/20; 11/10; 1; 42/41; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 1; 42/41; 21/20; 11/10; 21/20; 21/20; 11/10; 10/9
Draw; 5/2; 23/10; 9/4; 12/5; 119/0; 5/2; 23/10; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 9/4; 23/10; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 5/2; 23/10
Southend; 11/4; 11/4; 13/5; 13/5; 71/25; 11/4; 13/5; 13/5; 45/17; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 45/17; 5/2; 45/17; 27/10; 13/5; 45/17; 13/5; 13/5; 14/5
META; english/league-1/rochdale-v-southend; 2018-03-13 20:19:47 GMT+2; 2018-03-13 19:45; e70300-dr003
Rochdale; 21/20; 21/20; 21/20; 1; 111/00; 21/20; 11/10; 1; 42/41; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 21/20; 42/41; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 21/20
Draw; 5/2; 12/5; 9/4; 12/5; 121/0; 5/2; 12/5; 23/10; 12/5; 9/4; 12/5; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 12/5; 5/2; 47/20; 40/17; 23/10; 12/5; 23/10; 12/5; 
Southend; 29/10; 13/5; 27/10; 11/4; 57/20; 3; 11/4; 11/4; 45/17; 27/10; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 45/17; 27/10; 5/2; 45/17; 11/4; 11/4; 27/10; 14/5; 3; 14/5; 3
