META; english/league-1/bristol-rovers-v-shrewsbury; 2018-01-30 12:19:25 GMT+2; 2018-02-03 15:00; e70300-dr003
Bristol Rovers; 13/10; 13/10; 26/19; 11/8; 143/ 100; 7/5; 11/8; 11/8; 11/8; 27/20; 11/8; 7/5; ; 11/8; 13/10; 11/8; 23/17; 13/10; 23/17; 25/19; 11/8; 7/5; 11/8; 7/5; 23/17; ; 5/4; 13/10; 
Shrewsbury; 2; 21/10; 21/10; 21/10; 109/ 50; 2; 2; 2; 24/13; 21/10; 2; 11/5; ; 21/10; 21/10; 21/10; 24/13; 2; 24/13; 2; 24/13; 2; 21/10; 39/20; 2; ; 19/10; 7/4; 
Draw; 12/5; 23/10; 21/10; 11/5; 117/ 50; 23/10; 11/5; 23/10; 27/11; 21/10; 9/4; 2; ; 43/20; 23/10; 11/5; 12/5; 11/5; 12/5; 9/4; 27/11; 9/4; 23/10; 11/5; 9/4; ; 19/10; 2; 
