META; english/league-1/fleetwood-v-blackburn; 2018-01-17 12:28:36 GMT+2; 2018-01-20 15:00; e70300-dr003
Blackburn; 1; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 1; 1; 21/20; 21/20; 1; 1; 11/10; 21/20; 1; 1; 1; 1; 15/14; 1; 21/20; 21/20; 1; 1; 10/11; 1; 1
Draw; 12/5; 9/4; 11/5; 9/4; 12/5; 12/5; 9/4; 23/10; 9/4; 11/5; 12/5; 11/5; 12/5; 11/5; 9/4; 11/5; 12/5; 9/4; 12/5; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 21/10; 21/10; 23/10
Fleetwood; 11/4; 14/5; 11/4; 13/5; 31/10; 29/10; 11/4; 11/4; 29/10; 14/5; 3; 3; 13/5; 11/4; 11/4; 11/4; 13/5; 37/13; 13/5; 27/11; 29/10; 3; 11/4; 29/10; 29/10; 14/5; 14/5; 3
META; english/league-1/fleetwood-v-blackburn; 2018-01-18 18:20:57 GMT+2; 2018-01-20 15:00; e70300-dr003
Blackburn ; 19/20; 1; 1; 19/20; 103/ 100; 1; 20/21; 1; 1; 1; 1; 1; 1; 1; 1; 1; 19/20; 1; 19/20; 42/41; 1; 1; 1; 19/20; 1; 1; 20/21; 1
Draw; 12/5; 9/4; 11/5; 11/5; 12/5; 23/10; 9/4; 23/10; 9/4; 11/5; 12/5; 11/5; 12/5; 11/5; 9/4; 9/4; 23/10; 9/4; 23/10; 23/10; 9/4; 23/10; 12/5; 9/4; 23/10; 11/5; 11/5; 23/10
Fleetwood; 29/10; 3; 3; 14/5; 16/5; 3; 29/10; 3; 29/10; 3; 3; 3; 13/5; 3; 3; 14/5; 29/10; 3; 29/10; 45/17; 29/10; 3; 29/10; 3; 3; 14/5; 3; 3
META; english/league-1/fleetwood-v-blackburn; 2018-01-19 12:17:17 GMT+2; 2018-01-20 15:00; e70300-dr003
Blackburn ; 19/20; 10/11; 1; 19/20; 1; 1; 20/21; 10/11; 1; 19/20; 1; 1; 1; 1; 1; 19/20; 19/20; 19/20; 19/20; 39/40; 1; 1; 1; 19/20; 19/20; ; 20/21; 20/21; 20/21
Draw; 5/2; 9/4; 11/5; 11/5; 12/5; 12/5; 9/4; 9/4; 9/4; 11/5; 12/5; 11/5; 12/5; 11/5; 9/4; 9/4; 23/10; 9/4; 23/10; 23/10; 9/4; 23/10; 12/5; 9/4; 23/10; ; 23/10; 23/10; 23/10
Fleetwood; 10/3; 3; 3; 14/5; 10/3; 17/5; 3; 16/5; 29/10; 3; 3; 3; 13/5; 31/10; 3; 3; 29/10; 31/10; 29/10; 14/5; 29/10; 3; 3; 10/3; 31/10; ; 3; 3; 3
