META; english/league-1/fleetwood-v-walsall; 2018-05-02 11:07:23 GMT+3; 2018-05-05 17:30; e70300-dr003
Fleetwood; 6/5; 6/5; 6/5; 27/20; 14/11; 11/8; 8/11; 1/6; 
Walsall; 9/4; 9/4; 21/10; 41/20; 9/4; 24/13; 2; 13/10; 20/21
Draw; 23/10; 23/10; 23/10; 23/10; 12/5; 27/11; 12/5; 19/10; 19/10
META; english/league-1/fleetwood-v-walsall; 2018-05-03 12:43:23 GMT+3; 2018-05-05 17:30; e70300-dr003
Fleetwood; 13/10; 13/10; 11/10; 13/10; 11/8; 13/10; 13/10; 16/13; 6/5; 13/10; 11/10; 13/10; 11/8; 5/4; 5/4; 5/4; 16/13; 16/13; 13/10; 5/4; 5/4; 13/10; 13/10
Walsall; 21/10; 21/10; 11/5; 54/25; 11/5; 21/10; 2; 28/13; 2; 9/4; 21/10; 2; 21/10; 21/10; 21/10; 27/14; 28/13; 85/40; 21/10; 19/10; 19/10; 11/5; 
Draw; 23/10; 23/10; 23/10; 61/25; 12/5; 23/10; 9/4; 40/17; 11/5; 12/5; 12/5; 9/4; 5/2; 12/5; 40/17; 23/10; 27/11; 40/17; 12/5; 40/17; 21/10; 2; 12/5
META; english/league-1/fleetwood-v-walsall; 2018-05-05 12:17:49 GMT+3; 2018-05-05 17:30; e70300-dr003
Fleetwood; 23/20; 11/10; 21/20; 11/10; 26/25; 11/10; 21/20; 1; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 1; 11/10; 21/20; 1; 11/10; 21/20; 19/20; 21/20; 11/10; 21/20; 21/20; 
Draw; 5/2; 12/5; 23/10; 23/10; 63/25; 12/5; 12/5; 12/5; 27/11; 23/10; 12/5; 23/10; 12/5; 47/20; 5/2; 23/10; 12/5; 23/10; 5/2; 27/11; 5/2; 27/11; 12/5; 12/5; 5/2; 5/2; 5/2
Walsall; 13/5; 5/2; 13/5; 5/2; 11/4; 13/5; 13/5; 5/2; 27/10; 13/5; 13/5; 13/5; 12/5; 13/5; 11/4; 13/5; 13/5; 12/5; 40/17; 27/10; 13/5; 13/5; 13/5; 5/2; 13/5; 14/5; 13/5
