META; english/league-1/shrewsbury-v-bury; 2018-04-16 20:41:12 GMT+3; 2018-04-21 15:00; e70300-dr003
Shrewsbury; 2/5; 4/9; 9/20; 2/5; 2/5; 1/3; 2/5; 2/5; 2/5; 2/5; 2/5; 7/19; 2/5; 2/5; 2/5; 7/19; 4/9; 4/9
Draw; 7/2; 16/5; 73/20; 7/2; 10/3; 16/5; 18/5; 7/2; 16/5; 7/2; 10/3; 17/5; 7/2; 18/5; 7/2; 38/11; 13/5; 3
Bury; 7; 36/5; 17/2; 7; 15/2; 13/2; 15/2; 8; 7; 25/4; 27/4; 13/2; 17/2; 25/4; 28/5; 41/5; ; 
META; english/league-1/shrewsbury-v-bury; 2018-04-17 20:43:32 GMT+3; 2018-04-21 15:00; e70300-dr003
Shrewsbury; 2/5; 4/9; 2/5; 4/9; 43/00; 2/5; 2/5; 4/11; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 3/8; 2/5; 2/5; 2/5; 3/8; 4/9; 2/5
Draw; 7/2; 10/3; 10/3; 10/3; 71/20; 18/5; 7/2; 7/2; 18/5; 17/5; 18/5; 10/3; 10/3; 16/5; 10/3; 17/5; 7/2; 18/5; 18/5; 38/11; 3; 
Bury; 7; 13/2; 7; 13/2; 71/10; 7; 13/2; 13/2; 7; 7; 5; 27/4; 27/4; 13/2; 7; 27/4; 31/5; 41/5; ; ; ; 
META; english/league-1/shrewsbury-v-bury; 2018-04-19 08:18:35 GMT+3; 2018-04-21 15:00; e70300-dr003
Shrewsbury; 2/5; 4/9; 4/9; 4/9; 23/50; 2/5; 2/5; 4/11; 5/12; 4/9; 2/5; 4/9; 1/2; 4/9; 2/5; 4/9; 7/17; 2/5; 7/17; 5/12; 4/9; 7/17; 2/5; 2/5; 4/9; 4/9
Draw; 7/2; 10/3; 13/4; 10/3; 17/5; 18/5; 10/3; 7/2; 57/17; 13/4; 7/2; 3; 10/3; 16/5; 10/3; 17/5; 7/2; 33/10; 57/17; 7/2; 38/11; 10/3; 3; 7/2; 7/2; 
Bury; 7; 13/2; 13/2; 13/2; 67/10; 15/2; 13/2; 13/2; 13/2; 13/2; 7; 11/2; 13/2; 5; 13/2; 13/2; 27/4; 53/10; 13/2; 13/2; 27/4; 13/2; 3; 36/5; ; 
META; english/league-1/shrewsbury-v-bury; 2018-04-20 10:27:57 GMT+3; 2018-04-21 15:00; e70300-dr003
Shrewsbury; 4/9; 4/9; 4/9; 4/9; 21/50; 2/5; 2/5; 2/5; 5/12; 2/5; 4/9; 4/9; 4/9; 2/5; 2/5; 3/8; 2/5; 7/17; 5/12; 4/9; 7/18; 2/5; 2/5; 4/11; 2/5; 2/5
Draw; 7/2; 10/3; 13/4; 10/3; 18/5; 18/5; 10/3; 7/2; 57/17; 7/2; 3; 7/2; 16/5; 16/5; 10/3; 38/11; 7/2; 33/10; 57/17; 7/2; 38/11; 7/2; 3; 11/4; 7/2; 7/2
Bury; 8; 13/2; 7; 13/2; 37/5; 15/2; 7; 13/2; 7; 7; 13/2; 5; 7; 27/4; 53/10; 13/2; 13/2; 29/4; 15/2; 33/5; 26/5; 8; ; ; ; 
META; english/league-1/shrewsbury-v-bury; 2018-04-21 14:20:07 GMT+3; 2018-04-21 15:00; e70300-dr003
Shrewsbury; 4/9; 4/9; 4/9; 2/5; 43/00; 2/5; 2/5; 2/5; 3/8; 4/9; 2/5; 4/9; 4/9; 4/9; 2/5; 4/9; 7/18; 2/5; 3/7; 3/8; 4/9; 2/5; 2/5; 4/9; 4/9; 2/5; 4/9
Draw; 7/2; 16/5; 13/4; 7/2; 69/20; 18/5; 10/3; 10/3; 17/5; 13/4; 10/3; 16/5; 10/3; 16/5; 3; 16/5; 57/17; 10/3; 17/5; 17/5; 7/2; 17/5; 7/2; 3; 10/3; 7/2; 10/3
Bury; 8; 15/2; 7; 15/2; 8; 15/2; 15/2; 8; 15/2; 15/2; 7; 13/2; 7; 11/2; 7; 29/4; 7; 8; 29/4; 15/2; 38/5; 37/5; 36/5; 38/5; ; ; 
