META; english/league-1/blackburn-v-rochdale; 2017-12-20 12:17:11 GMT+2; 2017-12-26 15:00; e70300-dr003
Blackburn; 4/6; 4/6; ; ; 11/17; 4/6; 13/20; 8/13; 13/19; ; 4/6; 4/6; ; ; 13/20; 4/6; 11/17; 11/17; ; ; 13/19; 4/6; 4/6; 13/20; 11/17; ; 4/9; ; 
Draw; 14/5; 29/10; ; ; 11/4; 29/10; 14/5; 11/4; 27/10; ; 11/4; 13/5; ; ; 14/5; 14/5; 11/4; 45/17; ; ; 27/10; 14/5; 29/10; 11/4; 27/10; ; 5/2; ; 
Rochdale; 4; 4; ; ; 4; 4; 4; 4; 41/10; ; 4; 9/2; ; ; 17/4; 4; 4; 39/10; ; ; 41/10; 4; 21/5; 4; 39/10; ; 7/2; ; 
META; english/league-1/blackburn-v-rochdale; 2017-12-26 12:48:19 GMT+2; 2017-12-26 15:00; e70300-dr003
Blackburn; 4/6; 4/6; 11/18; 4/6; 33/50; 7/10; 5/8; 8/13; 11/17; 8/13; 4/6; 8/13; 4/6; 13/20; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 11/17; 8/13; 13/20; 13/20; 11/17; ; 8/13; 4/6; 8/13
Draw; 16/5; 29/10; 29/10; 14/5; 13/4; 31/10; 3; 11/4; 3; 29/10; 3; 3; 3; 14/5; 3; 3; 29/10; 56/19; 29/10; 31/10; 3; 3; 16/5; 3; 3; ; 3; 3; 3
Rochdale; 17/4; 4; 21/5; 4; 43/10; 4; 4; 4; 19/5; 21/5; 9/2; 4; 4; 4; 15/4; 4; 4; 77/19; 4; 15/4; 19/5; 17/4; 21/5; 4; 77/19; ; 4; 21/5; 21/5
META; english/league-1/blackburn-v-rochdale; 2017-12-26 13:06:20 GMT+2; 2017-12-26 15:00; e70300-dr003
Blackburn; 4/6; 4/6; 4/6; 8/13; 33/50; 7/10; 5/8; 8/13; 11/17; 8/13; 4/6; 8/13; 4/6; 13/20; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; 11/17; 8/13; 13/20; 13/20; 11/17; ; 8/13; 4/6; 8/13
Draw; 16/5; 29/10; 29/10; 3; 13/4; 31/10; 3; 11/4; 3; 29/10; 3; 3; 3; 14/5; 3; 3; 3; 3; 3; 31/10; 3; 3; 16/5; 3; 3; ; 3; 3; 3
Rochdale; 17/4; 4; 21/5; 4; 43/10; 4; 4; 4; 19/5; 21/5; 9/2; 4; 4; 4; 15/4; 4; 4; 77/19; 4; 15/4; 19/5; 17/4; 21/5; 4; 77/19; ; 21/5; 21/5; 21/5
